rep,parameter,true,recovered
0,t,0.44266822774651327,0.460300638709952
0,v_Intercept,1.5285947605746013,1.5133490762286437
0,v_z_AttentionW:C(OVcate)[low],1.1652740349454163,0.9606476791809792
0,v_z_AttentionW:C(OVcate)[medium],1.2991345021092033,1.165053920651155
0,v_z_AttentionW:C(OVcate)[high],1.071751018736817,0.8536566727203434
0,v_z_IAW_chart,1.2091639222411628,1.1923735853360116
0,v_z_IAW_image,1.0325996142447535,0.9890369998018653
0,a_Intercept,2.297638564639494,2.1719727868955037
0,a_OVcate[T.low],0.09239247262615316,0.12565232972994003
0,a_OVcate[T.medium],0.05562296688474749,-0.030595451530600507
1,t,0.44374114503346374,0.465957508446794
1,v_Intercept,1.5398830062725903,1.6397544199155725
1,v_z_AttentionW:C(OVcate)[low],1.2685001334378194,1.0864033905108637
1,v_z_AttentionW:C(OVcate)[medium],1.1934759456029196,1.3639787275775392
1,v_z_AttentionW:C(OVcate)[high],1.1265554338300905,1.1629218366962961
1,v_z_IAW_chart,1.2842405373593462,1.2942271438164163
1,v_z_IAW_image,0.9250550725721689,1.1055651454692639
1,a_Intercept,2.0311445073350596,1.8740378920249132
1,a_OVcate[T.low],0.19392875593568334,-0.005394353580907708
1,a_OVcate[T.medium],0.021124644970030294,0.016437023671443646
2,t,0.43618052496989473,0.45799718984283494
2,v_Intercept,1.509006397630046,1.5988987083092512
2,v_z_AttentionW:C(OVcate)[low],1.1004306584824453,0.8842176753679029
2,v_z_AttentionW:C(OVcate)[medium],1.1957436891056066,1.1799177071775167
2,v_z_AttentionW:C(OVcate)[high],1.1517502548211507,1.1420515776674536
2,v_z_IAW_chart,1.2420082953849956,1.4106143267774014
2,v_z_IAW_image,0.7504861739628744,0.7548726856196322
2,a_Intercept,1.9366610990126811,1.7339808341987075
2,a_OVcate[T.low],0.24530767170250128,0.3367256040823683
2,a_OVcate[T.medium],0.11324445686302158,0.11406806702125685
3,t,0.44687195999774737,0.4155642589247604
3,v_Intercept,1.5179805605720509,1.7051834923766884
3,v_z_AttentionW:C(OVcate)[low],1.4037748171722337,1.3789114278582448
3,v_z_AttentionW:C(OVcate)[medium],1.050017809936739,1.1700780992877495
3,v_z_AttentionW:C(OVcate)[high],1.0575967743370704,0.8709003170411236
3,v_z_IAW_chart,1.3943040588793199,1.2947969591439266
3,v_z_IAW_image,0.8573774943231741,0.7797106496258943
3,a_Intercept,1.841389759876887,1.9109326152115818
3,a_OVcate[T.low],0.12214559069664971,0.1271724457569345
3,a_OVcate[T.medium],0.04292912942272431,0.1600145166726488
4,t,0.4247978758166471,0.43070812882029613
4,v_Intercept,1.2590171403431485,1.3725827069712113
4,v_z_AttentionW:C(OVcate)[low],1.1418837127069508,1.2968149995085267
4,v_z_AttentionW:C(OVcate)[medium],1.2914875599303222,1.4916213661398607
4,v_z_AttentionW:C(OVcate)[high],1.2594812621979394,1.3355582560507537
4,v_z_IAW_chart,1.137882559356315,1.0388669265604993
4,v_z_IAW_image,0.8828584523303677,0.9058019887202665
4,a_Intercept,1.9189338425878133,1.7853477982377919
4,a_OVcate[T.low],0.1172062583195546,0.1944003476306283
4,a_OVcate[T.medium],-0.051047334271752884,-0.051617777934741926
5,t,0.4239661772029283,0.4438759742663
5,v_Intercept,1.5562707069219488,1.532400308983941
5,v_z_AttentionW:C(OVcate)[low],1.2634560808997235,1.2824945531396084
5,v_z_AttentionW:C(OVcate)[medium],1.2713926580653816,1.3640538708297867
5,v_z_AttentionW:C(OVcate)[high],1.3315494951239393,1.3712536386276375
5,v_z_IAW_chart,1.4145591441786431,1.4626407543734017
5,v_z_IAW_image,0.9525592437073116,0.9004955359465192
5,a_Intercept,1.81694564814551,1.764223787985175
5,a_OVcate[T.low],0.18607134794302926,0.16212427411098498
5,a_OVcate[T.medium],0.09948384983003575,0.16903012998174455
6,t,0.4052256086984096,0.405877356434123
6,v_Intercept,1.5557219891518002,1.664474048508959
6,v_z_AttentionW:C(OVcate)[low],1.306591746428374,1.365756500436275
6,v_z_AttentionW:C(OVcate)[medium],1.2369836120920976,1.208628762114225
6,v_z_AttentionW:C(OVcate)[high],1.2684818779752791,1.2881685996288301
6,v_z_IAW_chart,1.1866739440014908,1.2124934246174057
6,v_z_IAW_image,0.9676385763449574,1.0491040858533403
6,a_Intercept,1.8547460030849332,1.623913670014564
6,a_OVcate[T.low],0.28960621916490253,0.3459613926868677
6,a_OVcate[T.medium],0.07756137830216672,0.24703350261922494
