t_subj,a_subj,v_Intercept_subj,v_AttentionW_E_subj,v_AttentionW_S_subj,v_InattentionW_E_subj,v_InattentionW_S_subj,v_balance_subj
0.38391487021490106,1.8340059227648198,0.8400793223296213,0.035489472315680275,0.030960018875519524,0.04878009725431923,0.03343224757703689,-1.0831839070103657
0.3016312760320701,1.653611724703186,0.6489846878021058,0.013028881181315064,0.03213679662078699,0.014870553102934794,0.0392176653345974,-1.084197937016354
0.4202422885806817,2.293648521840112,1.2237272053768908,0.03160726069437104,0.03555336424281403,0.026751431189199034,0.02990964849453628,-1.091574186024079
0.2999114141778524,1.7026014598354353,0.8943565547336293,0.04027104405734121,0.04143817833262745,0.03956710003007943,0.03909372674301671,-1.2057522246597023
0.42884261453438965,2.1448459554187,1.0500049439171786,0.0397294193454774,0.031248299299897694,0.04571846836599003,0.022209231573843066,-1.46061067153223
0.5835838744911738,1.6145511067939617,0.7166686954631996,0.025362235118896327,0.030722022757735393,0.027886541914123143,0.03419721877046838,-1.1562746577632697
0.3813724123771405,1.6060634245021992,1.0443482572061467,0.050888016393781245,0.035418267039322986,0.05504813558160113,0.04158261096600757,-1.343396036536627
0.44888681106424716,1.955381122767716,0.8489663626075131,0.04082319443527656,0.02975339748818729,0.04647242542594659,0.03764972716623503,-1.3294953935957794
0.3717677702015781,1.0395309286055683,0.7816538311776096,0.050146623655762786,0.04031995111591093,0.04674032712266527,0.030768319683234773,-1.2227277956732119
0.44777954169958123,1.716352257925798,0.8347444151238388,0.04730444358335688,0.03493179843918179,0.04389119037741299,0.03012329680717327,-1.3317672224229145
0.37601362171395186,1.255902072564265,0.8222150034573372,0.06858170709061362,0.03185270599478124,0.06728358823169109,0.035173857303507104,-1.4129726293761973
0.39105203829162427,1.76442477525025,1.1736125228491587,0.048215914208398325,0.036301287328445425,0.06263193424464335,0.02996488564333929,-1.622509306581505
0.3669851826690171,2.100006461468239,0.9060981353965477,0.027992875500479564,0.0295009283499727,0.029174630676795005,0.036066029402710226,-1.245145637847596
0.41926458441861,2.372617277319547,0.6349653894864545,0.046713713770334626,0.027735231027949014,0.04864363921178509,0.024514803076421468,-1.0344465112766807
0.44097377884233097,2.2531347954300123,0.886034843335258,0.05386081088245657,0.03197374365987367,0.054899941772236165,0.03011197647121598,-1.2149761466273232
0.4539237037221864,2.7964360321759254,1.0317897819773452,0.04838049444915602,0.03342441637601222,0.04892333820877822,0.036259225011317446,-1.1837612542687093
0.35118436313779244,2.4501894613212607,1.3002779894177845,0.043198726682625053,0.040334109924041926,0.03877678078845868,0.03208084448298582,-1.211956480138592
0.34193440125058105,1.8693593417957126,0.9651505760696542,0.029597564574295823,0.03183533433248904,0.035373807142373294,0.031181578085589176,-1.356139205885057
0.33019319822954873,1.4531125423565032,0.6335184897545222,0.019248316800640396,0.026187000498783343,0.025492677250253868,0.026840247517469995,-1.2692486675638979
0.420708739411363,2.302571509284029,0.8408848162339129,0.037215223808902964,0.03743075377053756,0.03050228272021484,0.019915323752979722,-1.4630318491281262
0.5440991574748417,2.502918369308297,0.9392926737945981,0.04900009750811276,0.03884692975405597,0.06053736825894546,0.03853079490064613,-1.506207411185901
