a_subj,t_subj,z_subj,v_Value_diff_subj
1.8164983341221175,0.3835979800691519,0.47817325507401465,-0.03934044828993184
1.6721465508198352,0.3177109563283286,0.6162112815159257,-0.02685240973191611
2.152688958680513,0.43319102935081394,0.48949418926884847,-0.04303919801507054
1.700360421441164,0.30680217079773187,0.555157994782692,-0.05409194712853813
2.0243188386580404,0.4335931143050963,0.46763698976643037,-0.03582562146716425
1.5867477527190121,0.5864568793077024,0.5225788103708743,-0.03195826667545477
1.5818646568766244,0.3821607844086842,0.48750522073789754,-0.05623147102063491
1.9299033729996413,0.4495741883082552,0.4748494742976583,-0.0383067449935262
1.0355672778842007,0.37162207189488233,0.48382581167991695,-0.054271627062708
1.6935231280879068,0.45459172478963483,0.42790393229284945,-0.041220910404608194
1.2939246612060271,0.3721734031287512,0.41971973050960915,-0.0520974162379022
1.6994388201450805,0.3906793876418566,0.486240636859177,-0.05134563981109752
2.0069670179303762,0.3784950930814582,0.5622507117336454,-0.03814020611699995
2.2502971170846386,0.42555412251244573,0.44167846827383245,-0.037192125405967925
2.2534892613288697,0.45483687822584945,0.4048270588380307,-0.04731698586324675
2.6740027329307523,0.47648240078595117,0.43085596520385205,-0.04986290324490683
2.345979139356489,0.3639210695664163,0.48829435956862455,-0.052111907102880134
1.825481743003955,0.3496919071090186,0.5479765527955281,-0.03524423328847347
1.4378689134116007,0.3302290303380907,0.5079618427015289,-0.018680914295187343
2.258626655061889,0.453649733643063,0.4024041047788917,-0.023934130511863258
2.4214162978466374,0.5521230638179216,0.46269185795471274,-0.050702251111688426
