a_subj,t_subj,v_Intercept_subj,v_ES_AttentionW_subj,v_ES_InattentionW_subj
1.703741382163923,0.38508854205146753,1.20924949689797,-0.0030832521308729655,-0.005613134870175312
1.5746235410508835,0.3027320353995391,0.854265026945079,0.004441439794653943,0.009789332524509295
2.1166894664513736,0.42601983632462326,1.4307683821857111,-0.0006080398175436422,0.002106647253595968
1.5502244319794911,0.2997568737865229,1.3653754143656973,0.002602177297191956,-0.002156831668148427
1.9244521891536752,0.4358870120398994,1.2099524823790422,-0.002367313974173397,-0.005198985383418426
1.5302288982626715,0.588337536020678,1.1044612762678017,0.0006284789245929581,-0.0017062586254247664
1.4495615646589808,0.38026566233885456,1.5912199583944808,-0.00487175316326274,-0.0006118467242361757
1.7821641338663452,0.4555867076746246,1.1740868902825305,-0.00256863532943102,-0.0022558645280896877
0.9681526540654163,0.373048412459036,1.541138080177847,-0.0021761776343647956,-0.005588027735269767
1.5696698975224632,0.4505834534595456,1.1820221231796935,-0.0054608222244851,-0.003154429381004697
1.1490934359324625,0.3794755809647951,1.4324049728268382,-0.006522241283609638,-0.009784875758946687
1.5386299358844064,0.39354761947753664,1.4397164233613788,-0.0026522803076256788,-0.004862546216722316
1.9070627962924387,0.37252752560548363,1.2019076860574036,-0.00042598501076681076,0.0022727403811376194
2.1145266556254505,0.4225897766619761,1.2239368174178245,-0.004139496297037109,-0.005538518956326815
2.0117172755069395,0.4385601481222284,1.2392758760279385,-0.006251171708133903,-0.009181518371867033
2.3945735195503297,0.45003535894610147,1.256712352193829,-0.006462935990039758,-0.0012849200787986572
2.200887116803667,0.35763781996102006,1.6671248437649162,0.0007370321679789996,-0.0046552521063068
1.7499329696126285,0.3457595300874443,1.112843263299955,-0.0018057164271719575,0.0010982740658056491
1.4281598212768074,0.33022583625161983,0.6344961079992444,-0.001230873297214709,0.00392046530999837
2.114899651949996,0.4319604313798365,0.6477624950569266,-0.004763093359717163,-0.00040985949598266737
2.030652976367151,0.5593325757649974,1.2634137964282264,-0.0010748722331186532,-0.0031007459260595856
