stat,observed,mean,std,SEM,MSE,credible,quantile,mahalanobis
accuracy,0.49044289044289047,0.49230804038732806,0.0549077139671662,3.4787843152355603e-06,0.0030183358374157496,True,49.36904761904762,0.03396881439196175
mean_ub,1.0890511172545503,1.069461937726327,0.2713454205454659,0.00038373595458896106,0.07401207320558535,True,53.7,0.07219277734204822
std_ub,0.7948249511494707,0.5670134731871596,0.21168762314614226,0.051898069491372587,0.09670971928463566,True,84.87380952380953,1.0761681508655683
10q_ub,0.5340530687824412,0.6083214587418806,0.12883564650933213,0.00551579374716736,0.022114417558645,True,36.17142857142858,0.5764583946420436
30q_ub,0.6967239115754182,0.7343436700725838,0.16719172132323518,0.0014152462293850626,0.029368317908411518,True,44.44285714285715,0.22500969664900178
50q_ub,0.8737024189713338,0.8887947061966572,0.21428078925028793,0.00022777713369166014,0.046144033775417946,True,47.892857142857146,0.07043229249867591
70q_ub,1.1194044986498284,1.1373734042462849,0.2935410965223807,0.00032288156833436483,0.08648925691589576,True,49.00476190476191,0.061214275647725046
90q_ub,1.8005100969064642,1.7484195554887965,0.5059838327790892,0.0027134245051857625,0.2587330635390028,True,56.392857142857146,0.10294902335429032
mean_lb,-1.060519007826157,-1.0328535120661868,0.21917505058510828,0.0007653796556449312,0.048803082454629595,True,50.87857142857143,0.1262255703197723
std_lb,0.8644884999148749,0.5568173728185565,0.20874521881246813,0.09466152244871891,0.1382360888257843,True,91.76666666666668,1.4739074209537848
10q_lb,0.5419935323757272,0.5882550475864184,0.09663841832142425,0.0021401277895890147,0.011479111685255575,True,32.964285714285715,0.4787072886150008
30q_lb,0.6742808129161858,0.7066480663489728,0.12143538885515551,0.0010476390947822627,0.01579419276118513,True,38.090476190476195,0.2665388873699223
50q_lb,0.8293280940833938,0.8521886764193575,0.15854605396144417,0.0005226062247393739,0.025659457451484454,True,40.33809523809524,0.14418890766920625
70q_lb,1.0595794399283478,1.0913885074479241,0.23031703729807218,0.0010118167764649672,0.054057754446226486,True,40.10714285714286,0.13810991966872874
90q_lb,1.748626132332447,1.6947450367680619,0.449330994093185,0.002903172459218404,0.2048015147119874,True,54.12857142857143,0.11991404170354415
