t(ET)_subj,t(LT)_subj,a_subj,v_Intercept_subj,v_ES_AttentionW_early_subj,v_ES_InattentionW_early_subj,v_ES_AttentionW_late_subj,v_ES_InattentionW_late_subj
,,1.4118827868900274,-0.30651863545786623,0.05468807699740921,0.06229501773699611,0.035272039195669444,0.04558064480986021
,,1.3798974956027372,0.7076369956100115,0.040345278910658824,0.052045042536847046,0.03142368708553678,0.027559983445902287
,,1.7135296265548519,0.07386545804672194,0.06439070682852112,0.06572120345668042,0.03946826126152533,0.03668389387864524
,,1.3454038748843544,0.18343623044142746,0.06443482268766235,0.06325703179086402,0.04894058942935211,0.050911454016260904
,,1.55817279655737,-0.22689731769127988,0.053284535260336614,0.048751729388736675,0.03505986714412107,0.037982742218175686
,,1.2071518500124578,0.04664778275224851,0.0455240367563278,0.05036054766835862,0.04165052566259919,0.03777951600967432
,,1.2438652302624247,-0.02583878613981587,0.06289411525883126,0.07796623067622045,0.054395798408636495,0.0437169313735262
,,1.5376073416005,-0.12647088113020866,0.046693214340072176,0.06041453549339374,0.038771894389309496,0.037425695667736736
,,0.7688655988399379,-0.03420302308176256,0.07101074847572951,0.06991809172353182,0.05257858518140756,0.04186076957071058
,,1.318734324307418,-0.1983732449385285,0.06327878755274174,0.05717005062317891,0.040232022071309756,0.041403220847331466
,,0.9429229781154348,-0.7571005180338914,0.06872003245958919,0.07416577449376038,0.04435878849813985,0.05597986677049399
,,1.3983667498828452,-0.4661678559163552,0.06838786172979544,0.07314016355870981,0.04690556755376445,0.04872907215083678
,,1.657301614044875,0.08595646222492527,0.060306918847445504,0.06918829435711937,0.0369062165201411,0.03863234872635119
,,1.839818307166035,-0.3535392972300686,0.06755328733643379,0.06676693449820255,0.03384470336078986,0.03535513365899386
,,1.8025519250284983,-0.48430754115561747,0.05754135468948215,0.060976280266818804,0.04934825657040479,0.04184370386145707
,,2.15078145796572,-0.21389222519823745,0.0531866499830355,0.05927260350719265,0.04677452845396679,0.03904704479511564
,,1.96789030223871,0.12918020611121203,0.0733506826030086,0.07218538024404497,0.03918916342059048,0.03922609067239297
,,1.435697055895125,0.14628650386136613,0.0497943128577375,0.0580488799675425,0.04079264144084558,0.03417919377899665
,,1.1276630570535657,0.12268058432825038,0.033736730533607526,0.041221048247494,0.01686269152264441,0.02378744736185049
,,1.792262583968292,-0.21232663471830399,0.054249885705585275,0.02961554861431573,0.01888537789418545,0.029376980963739086
,,1.9720245972532144,0.005404024812543883,0.06396557461244091,0.06860250325008194,0.03563307763620475,0.043533272280969926
