param,mean_prob
alpha_subj.2,0.11042533589670601
alpha_subj.3,0.0904845258501668
alpha_subj.7,0.08837636850815311
alpha_subj.8,0.2202896594466306
alpha_subj.9,0.1142545249767974
alpha_subj.10,0.20204019674535073
alpha_subj.11,0.16194190969512873
alpha_subj.12,0.08424568134753731
alpha_subj.13,0.31468453504239485
alpha_subj.15,0.10985189999734066
alpha_subj.16,0.248526012736589
alpha_subj.17,0.24218967440043415
alpha_subj.18,0.06714662002232705
alpha_subj.19,0.141126962262711
alpha_subj.20,0.06933634620195762
alpha_subj.21,0.07489433888042911
alpha_subj.22,0.17830359918570915
alpha_subj.23,0.0807140513137151
alpha_subj.24,0.13795546966307687
alpha_subj.25,0.1151470119302611
alpha_subj.26,0.03568700905377108
