a_subj,t_subj,z_subj,v_ES_AttentionW_E_subj,v_ES_AttentionW_S_subj,v_ES_InattentionW_subj
1.8315439514156233,0.3830403397310656,0.4885400605296212,-0.037705212320268355,0.03287177725783646,0.04440016524459957
1.6825532259623375,0.31094905197213357,0.5687518319250358,-0.019448844588597164,0.03591529670782462,0.03197336884695334
2.154213902434364,0.43344273389289584,0.4766800595398983,-0.04176403386827533,0.046203956196040265,0.042788646038230904
1.6970975644436963,0.3053881294898442,0.5470704401854546,-0.04569123000358028,0.05296803856360966,0.054155014696541326
2.0333270486742756,0.432645836887196,0.47826855421974834,-0.04002280999888036,0.03644648136120767,0.03469498821049448
1.6496924368994206,0.5902601811352388,0.5839732777464557,-0.0429869112596841,0.022982611453778234,0.03597930117871915
1.5757183420189989,0.3826467531163424,0.4812191270487468,-0.04955248275551683,0.051317981163977434,0.058427436780388635
1.93653502586214,0.4498095816795018,0.48045737834910596,-0.03575874487020653,0.0346558909569072,0.04243463392150619
1.0610012736745602,0.3696165983598242,0.5299400617476672,-0.06836417948932087,0.04260884039680661,0.051491057143921146
1.6981873094280333,0.45260426833216166,0.4489518972971973,-0.04615726849690824,0.03771365263731517,0.04168747596290915
1.2845844555078678,0.3723253582476546,0.4252419819663356,-0.04930944235980817,0.04745379521423367,0.05225615420756407
1.6936279151970584,0.391657150029056,0.5094401887780228,-0.054275667207448884,0.04604286967356307,0.0500383433683249
2.0231142698001223,0.3776998293965352,0.5555617909487801,-0.03535604373301481,0.037457877410836136,0.04108628363460596
2.257558558163563,0.4256735299236945,0.4542471676680534,-0.04013648529105089,0.03574730372751012,0.0380700114726968
2.242670827627897,0.4539437198509548,0.4126500755232039,-0.04875916467143698,0.04631958335050317,0.04595519122648701
2.6628674566915644,0.47623611329452903,0.43081547090699474,-0.048171763003799675,0.04778137187903347,0.05011416690453626
2.4173645622829154,0.3546894001412516,0.45139028591860586,-0.04916579196177189,0.0607522292606334,0.04945015834121322
1.8329323463071074,0.35098465271285234,0.557392196471774,-0.037345049628585876,0.03371051961333339,0.03591809799796784
1.4504587461000868,0.3289151238752515,0.4866225446213588,-0.015610627742162828,0.022897444667669645,0.021738684382850385
2.279087406844703,0.4460684668347547,0.42293050058778653,-0.029408484369304242,0.02558966056473081,0.022606735507009593
2.4807016798336674,0.5502456308704303,0.4243385453166667,-0.04271419433248424,0.055346137674514316,0.05272482265287021
