a(ET)_subj,a(LT)_subj,t(ET)_subj,t(LT)_subj,v_Intercept_subj,v_ES_AttentionW_early_subj,v_ES_InattentionW_early_subj,v_ES_AttentionW_late_subj,v_ES_InattentionW_late_subj
,,,,-0.3183656634786524,0.05043613173029545,0.05706018993922298,0.03656140215635738,0.047949267135353406
,,,,0.6539196804729335,0.03792377497206684,0.04860877985350896,0.0316465291688448,0.027952813847475846
,,,,0.08720803178170719,0.05727216611794576,0.05854098014703257,0.041983504812932164,0.0385343720368277
,,,,0.17879541988535433,0.058715916160848924,0.058662534012763,0.05130782123926363,0.053411386942337304
,,,,-0.2465165795848471,0.049443130343697496,0.045473682906674376,0.0360567529905167,0.039472462853554116
,,,,0.050191026928265915,0.045330727069189766,0.05025122404675864,0.04166138128557608,0.03767888872585255
,,,,-0.021730662261280235,0.05815875292645463,0.07241765225345415,0.0565006305364309,0.045524187490848626
,,,,-0.12341851917795885,0.043283265306664265,0.05543967110562259,0.0402380293295022,0.03875096335472418
,,,,-0.04011419112798169,0.06701624975204296,0.06577752958706701,0.0538858335453765,0.04284247095881348
,,,,-0.17382515158958473,0.058275980541186566,0.05282991474520289,0.041137027990646814,0.042764559954487066
,,,,-0.7304496992911654,0.06224584656566875,0.06759062078901418,0.04656631527442794,0.058595181156617694
,,,,-0.4741162211814795,0.06352262796163376,0.06825234083628305,0.04822275670348838,0.05001530749464022
,,,,0.030850910056506687,0.05053540460443433,0.057572804554633705,0.03867941843632273,0.04106879772366311
,,,,-0.3168230505799125,0.055906249081742125,0.05547193746722501,0.0355758345928616,0.03679693632953084
,,,,-0.4587075710658113,0.053702120200040546,0.05618063517636888,0.05090999504159373,0.04312134943429072
,,,,-0.1973426980808814,0.048809828669927106,0.054268459111483654,0.04806579618218257,0.04011203608759251
,,,,0.15038897174300114,0.06369445644255971,0.0638226759607191,0.040575643826814625,0.04039405889515743
,,,,0.12829339590939873,0.0460004365499211,0.05357561040055136,0.04264290542551329,0.03574298247601834
,,,,0.13523590049245043,0.03311422018156757,0.03991383983575545,0.01717690934326817,0.02407103144289739
,,,,-0.20446163105397563,0.050474217363867147,0.028085192695990916,0.019406487857781624,0.02979962510643987
,,,,0.03774954957477226,0.05700530732223751,0.060076060140167184,0.037491710260524426,0.045233335366668466
