a_subj,t_subj,v_Value_diff_subj
2.0978752610541695,0.3857496962252976,-0.028349748770885363
2.220089139370434,0.366945683331544,-0.03159647552109566
1.8209566097326155,0.5287871260741878,-0.019474560192264366
1.9723562018842853,0.5019010918471133,-0.024755367846186618
2.083223360388824,0.4929739834699475,-0.03087282719960443
1.8796759918483876,0.449903951110975,-0.04626643458876784
1.1792147108847642,0.23936830494926709,-0.017882905370056837
1.721709304068694,0.4577278616286619,-0.03368961945271375
2.053950880899748,0.4456979086998201,-0.025037271721276518
1.8484956338593908,0.4191471530721469,-0.03989075105876941
1.5521609577412678,0.46104373841846347,-0.025475634911844396
3.146440238906203,0.37860148947576544,-0.02249035224713767
1.9845114177844347,0.4663461144097676,-0.018848627763558713
1.6338724880390034,0.38934261178216173,-0.03927735366072545
1.6244189248052403,0.35058432404880374,-0.020018551886841714
1.266314387752162,0.3200642221408307,-0.029635053891231163
1.848576579925866,0.4231098489610493,-0.03537916008689218
2.0383527460662476,0.41610827288335744,-0.05056253641097805
0.9240299346335166,0.22504235267796138,0.0008080215988670075
1.2192092698372805,0.4310411505243542,-0.025923494116579855
