bin,mean,sd,n_subjects,sem,boot_ci_low,boot_ci_high,model_mean,model_sd,model_n_draws,model_pi95_low,model_pi95_high,mean_draw_subject_sd,mean_draw_subject_sem,pi95_draw_subject_sd_low,pi95_draw_subject_sd_high,pi95_draw_subject_sem_low,pi95_draw_subject_sem_high,obs_mean_in_model_pi95,model_mean_in_obs_boot95,obs_boot95_overlaps_model_pi95,diff_model_minus_obs,ppc_p_2sided
1,0.37714540936251095,0.23524032375120904,20,0.05260133549567617,0.27575687228986717,0.47672122372712117,0.41151732048058326,0.02270891247137169,2000,0.36854878180618245,0.45922800571401967,0.21933776887602086,0.050343998745754806,0.17929792628670632,0.2558267358856227,0.04139276255407172,0.05823152679054367,True,True,True,0.03437191111807231,0.107
2,0.4301223919825984,0.14459642162556294,21,0.03155352606280437,0.3684079905050383,0.4888120160046871,0.4549696461416072,0.014559735348765817,2000,0.4278930489868747,0.4833715763519075,0.12989753377455504,0.028345965767141965,0.09783134241182982,0.1609646843077799,0.02134854914006447,0.035125373812146275,True,True,True,0.02484725415900879,0.08
3,0.4912608988076226,0.0747019905946761,21,0.016301310783999164,0.45790027371065817,0.5225418556083439,0.48649756427332563,0.014225191338290812,2000,0.45813267032319177,0.5151265481779855,0.08216915268116216,0.017930779140562344,0.058132345910313146,0.10926213142397789,0.012685517879017456,0.023842951802028185,True,True,True,-0.004763334534296948,0.727
4,0.5274837950958148,0.1026907308629755,21,0.022408954635710625,0.48492701834101415,0.5712196700973617,0.5054287628142903,0.016096672405209688,2000,0.4743713310152549,0.5372140614442141,0.0853656940054254,0.01862832164439523,0.06044530035078794,0.11931594182306553,0.013190245917229835,0.026036873096149767,True,True,True,-0.0220550322815245,0.164
5,0.5330778038448694,0.18303877010173986,21,0.03994233424299251,0.45238469151567623,0.6076107209141645,0.5131354186332517,0.023526478367969415,2000,0.4674229531182416,0.5590097997539435,0.10700473199132332,0.023404461186508154,0.05974369560125241,0.15411474829947008,0.013037680684866819,0.03363059522816136,True,True,True,-0.01994238521161762,0.41
