bin,mean,sd,n_subjects,sem,model_mean,model_sd,model_n_draws,model_pi50_low,model_pi50_high,model_pi95_low,model_pi95_high,mean_draw_subject_sd,mean_draw_subject_sem,pi95_draw_subject_sd_low,pi95_draw_subject_sd_high,pi95_draw_subject_sem_low,pi95_draw_subject_sem_high,obs_sem_low,obs_sem_high,obs_mean_in_model_pi95,obs_mean_in_model_pi50,diff_model_minus_obs,combined_sem_emp_vs_modelsubjectsem,z_approx_emp_vs_modelsubjectsem,p_approx_2sided_emp_vs_modelsubjectsem,ppc_p_2sided
E>>S,0.6146499266279711,0.1656185513825453,21,0.03614093086664034,0.5860140634067185,0.011625232294668147,2000,0.578257192772953,0.5942618476331993,0.56258103183463,0.60841532110209,0.1425010067230521,0.031096269043609404,0.1156538597496405,0.16872900497366541,0.02523774127221591,0.036819687486971536,0.5785089957613307,0.6507908574946115,False,False,-0.028635863221252666,0.047677508663308076,-0.6006157625280957,0.5480959368768997,0.013
E>S,0.46196607041443744,0.14539486795122303,21,0.03172776133545659,0.48996087284464435,0.009636473527738349,2000,0.4835556378297562,0.4963825527216822,0.47115554403725596,0.5089899994020167,0.12551712583728683,0.027390082388698302,0.10465454219109153,0.14571777191422913,0.022837493400553643,0.031798224757012626,0.43023830907898086,0.493693831749894,False,False,0.02799480243020691,0.041915002715249526,0.667894563204259,0.5042008980976267,0.002
S~E,0.4423425197499173,0.13077458286097443,21,0.02853735356841381,0.44830057299840886,0.009516611276116643,2000,0.4418573177849483,0.45474999535224137,0.4304682821189912,0.46713077927645597,0.09736795791669556,0.021247430353168197,0.07867765045885892,0.11637078020731877,0.017168870891857053,0.025394186141957483,0.4138051661815035,0.4708798733183311,True,True,0.005958053248491579,0.03557855878617617,0.16746190547792916,0.8670066192468954,0.532
S>E,0.430586203693046,0.11694671802818583,21,0.02551986607813421,0.4502743687514564,0.009372089935842364,2000,0.44379870370779756,0.45669762222294813,0.43164038592107923,0.46848352427535295,0.09640680782163967,0.021037690207224978,0.0783758317124429,0.11545578892775187,0.01710300864178048,0.025194518675346063,0.4050663376149118,0.45610606977118023,False,False,0.019688165058410367,0.033073372581293774,0.595287493285337,0.5516513144911812,0.038
S>>E,0.531988975628175,0.10148315429405882,21,0.022145439824543207,0.5077031216940617,0.012459139096075066,2000,0.4994355164926073,0.5160486796361008,0.48317055452915375,0.5321257389836654,0.0961266386424107,0.020976552280024482,0.07254826051479295,0.12204998071711633,0.01583132834982927,0.026633489295432678,0.5098435358036318,0.5541344154527182,True,False,-0.02428585393411331,0.030503053135367688,-0.796177806409626,0.42592869532931915,0.051
