bin,mean,sd,n_subjects,sem,boot_ci_low,boot_ci_high,model_mean,model_sd,model_n_draws,model_pi95_low,model_pi95_high,mean_draw_subject_sd,mean_draw_subject_sem,pi95_draw_subject_sd_low,pi95_draw_subject_sd_high,pi95_draw_subject_sem_low,pi95_draw_subject_sem_high,obs_mean_in_model_pi95,model_mean_in_obs_boot95,obs_boot95_overlaps_model_pi95,diff_model_minus_obs,ppc_p_2sided
1,0.37714540936251095,0.23524032375120904,20,0.05260133549567617,0.27575687228986717,0.47672122372712117,0.4072294354820896,0.023130901925541868,2000,0.3641260061102285,0.45623611954633536,0.21739908904635077,0.049889910822000755,0.18064557298343642,0.2512713824244808,0.04176910102407017,0.05724833068503199,True,True,True,0.030084026119578666,0.181
2,0.4301223919825984,0.14459642162556294,21,0.03155352606280437,0.3684079905050383,0.4888120160046871,0.456130616393333,0.014621776774647745,2000,0.4272964728816649,0.4844584215703139,0.13006784417063122,0.02838313054245897,0.09959620189724139,0.16087800273978778,0.02173367305353396,0.03510645834325669,True,True,True,0.026008224410734637,0.079
3,0.4912608988076226,0.0747019905946761,21,0.016301310783999164,0.45790027371065817,0.5225418556083439,0.48790007912201155,0.01484996534777114,2000,0.4582465976227631,0.5160111233159516,0.0825001174844716,0.0180030015816829,0.06041367009778854,0.10846034559882635,0.013183343630152675,0.023667987790842487,True,True,True,-0.0033608196856110273,0.831
4,0.5274837950958148,0.1026907308629755,21,0.022408954635710625,0.48492701834101415,0.5712196700973617,0.5057049746567859,0.01565197096317215,2000,0.47495466446386325,0.5362496763732572,0.08506430955916548,0.01856255416638245,0.05849363069623066,0.1183708169346258,0.012764356682774737,0.02583062993698492,True,True,True,-0.0217788204390289,0.161
5,0.5330778038448694,0.18303877010173986,21,0.03994233424299251,0.45238469151567623,0.6076107209141645,0.5158664490627356,0.02392364825274561,2000,0.4693934105735257,0.5607955647967459,0.10759019708856886,0.02352973536312602,0.06069203579458337,0.1537286921916366,0.013389425126853363,0.03354635087879722,True,True,True,-0.01721135478213376,0.512
