a(low)_subj,a(medium)_subj,a(high)_subj,t_subj,v_Intercept_subj,v_AttentionW_subj,v_InattentionW_subj,v_gazeCI:C(OVcate)[low]_subj,v_gazeCI:C(OVcate)[medium]_subj,v_gazeCI:C(OVcate)[high]_subj
,,,0.38402124880069727,0.5764454812331018,0.018506170811071875,0.034258248633608226,0.0004491961805773949,0.00031156104983425,0.0004984761048787451
,,,0.30974703846201346,0.5279611731788404,0.005923964686481793,0.018585825757541145,5.311843854923968e-05,0.00040770750692587144,0.0006402164910576645
,,,0.42189120069924846,0.7679226128348887,0.023567242510777707,0.028947850913452016,0.0001908498840972255,0.0005487480681837323,0.00039080115506940906
,,,0.29488405462086453,0.568273087238564,0.03877236826137901,0.03842782710137026,2.9071865079047252e-05,0.00010000634328811067,5.287744450675719e-05
,,,0.42572828582067973,0.608102270415629,0.023874423399713914,0.020793742933270173,-9.520013783674572e-05,0.00010716264912430708,0.00018842780482474734
,,,0.5802130167230912,0.6161923133070375,0.01723907393939002,0.02528630581107309,0.00032520501986074224,0.000299852523799266,0.00025058978249161497
,,,0.3789809807665044,0.6461905254387148,0.03608040351881652,0.04812109954589145,8.607018546273278e-05,0.0003038836059900597,0.0007972259066538459
,,,0.44838180013928636,0.5264529173183197,0.019428093362927324,0.03574826935100654,-0.000165180435512214,0.0005395652370093251,0.0006929304971530083
,,,0.37248388654519904,0.6224308125194341,0.04231200627070204,0.036444390313385464,0.00025719055749394036,0.00021931582179523975,8.4033044746652e-05
,,,0.4516931456896729,0.5632717590551697,0.029641542223303712,0.02656272451148969,-0.0006100429451258976,0.0004374269601717014,0.0004671696228184445
,,,0.38115591873804877,0.6216403587668218,0.03026007342099442,0.0384056663657118,8.630264481460937e-05,0.00023151033944713106,0.0007741100486060147
,,,0.3944873438177868,0.6092584649038744,0.034155949319548434,0.0370133654431995,0.00025164805192802567,0.00012446087375817688,0.0004024329412141462
,,,0.36614043225601084,0.6322203946996278,0.021114458490724984,0.025217992050049706,-6.67875284393074e-05,0.0002952689913605721,-0.0004637594954391692
,,,0.38527817150419796,0.5423005414445837,0.02774801328298754,0.029160994041131195,0.00035790710075684316,0.00026937994873756603,-4.85169629092951e-05
,,,0.4362198044779556,0.5865568805512807,0.025792682670651965,0.034896991000144796,-7.534078645348889e-05,0.0002773289585129538,0.000688749696026972
,,,0.4472546124363903,0.597800682688165,0.028528810523267292,0.03855398638315275,1.2746355836084292e-05,0.00046964573172979463,0.0008009261161516497
,,,0.36724477679754824,0.7133677781673461,0.041572151503504275,0.040504431975728755,0.0003793264646942142,0.0005285122034472095,0.00012894628541196686
,,,0.35740583673399595,0.5947934532042808,0.01660696473853195,0.02768023405097146,0.00018058852565187137,0.0004196794427262096,0.0007009508285925292
,,,0.3314396924935456,0.5070245781793596,0.004307482455443948,0.013004098490216475,-3.421431542296499e-05,0.0003138246437708442,0.00024934463057554927
,,,0.44183016034614103,0.34212106129734726,0.02207407826380639,0.0076628217318329426,-0.0002065219395349993,-0.00026878233020996014,0.00020591291239027137
,,,0.5370596314700491,0.41548728277879554,0.03812461190503843,0.0444904568407762,9.796693697562178e-05,0.00025695110424579846,-2.9706681996585226e-05
