stat,observed,mean,std,SEM,MSE,credible,quantile,mahalanobis
accuracy,0.49044289044289047,0.4920836905921939,0.05345902533603808,2.6922251299542447e-06,0.002860559615009252,True,50.91428571428572,0.03069266861843348
mean_ub,1.0890511172545503,1.0681384016170976,0.27168464742295206,0.0004373416753329575,0.07424988932066691,True,53.773809523809526,0.07697422668457325
std_ub,0.7948249511494707,0.5648000445257956,0.21152252819386755,0.05291145766723047,0.0976532376007559,True,85.12142857142858,1.0874723774710633
10q_ub,0.5340530687824412,0.608266611569623,0.12856933084241795,0.00550764993302487,0.022037722766292022,True,36.04047619047619,0.5772258617270263
30q_ub,0.6967239115754182,0.7340958152086251,0.16672834741023068,0.0013966591811697,0.029195001011316196,True,44.61428571428572,0.22414846793421567
50q_ub,0.8737024189713338,0.8876401723974517,0.21472389315936258,0.0001942609705672617,0.04630061126408056,True,47.990476190476194,0.06491011885563043
70q_ub,1.1194044986498284,1.13613263202338,0.2944201182876929,0.0002798304461633312,0.08696303649870304,True,48.86428571428572,0.05681722251468462
90q_ub,1.8005100969064642,1.746931938767717,0.5083068015629102,0.002870619029540617,0.2612464235446579,True,56.23809523809524,0.10540515683443255
mean_lb,-1.060519007826157,-1.0337318380266265,0.21852684802156241,0.0007175524658688817,0.04847153577210803,True,51.142857142857146,0.12258068078155512
std_lb,0.8644884999148749,0.5570928790318154,0.20792592851688443,0.09449206773808164,0.1377252594876902,True,91.9404761904762,1.4783900357001303
10q_lb,0.5419935323757272,0.5879337702196978,0.09639186961607317,0.0021105054531605893,0.01140189798124272,True,33.142857142857146,0.47659868023049695
30q_lb,0.6742808129161858,0.70649712389665,0.12145374458332765,0.0010378906931899769,0.015788902766502258,True,38.23095238095238,0.2652558065705503
50q_lb,0.8293280940833938,0.853474580623919,0.15853435273938288,0.0005830528122517648,0.025716193810747093,True,40.01666666666667,0.15231075235926936
70q_lb,1.0595794399283478,1.0937981850429659,0.22961409722049264,0.0011709225172191993,0.053893556159601425,True,39.67619047619048,0.14902719619065324
90q_lb,1.748626132332447,1.6973238038325598,0.4473096129189574,0.0026319289095103437,0.20271781871921654,True,54.00238095238096,0.11469086963078994
