,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,1.9084689414610696,0.10164960592103507,1.7187347085058153,1.8426782006998859,1.9028655787110926,1.9727787748885461,2.1196967455336995,0.0024240386088431962
a_std,0.45921397138453934,0.08335381974357382,0.328021336786525,0.4003933255109839,0.4490000185966469,0.5071189760562305,0.6464507103756318,0.0020810236748273966
a_subj.2,1.8533908553600256,0.06941115004778282,1.7200452788252283,1.807651206345392,1.8524606617263795,1.899234565771788,1.9913137187678465,0.001866461171463371
a_subj.3,1.699915029969083,0.054861929732225714,1.5957295668405376,1.6604014966530332,1.7000719146459262,1.7377622329020794,1.8076260465281142,0.0014576718319207565
a_subj.7,2.164003735718613,0.08955626213293742,1.9977817342744617,2.103136376176723,2.1606600123055966,2.2206067325584304,2.351114577645041,0.0033058728975493674
a_subj.8,1.7093792846076037,0.06585518797538881,1.5859504208023532,1.6631248461450294,1.7082439721356033,1.7544703272256181,1.8377781841486167,0.002106883411014988
a_subj.9,2.0575403079346053,0.07885166840632986,1.9095339878505224,2.0018254582397836,2.0569579664011948,2.1100411755238664,2.2146578609553225,0.002697656966145815
a_subj.10,1.595161132352148,0.05393894636757827,1.4939524819957075,1.5593205287029883,1.593059414829877,1.6290878286011101,1.70619434159367,0.0015995529895604665
a_subj.11,1.5696695732689108,0.07108920012069926,1.439585882059755,1.519484239042863,1.565570327721919,1.6166693210775906,1.717812196021508,0.003128429128588287
a_subj.12,1.9381125169945084,0.07112852600650317,1.8023525508447884,1.889855766667184,1.935966370898303,1.9856151022042945,2.0808345305377056,0.002409202785880543
a_subj.13,1.035305764405306,0.037275865637100745,0.9670822516823423,1.009485582600617,1.033591722604831,1.0604165269164465,1.1104052775358384,0.0010140125408242624
a_subj.15,1.695978551905898,0.06566661862254093,1.5665224761837455,1.6512849000410434,1.695025314529935,1.7409351498746553,1.8271933923068553,0.0020492477788731697
a_subj.16,1.2840680702984033,0.04961878713703945,1.1800112525043853,1.2536192971914022,1.2859258136017213,1.3173853261410802,1.3804264367435692,0.0019942408620326033
a_subj.17,1.720867498649402,0.06589315624335403,1.6007401443420386,1.6732020662720284,1.7188748126472766,1.7625139261446612,1.8604315781963077,0.002383992508054453
