a(high)_subj,a(low)_subj,a(medium)_subj,t_subj,v_ES_AttentionW_subj,v_ES_InattentionW_subj
,,,0.43762171545955897,0.03246226885390615,0.03353509361412421
,,,0.3728916862334923,0.03371373685412293,0.029768555039790666
,,,0.5419558746582401,0.020220810480581837,0.020800393548653623
,,,0.5580796447171505,0.026578160032748935,0.028311814348000876
,,,0.4978752924071245,0.030987855642141033,0.03092639068034468
,,,0.45916968142331427,0.045099330687934466,0.0457638136839624
,,,0.23808031737302504,0.02475678985933282,0.013247600742545721
,,,0.45862958028798895,0.030893288013592708,0.03699569028214137
,,,0.46926854718355265,0.024605311543027867,0.027025039952339982
,,,0.4280332650204109,0.04410517636696109,0.03560918354437391
,,,0.46228329649987543,0.02343785515890871,0.0283731105362747
,,,0.47422277546920666,0.02262283598536984,0.025287266378021166
,,,0.4877559920184868,0.02105274500138105,0.018069915156555066
,,,0.4357083316683935,0.04860136782759431,0.0446351973363823
,,,0.37279844501805315,0.020742259223238003,0.023213192379897447
,,,0.33197010300095087,0.034119610643666344,0.029607322808505577
,,,0.4516652385408967,0.034826216936535453,0.033528670620427165
,,,0.4341902742329572,0.053050136765434554,0.05374934944482992
,,,0.2209265469255315,0.009500177942926218,0.0010311115603893486
,,,0.43844154011937886,0.03188611127458959,0.02642627189648715
