,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a(high),1.7537562250893646,0.105171472599351,1.5457016959513608,1.6827210419298853,1.7538074663653114,1.8237726522453044,1.9616045015468777,0.0009792358835913346
a(low),1.9174362608650262,0.10703486463470546,1.710996330522522,1.843571066642649,1.917349545835814,1.9887712473460706,2.1298791057392177,0.0009682310234714163
a(medium),1.7928948681341081,0.10434180690802679,1.589787632875231,1.7224299409046568,1.7921589508702032,1.86370769112296,1.9998920075296134,0.0009904518090965743
a_std,0.47657307785347797,0.05186831584493757,0.38791661704313307,0.4401494240425521,0.47323012188269536,0.5079150814161761,0.5905777860659884,0.0006043345452025578
a_subj(high).1,2.2192579425912404,0.12113031268025498,1.9963025708750952,2.135949155989194,2.215550334786141,2.298277938578186,2.4702863277716545,0.0010867934152908607
a_subj(high).3,2.1735825736333707,0.10866045086263953,1.9715098775569655,2.098345605905902,2.171162646769064,2.2452929246400624,2.3961657465267034,0.0011832170926946155
a_subj(high).4,1.6275691717936471,0.07701958150475154,1.479039755865878,1.5754213816532487,1.6257755411950197,1.6782028443445753,1.7834563906373364,0.0008476879871543495
a_subj(high).5,1.8795403959636985,0.0967363394736335,1.7017767985508767,1.813432364903334,1.876345814667254,1.941126388990182,2.0805844671075295,0.001148059562887863
a_subj(high).7,1.980622274290088,0.09269162548546124,1.802657366765005,1.918008739763613,1.978437703548841,2.041529745948118,2.166995141592217,0.0008324081824249152
a_subj(high).8,2.1066939008453285,0.09775089460811379,1.9188374632994623,2.0403478368254238,2.1042338851347555,2.1706083264130793,2.306141402227138,0.0012035668154601986
a_subj(high).10,1.1806137715594742,0.0679554298557256,1.0558433103772407,1.133768551730616,1.1774985402517673,1.225391839891232,1.3229623083835889,0.0006203300605080653
a_subj(high).11,1.6862589284389087,0.08051554046238728,1.5356391103219542,1.6311937627625839,1.6842331661068077,1.7403548480002267,1.8500924164532684,0.0007547924427042231
a_subj(high).12,1.7799870908163264,0.08862518136854487,1.6118591477426492,1.719799336780985,1.7770528031348327,1.8384642523461827,1.959042301841924,0.0008029673280625142
a_subj(high).13,1.5255126159148136,0.09396909797676403,1.3499651104925925,1.4597762599164446,1.5231850065854466,1.587584976425985,1.7164807843271284,0.0012446800978712308
a_subj(high).15,1.5566356556827416,0.07266433422523452,1.417438800652012,1.506815399349037,1.5548121639913468,1.6060935245448884,1.702554412477946,0.000716844184975656
a_subj(high).16,2.8436960422795283,0.15720360312308918,2.5494943240591037,2.733516555850028,2.8395949607399857,2.947944857768283,3.1639905084793183,0.0016225299655309136
a_subj(high).17,2.1187257181676045,0.14956660320402507,1.8382375554456647,2.0168004544505007,2.1120568920113723,2.2148918477114594,2.424833988809042,0.0013904620648081338
a_subj(high).19,1.5166719625094411,0.07748385999071987,1.3712805207728742,1.4637294335209938,1.5143564366671807,1.5678415831429224,1.675922374470879,0.0008055484278282558
a_subj(high).21,1.4077485909114407,0.07050470305785349,1.2733165355798752,1.359447024712066,1.4067004759494144,1.4545235901700544,1.549241451243129,0.0007205059932402724
a_subj(high).22,1.2175020869236866,0.06610075129423053,1.0843134008895439,1.1753729656366747,1.217405897432771,1.2602479000980569,1.3475995954778623,0.0013112918168716537
a_subj(high).23,1.481229420567511,0.0813698489937727,1.3266747859628962,1.4256237971717347,1.4792190100180245,1.5349246806411214,1.6463952304091396,0.0008076335476941655
a_subj(high).24,1.8198948625973173,0.10316409292157132,1.629147267634146,1.7482857343274776,1.816355323675679,1.8879178164154033,2.0285598613104905,0.001389676911881735
a_subj(high).25,1.2736254546412251,0.11147966682194115,1.0653983482567941,1.1967074983603356,1.2699913541003935,1.34680351290923,1.5013456631665623,0.0012736452480598525
a_subj(high).27,1.321740644484265,0.06637799542001223,1.1967509455871785,1.2757114515068002,1.3199971373480701,1.366208339748229,1.4562153425464288,0.0005147378891501367
a_subj(low).1,2.395951053132954,0.09788150395643658,2.2096901264529767,2.329435493603622,2.3939216478060095,2.4606189352709773,2.5937097714854476,0.0011303626857970335
a_subj(low).3,2.274504835624799,0.10269889667982779,2.0794436975270387,2.204472659639892,2.2708846445896294,2.3423503591830803,2.482701592410309,0.0010165193259908032
a_subj(low).4,2.0412987777034433,0.09817650910950569,1.8585225711625926,1.9737046320554237,2.0389882370740064,2.105779866194128,2.2454948373095176,0.001080395151262561
a_subj(low).5,2.164699789465588,0.10564096200917705,1.9664786620734405,2.092603857845941,2.162321744039428,2.2345676684616387,2.377707505197102,0.0010460893074196302
a_subj(low).7,2.1866763372612934,0.09317812586656833,2.009789374273126,2.12325811836194,2.1843385181561104,2.2473054820789327,2.375374917481052,0.0009363859055293363
a_subj(low).8,1.800700649787443,0.08344078799245283,1.6435139903501277,1.7426105487040378,1.7993802386224376,1.8560882835990782,1.9675295690287076,0.0010040626784341704
a_subj(low).10,1.2514393677677003,0.06225124541947861,1.133778987173705,1.208349043006406,1.2499463185265107,1.2918490835326795,1.378316342201515,0.0006175182130773345
a_subj(low).11,1.7777238849754409,0.08056794617453104,1.6253189201452516,1.722611961965866,1.7759168644722656,1.8302765723827912,1.940542842204961,0.000926686079168848
a_subj(low).12,2.2193324100939784,0.09797526917236371,2.0353395800380216,2.1515710792236975,2.217241162215169,2.2829922347482956,2.418943426302609,0.0008064642764949094
a_subj(low).13,2.0546274666666506,0.0899558244615596,1.8843325462533,1.992044401496762,2.05339077165586,2.115575949372238,2.2358561267755017,0.0009183559433357991
a_subj(low).15,1.6323780269453856,0.0686168121628204,1.4995257678119336,1.5858956068338823,1.631703853422873,1.6778423639641313,1.7698954138571277,0.0006215682654069537
a_subj(low).16,3.3488109888684634,0.1649048913438453,3.041978280326111,3.234594049391701,3.344623096617179,3.4570635514639947,3.6845312477302636,0.0019612445286766676
a_subj(low).17,1.9943181735651456,0.1101687989782529,1.7893594650670757,1.9192848631464012,1.9909183420358405,2.0656652481282274,2.218433089548264,0.0012639252827071263
a_subj(low).19,1.87976862628446,0.0813115498240952,1.726949699668362,1.823433384977075,1.877677581018819,1.9340955375187194,2.042722462553207,0.0007691351835899871
a_subj(low).21,1.7314522768982887,0.06851804132425432,1.5996237060113154,1.6845944652334939,1.730252126781622,1.7774110567120507,1.8697134461431446,0.000689737604187254
a_subj(low).22,1.4079415402725513,0.06566108371359183,1.2836916310227873,1.3629112983754652,1.406758949499253,1.451345047858895,1.542484403770604,0.0006524635010261898
a_subj(low).23,2.286069382151631,0.09955846350689321,2.097056108180025,2.217008894436316,2.2829600519912865,2.3533337068002984,2.4856786661310113,0.0009632925956233749
a_subj(low).24,2.2941595948991815,0.12007823348812484,2.0747386768921467,2.210594373396161,2.288222490473132,2.37118949073644,2.547506105181156,0.0015822197690168534
a_subj(low).25,0.9989125857883873,0.08655645380597542,0.8416553595854662,0.9379755852632919,0.9952149108521362,1.055882835066075,1.17603713779611,0.0010068046504364007
a_subj(low).27,1.2780486274856153,0.05918618183548289,1.1651130389281839,1.2375504811298563,1.27682595220043,1.3168002333957396,1.3979822071217685,0.0005977216600223262
a_subj(medium).1,2.235531201776828,0.11005928504387735,2.026950251907772,2.1594537362176522,2.233286073815605,2.3079221634509897,2.4603396414620438,0.0014594835865266655
a_subj(medium).3,2.138569915035635,0.10825306846611775,1.935320470248706,2.063539466258996,2.1353135639372534,2.209592440699458,2.357543152825632,0.001532910553867979
a_subj(medium).4,1.822383791512867,0.08239836967751595,1.6643516799007074,1.7659760874749777,1.820900201093022,1.875949029673417,1.9888087911390375,0.0009362989251344732
a_subj(medium).5,2.0568635671482167,0.1077543872552134,1.8634549369203952,1.9802917592781397,2.051955209142454,2.127201467082823,2.2791622245534287,0.0014318753056264213
