a_subj,t_subj,v_Intercept_subj,v_ES_AttentionW_subj,v_ES_InattentionW_subj
1.851849706012467,0.3835467987417976,0.15249014374030326,-0.035197209314294604,-0.04554507858277842
1.6857221801795306,0.28817118882925447,-0.8032861972259419,-0.027262164546738073,-0.032515584773166246
2.1617899665120928,0.43267572679259275,-0.20332037439596143,-0.04410964227245203,-0.042690288672982246
1.7040863819197503,0.2955822247769594,-0.3568489950594832,-0.05193587346397474,-0.051846411934922246
2.036948739559075,0.4353354468796806,0.12299110836880195,-0.03799458468228962,-0.03547351658717666
1.6062425807378549,0.5770663164906574,-0.21892491511297946,-0.031014611163048423,-0.03363889443647309
1.5967938123194214,0.3790398390898778,-0.16372323066246602,-0.05057595387874979,-0.058653989638842254
1.9322819751931408,0.4518424458809022,-0.04537881831626432,-0.03511891894124926,-0.04246325576061501
1.0371533644165227,0.3717596617499471,-0.1527595536530788,-0.05682904538794602,-0.04871878364503584
1.6886672414634338,0.45244945341346693,0.0619179118271504,-0.04200279997987889,-0.04026023027154504
1.2976173324102445,0.3711415109600155,0.5191246517555252,-0.05072899645236771,-0.05443862309744238
1.7140623954404237,0.38847458821537356,0.19424570977391364,-0.05028324967895361,-0.05222927017974473
2.0159183477079337,0.35782125933378395,-0.2927789186673501,-0.03530399887700254,-0.040011923548369056
2.265618905259452,0.42543446314593486,0.21335932899457669,-0.037860635799272305,-0.038865179607081864
2.247149679414057,0.44758636900667653,0.32950924958180605,-0.04834305899586428,-0.04618817450596059
2.680314797139593,0.47103665615930973,0.04638190831333583,-0.04858793769208943,-0.050058637476465585
2.4316454450560205,0.3543623338837605,-0.286720994864632,-0.05671710839983421,-0.04992136047223247
1.836371183005074,0.33433998050661434,-0.20289912398148963,-0.03358609453698264,-0.035341956903538155
1.4551190284481437,0.3267523777997665,-0.24273601675598733,-0.017039390177902795,-0.02151285874287342
2.2720042470881516,0.4361844987841893,0.07478108195574365,-0.028289684943832327,-0.020916671962300033
2.44339722070629,0.5506318596644522,-0.11935273870516534,-0.04780898223737312,-0.05250996764219143
