a_subj,t_subj,v_Intercept_subj,v_AttentionW_subj,v_InattentionW:C(OVcate)[low]_subj,v_InattentionW:C(OVcate)[medium]_subj,v_InattentionW:C(OVcate)[high]_subj,z(0)_subj,z(1)_subj
1.8025450789249373,0.378884890142743,0.6062251722007529,0.02282505227338359,0.015298926727279852,0.03470495058459956,0.03250885495650696,,
1.7039474291819925,0.3191525581766383,0.44785920421380493,0.01623114995818131,0.00980721229966828,0.018515952254309534,0.02924872283978938,,
2.4075591641673935,0.41831743861117865,0.6555369590765908,0.029001521180203757,0.03036817662152687,0.023782740466523542,0.026942610007381608,,
1.7499103212559082,0.2959704802163001,0.6075991541220214,0.036781584657806295,0.0345340912953634,0.0445252063412466,0.03669065590774267,,
2.1031603730871202,0.4267470167683638,0.612134948915233,0.023568494176660695,0.016899334577808643,0.02592809562179451,0.012101287366417692,,
1.591709445820762,0.5846288908127825,0.6370783407956555,0.020815915161167004,0.012800245820263803,0.025629782735409785,0.02526737237772327,,
1.5797656305890087,0.37948150249239126,0.6665371571502472,0.033961806731802685,0.03912215336708246,0.04246051841335946,0.038356184067334806,,
1.9168593297761254,0.44818581345726416,0.5457865098991346,0.02292262886528734,0.02705062800392124,0.027875736990164678,0.031802373629258224,,
1.0141559316221929,0.37317928000961414,0.6223735539581445,0.039371544338014874,0.025454678425215146,0.0391844209503072,0.027793706998291392,,
1.6713289175196402,0.45725167808125133,0.5589481330944396,0.027799278101620587,0.02712936896268454,0.023996437469006746,0.024454582490973154,,
1.2425609842753287,0.37518208518826524,0.654281445454849,0.03154705438010189,0.01963788300211711,0.046654808908518634,0.02805930461081761,,
1.704759120367308,0.3900128334271022,0.6314299121076505,0.036695049161685714,0.023312690170865787,0.04085409499564163,0.034102161008716755,,
2.079760550343894,0.3804590699492684,0.5684336609796684,0.023519680491502114,0.026506936777354526,0.02258210519313297,0.036313846234363276,,
2.5040890541095324,0.40583940614012465,0.5108403751735695,0.027375238804813816,0.017852518010803793,0.023276782518530884,0.03299896591138058,,
2.2667430107015294,0.444680427332952,0.5952210697866649,0.030745260179165488,0.0251745735951085,0.03524319913437553,0.026639493715155803,,
2.806763183129672,0.4513024402125925,0.5852439171181668,0.03177726986372959,0.0397597580246289,0.03687253624976039,0.025181772849031534,,
2.883146593464396,0.3486710579053246,0.6115206528467134,0.0501017694009182,0.015412080178920533,0.03527521346742877,0.0517580455215697,,
1.8567921657349602,0.35022633547510323,0.5378060006189692,0.023398879695878824,0.01736726494109268,0.025231459258347643,0.025345923132001687,,
1.4342322478945102,0.33182302694919574,0.4865563720475107,0.00880011717804406,0.013118140790641953,0.010474691892723136,0.01568612827976799,,
2.299031906647274,0.4486666998304411,0.4120286908991759,0.013129344139830827,0.013582005154823194,0.022397888725132337,-0.013696374428027165,,
2.5201050350013463,0.5437296577522369,0.4758352467742027,0.03772666763531007,0.032216663209769084,0.03666448442967251,0.05030755057692547,,
