Model,Gelman-Rubin
a,0.9997003542429181
a_std,0.9996525685194898
a_subj.2,1.003776978335936
a_subj.3,1.00102729452529
a_subj.7,0.9999877929553072
a_subj.8,0.9995544653314937
a_subj.9,1.001111547360779
a_subj.10,1.0000286453679843
a_subj.11,1.0008977247810804
a_subj.12,1.002154854515884
a_subj.13,1.001164155587279
a_subj.15,0.9997563484126162
a_subj.16,1.00070909827658
a_subj.17,0.9995509783595127
a_subj.18,0.999492432479162
a_subj.19,1.0042657261850483
a_subj.20,0.999925625179365
a_subj.21,1.0039590933941973
a_subj.22,1.0039894403166012
a_subj.23,1.0016564205597516
a_subj.24,0.9996942844033645
a_subj.25,1.0007709772668159
a_subj.26,0.9999520385843856
t,1.0000184274909476
t_std,1.0041333335139109
t_subj.2,0.9995795788736561
t_subj.3,0.9998465172940957
t_subj.7,1.00588987219624
t_subj.8,1.0006249840459742
t_subj.9,1.0011349544647603
t_subj.10,1.0010341520870674
t_subj.11,0.9999215124685747
t_subj.12,1.0036394847017716
t_subj.13,0.9995156292624755
t_subj.15,0.9997329347421916
t_subj.16,1.0007400716014123
t_subj.17,0.9997940982308132
t_subj.18,1.0035508929925034
t_subj.19,0.9997790881170124
t_subj.20,1.0033935542556598
t_subj.21,1.0062113259559748
t_subj.22,0.9995011683800094
t_subj.23,1.0024845545031873
t_subj.24,1.0005099531580726
t_subj.25,1.0004725557204752
t_subj.26,1.000403926361565
z_trans(0),1.0022778528491672
z_trans(1),1.0017470405029674
z_std,1.002005389997133
z_subj_trans(0).2,1.0014749187673735
z_subj_trans(0).3,1.0047121436703002
z_subj_trans(0).7,1.002997076444609
z_subj_trans(0).8,1.0033493221003331
z_subj_trans(0).9,0.9996285636891009
z_subj_trans(0).10,1.000908741573809
z_subj_trans(0).11,1.0030860317609067
z_subj_trans(0).12,1.0016726413897539
z_subj_trans(0).13,1.0017939642404834
z_subj_trans(0).15,1.0006627724217556
z_subj_trans(0).16,1.0032697117197786
z_subj_trans(0).17,1.0021739077147962
z_subj_trans(0).18,1.0023300437376603
z_subj_trans(0).19,1.0008327739508986
z_subj_trans(0).20,1.0074334278184425
z_subj_trans(0).21,1.0043137926456533
z_subj_trans(0).22,1.003459025484631
z_subj_trans(0).23,1.0039859563405802
z_subj_trans(0).24,1.0003096275384853
z_subj_trans(0).25,1.0004603419288958
z_subj_trans(0).26,1.0023709436255457
z_subj_trans(1).2,1.0032021215660387
z_subj_trans(1).3,0.9998848981953496
z_subj_trans(1).7,1.002149409430586
z_subj_trans(1).8,0.9998624926016965
z_subj_trans(1).9,0.9995399157782588
z_subj_trans(1).10,1.0002017901066311
z_subj_trans(1).11,1.0018344523954779
z_subj_trans(1).12,1.0021542150162985
z_subj_trans(1).13,0.9996006977047925
z_subj_trans(1).15,0.9997343456148369
z_subj_trans(1).16,1.0022769363900528
z_subj_trans(1).17,1.002134278803195
z_subj_trans(1).18,1.0014846983420367
z_subj_trans(1).19,1.0003685627728214
z_subj_trans(1).20,1.00391154868873
z_subj_trans(1).21,1.0031634550127309
z_subj_trans(1).22,1.0046574372061774
z_subj_trans(1).23,1.0017139379916824
z_subj_trans(1).24,1.0002645605434417
z_subj_trans(1).25,0.9995677624561445
z_subj_trans(1).26,1.0027425657696412
v_Intercept,1.0007717206842297
v_Intercept_std,1.0232186208962943
v_Intercept_subj.2,1.0041038336776962
v_Intercept_subj.3,1.008448486739437
v_Intercept_subj.7,1.004358718211778
v_Intercept_subj.8,0.999651850028653
v_Intercept_subj.9,1.0012886841041468
v_Intercept_subj.10,1.0041570524050853
v_Intercept_subj.11,1.0033013565585427
v_Intercept_subj.12,0.9997981121162342
v_Intercept_subj.13,1.005205339878676
v_Intercept_subj.15,1.0014993837951354
v_Intercept_subj.16,1.0012281746084064
v_Intercept_subj.17,1.0117551737236172
v_Intercept_subj.18,1.000817794093637
v_Intercept_subj.19,1.002957161916824
v_Intercept_subj.20,1.001216103714701
v_Intercept_subj.21,1.0060185005408357
v_Intercept_subj.22,1.0013583025318409
v_Intercept_subj.23,1.0008824322555068
v_Intercept_subj.24,1.0074564739298726
v_Intercept_subj.25,1.0056041802778826
v_Intercept_subj.26,1.0101501407680624
v_AttentionW,1.0017676321014042
v_AttentionW_std,1.0004738352300713
v_AttentionW_subj.2,0.999869222836079
v_AttentionW_subj.3,1.0019177496138625
v_AttentionW_subj.7,0.9997612072684037
v_AttentionW_subj.8,0.9994483779429542
v_AttentionW_subj.9,0.999707843033458
v_AttentionW_subj.10,1.0034041282598902
