a_subj,t_subj,z_subj,v_subj
1.9180742538181177,0.4432969690861891,0.350515456730762,0.02891126341005576
1.8558805730053458,0.3936595362867912,0.4928837844424452,0.06986238324620707
1.7195089030358282,0.5395224268178643,0.4818321043348362,-0.2075876423716446
1.8179208632619834,0.5510491609240782,0.4028613599146152,-0.19420445837328326
1.8047563774910063,0.5147044567993758,0.4850733209352989,0.057349325051043766
1.5141768765165602,0.4713404235515404,0.5061256075764293,0.26322434073266304
1.1874435400240928,0.24459858359307765,0.5791456256320782,-1.00702872730135
1.515089740249903,0.4713562551229974,0.5551638428804581,-0.4032011977662285
1.830527472519912,0.4729639754404441,0.45019171674358766,0.13248808927244854
1.5390394839921206,0.43734705769830473,0.4943298881323457,0.24786885956343857
1.4326697936097967,0.4727303749433129,0.4691275713781317,0.17686326227533355
2.5403126062370642,0.523111628294662,0.391957405574539,0.12957093821489238
1.8648514805662495,0.49224527529060697,0.5450245607859793,0.13002432217706517
1.4008494146137973,0.4394707563233588,0.3692707561348204,-0.0037082475076571524
1.5489671304685493,0.3770207273427715,0.6168525900470262,-0.2431327461044948
1.2013610487694883,0.32390676653319156,0.4954648208981804,-0.6068013906940022
1.5665415336080772,0.45245260069821497,0.43299468780860034,0.10177476526780724
1.5450949476036802,0.4546761897672722,0.41763567254147155,0.12645504207921765
1.0031350110150483,0.2202991622908521,0.5107484318899321,-1.167747451212458
1.203478678084901,0.43699435980044504,0.4404818110989694,-0.5413351034511772
