a_subj,t_subj,v_Intercept_subj,v_AttentionW_early_subj,v_InattentionW_early_subj,v_AttentionW_late:C(OVcate)[low]_subj,v_AttentionW_late:C(OVcate)[medium]_subj,v_AttentionW_late:C(OVcate)[high]_subj,v_InattentionW_late:C(OVcate)[low]_subj,v_InattentionW_late:C(OVcate)[medium]_subj,v_InattentionW_late:C(OVcate)[high]_subj
1.9047338623516343,0.4128266614016525,0.49353213686125696,0.059323708827777,0.07081901677890394,0.008969577985088257,0.013984317713580325,0.011555120393652267,0.01075600764059404,0.01373716256887107,0.014234689855280251
1.6999375080127281,0.30615764100040505,0.1445958011589989,0.04430971837683748,0.06218715624617473,0.007792844307221468,0.013678621661900403,0.014088995769153475,0.009910442663527684,0.012495986295406067,0.01203921310514961
2.6634199308539768,0.4426634320680758,0.8349713765831035,0.06749475263377674,0.06827904728977978,0.008642803024755445,0.014428470948434864,0.012457513775099701,0.00978200196454553,0.010554388823920024,0.009842272624076357
1.7508702144791577,0.3168282284417888,0.6608403831996602,0.07048677329235849,0.06582688641609444,0.008766048764571635,0.014689797947509057,0.012647120592664119,0.00920861764884783,0.01433343949455157,0.012734255249053411
2.1925069829156194,0.44321511030118405,0.5034292589474314,0.05893403901162221,0.05262682866317824,0.007962501267686077,0.014416720719560648,0.012436353919492426,0.010554928896831139,0.01308769876640556,0.010126554369041467
1.6713232135065197,0.5937985441712116,0.3288513795500218,0.05263317087644532,0.05863021937978859,0.009247001163964522,0.015079217637983406,0.010867147679237752,0.009694535945367446,0.013554288718111655,0.011410080800144815
1.6189752652607485,0.405583031154206,0.7344818196438743,0.06647769787806063,0.08416207282048928,0.009075205388386557,0.015161477303320585,0.013380138913976996,0.01153530926312016,0.012380655925766627,0.00927701748730702
2.0582579279054616,0.46116026212329225,0.4217225978040764,0.05000557176286859,0.06642710658629931,0.008156204069492795,0.01470954580936188,0.01318525439576272,0.011979347783802795,0.012213153078231873,0.012123518571634009
1.061546485580331,0.3733554712361725,0.6656963414598303,0.0807546918543985,0.07857087198385992,0.008870574330583124,0.015300002027392125,0.013150472064978219,0.010402749507549013,0.014565485028952793,0.006742593753149528
1.7759127670911337,0.4546700551844971,0.42147967213532184,0.07167659991198953,0.06251543977366633,0.008331934516541439,0.015420141897062659,0.011331331323294364,0.011837137442319326,0.012220133491484255,0.013860468886722828
1.2031857385345757,0.3944142492584838,0.5647353123875645,0.07331462133568026,0.0834999679258043,0.007877147610969137,0.014969449391455352,0.012721008692715122,0.009658093819909664,0.015158664781556152,0.013341494025954529
1.8168505457443815,0.4024696321485953,0.6008408129205529,0.07415332637995957,0.07560191106147138,0.008231526889038337,0.014804795948282845,0.012889331586351655,0.008792495779408445,0.014914130707420172,0.009925947352007606
2.26001595211897,0.38355266967778195,0.6282880414490267,0.06759692799648574,0.07971245053582707,0.00848333802683538,0.014853487434734951,0.010883187364647702,0.00950299625553716,0.013139383993407656,0.015116859491359453
2.4611268070622883,0.46078033179042327,0.49789302142496566,0.07047125867951813,0.06797919421124572,0.009059532958955459,0.013944937111470926,0.01140150865177949,0.006996365763344811,0.012891669420438416,0.01315920339547837
2.3721883902127328,0.4558228418328691,0.5500924014376795,0.059776333804832424,0.06579506486295744,0.008454195697300125,0.013995406884924587,0.013405552027050597,0.008729349281106438,0.013748910642763831,0.0098194958039019
2.992106963744689,0.4722677751151549,0.6442230055867587,0.05448289645143799,0.06071643421204,0.008638478244666431,0.014766094450493,0.012138220423057663,0.01164287112204497,0.012836205091754878,0.005266575595776755
2.775062083580763,0.38141285852404705,0.7593522238805652,0.07592962126833326,0.07407401524665906,0.008140654050104067,0.013805316124140567,0.013159466586342894,0.009603545403950375,0.012278370111272509,0.010447522625764935
1.9570687740025605,0.35228857971718663,0.454388772982191,0.051610533051635286,0.06422042721048259,0.00881473453256314,0.014144901202589634,0.013008393555059606,0.010773742728567034,0.012579700466959385,0.0124373968399587
1.4801276410583593,0.33167044804325535,-0.004681426478745018,0.04035577869161193,0.05074060903276629,0.008060464396305752,0.013923996881107799,0.011556122046577797,0.011525904136494096,0.012378261857613466,0.014334446933386343
2.4050868199284707,0.443094247249854,0.008145918867968348,0.06744242259368755,0.0325091985714267,0.0082869789051946,0.014413641819392278,0.012675518536009742,0.012351605097611696,0.014190691120577338,0.00836331896575121
2.609741573924608,0.5780359290241898,0.46114814615550387,0.06804755642819649,0.07332825251040422,0.008703633197274966,0.014147175876282014,0.010560822695118046,0.01277321112492972,0.013004812109157887,0.014807935600236884
