a_subj,t_subj,v_Intercept_subj,v_AttentionW_subj,v_InattentionW_subj
1.81836968714658,0.38203728576068186,0.05645675076564021,0.03342295041080568,0.04203702431424521
1.6012641406312678,0.3018295859733312,0.015333249511887246,0.021429144012201598,0.028519238424470274
2.2278067141020457,0.4234602013890579,0.45384518451613054,0.03382435382079912,0.03146254154924886
1.6891511044969933,0.3016874345310643,0.0887543026590936,0.05063453988457348,0.049381273737801566
2.0273307538015626,0.43057009089942716,0.19584951953824012,0.034071331833500855,0.029525474192890453
1.5947006374780812,0.5837398643721186,0.08455467703391739,0.029179601243558808,0.03175427996958145
1.574290033047704,0.38317766620890636,0.1347332633398003,0.048035491698214146,0.055355130931656865
1.935930172023792,0.447980816005996,0.021019501486615026,0.034039316425742816,0.04188060225455151
1.0353716512554316,0.37127155013539753,0.09725566793963007,0.054330205192446517,0.046555953065977915
1.6726605105371666,0.446637071141244,0.03120105020551414,0.04136548112742513,0.03650679841126687
1.2151749091399027,0.3771874092003423,0.0033160846586582043,0.046284997864462565,0.050717655938858276
1.6869548019562777,0.39105029342768527,0.11935356899395079,0.0483239082658625,0.04676900325647019
2.02651253203906,0.36542779019440996,0.1777803228363817,0.03059386065204431,0.03558369384400541
2.242451738241262,0.4165438132883457,0.1813906136112567,0.03312223006370534,0.031657629067740625
2.1625171671210732,0.4393196372715696,0.12844551615957495,0.04057742237514612,0.04142286863208654
2.6994816160653103,0.45213582218927584,0.15677999021288147,0.044888590018441324,0.04354864117505449
2.3886836381579264,0.3576382999731611,0.31577250712758276,0.048644606321504434,0.04120917807581094
1.8382864987213219,0.3414864510110952,0.13999866403081554,0.030678278040488904,0.03288854509474108
1.443217712176912,0.3296350331172682,-0.02906155164609665,0.017456057397659076,0.02242354798667403
2.2648251028693314,0.4175009820633462,-0.18772370532946253,0.03496951552328475,0.02093449120496147
2.42003305346207,0.5469279460224087,-0.07681716731498542,0.04863771394681385,0.053272908548610894
