a_Intercept_subj,a_C(OVcate)[T.low]_subj,a_C(OVcate)[T.medium]_subj,t_subj,v_Intercept_subj,v_AttentionW_subj,v_InattentionW:C(OVcate)[low]_subj,v_InattentionW:C(OVcate)[medium]_subj,v_InattentionW:C(OVcate)[high]_subj
1.5696416221157605,0.4100108682133829,0.27129904482045797,0.3832042310477279,0.5771310105806713,0.02233158789026069,0.018939756924910612,0.0353847678425981,0.02926113224232019
1.388020379929659,0.4490504235243129,0.059779729211398985,0.31117408274560504,0.5024813496810722,0.011043973357551327,0.01347424059616281,0.01628542232216382,0.022791877355826926
2.508934362842058,-0.20021917121459396,-0.22444999195816032,0.41327911849488524,0.6997264948953937,0.02927373172245429,0.03048021635195074,0.02312578864196446,0.02765123081825605
1.666707014145291,0.15119522128677187,0.07221016938050313,0.29412784106720785,0.5875290359154713,0.03773590139866255,0.03275807226549125,0.04033256459078414,0.03337213511372401
1.9950883221890978,0.16407760081974765,0.13093677240093418,0.42323729775690494,0.6062374451029697,0.02424806660913188,0.01790096917959281,0.026302187929163532,0.012987639461445127
1.513276931384714,0.027515653554717256,0.305072213877196,0.5815517045238588,0.6023940476335695,0.02123999902352188,0.010549755570909168,0.02632262158680772,0.023354942619288516
1.4378228882500868,0.27199730055696164,0.2425400360079059,0.37513144419511607,0.6728363472187863,0.035229609975058085,0.04305775895608878,0.044836788521585895,0.0368481138989343
1.761069127785005,0.1809849139650637,0.2889366168384506,0.44924660645932574,0.5241310577852906,0.023828439632441103,0.028346122349510932,0.030799839345212795,0.03072475484375647
0.9726966881648802,0.08296520583442563,0.04505035350748223,0.37304827245955147,0.6283050843326319,0.04026990742555854,0.027261885708298395,0.03991465331003507,0.028571805964831203
1.4725149013188414,0.39705109595421906,0.13266085096917432,0.45367360703522186,0.5340160880233925,0.0297327404682084,0.0317905887438007,0.022894757488428275,0.02310502408246154
1.301525061873489,-0.19135228274489843,-0.11648072700955148,0.38421660198451535,0.6349553036239496,0.0314895508042216,0.018217830383413968,0.04765148796145111,0.029554078183737963
1.6232161308540323,0.1959383129163911,-0.0036863456104361016,0.394417372022615,0.6190220709985434,0.03579540332342232,0.02500214631319083,0.03903086308897152,0.03306953335984703
1.9287857318646844,0.2123259350024143,0.12579236751312867,0.3668484570519757,0.5926751148563701,0.022651731692760347,0.02665003277321145,0.02130537977003945,0.03403058594175798
2.3209227329973166,0.08858276200341904,0.36489630807376033,0.3854265294903668,0.5200248431506076,0.030389929243647668,0.01845299057835691,0.025854505630536085,0.03405874397541766
2.1954750828228025,0.056759276394661176,0.008474743651176442,0.43377130957200566,0.5563285571369132,0.0294097791516825,0.02826799606716769,0.035392156887350625,0.02711304892827756
2.643133957506561,0.4986859031571421,0.014570193420393633,0.43551460378779516,0.586656347822765,0.03227383960945061,0.04178280275608082,0.032675124362480816,0.024275842890174034
2.2049559123986104,0.865680829895929,0.2030105417442236,0.36413100631305534,0.6613210456260474,0.049172877462729435,0.02293830005778574,0.03486592296578008,0.049033160204126375
1.4781707440876446,0.7133187559125439,0.2639904756587727,0.35701114635359565,0.5826454349321494,0.019670528030000363,0.02506418952597452,0.025228131386273184,0.02166552085006519
1.3136894985386225,0.17986839444793448,0.16702185061740915,0.3320085266146738,0.4802267834660225,0.007771106680821321,0.01453670290811715,0.010942770862045051,0.014716621735385975
2.173209122120476,0.3317228198136242,0.007623970358918546,0.4305434732082604,0.3790765428384176,0.016673311024955118,0.013870631967475136,0.018651250838117403,-0.01370921593417375
2.2935729081081173,0.35043036365681657,0.29908327730624984,0.5348712258063595,0.45214329677499926,0.039564383621436716,0.035123035808161146,0.038928407820401606,0.048764340977623874
