subj_idx,rt_quintile,subject_mean
2,1,0.45161290322580644
2,2,0.38961038961038963
2,3,0.5068493150684932
2,4,0.4642857142857143
2,5,0.5
3,1,0.7981651376146789
3,2,0.6027397260273972
3,3,0.5833333333333334
3,4,0.6190476190476191
3,5,0.5111111111111111
7,1,0.375
7,2,0.5573770491803278
7,3,0.47674418604651164
7,4,0.5194805194805194
7,5,0.375
8,1,0.5369127516778524
8,2,0.5076923076923077
8,3,0.5333333333333333
8,4,0.4482758620689655
8,5,0.7
9,1,0.45
9,2,0.3835616438356164
9,3,0.4482758620689655
9,4,0.5058823529411764
9,5,0.4523809523809524
10,1,0.0
10,2,0.6052631578947368
10,3,0.5454545454545454
10,4,0.4420289855072464
10,5,0.6046511627906976
11,1,0.4715447154471545
11,2,0.4523809523809524
11,3,0.48148148148148145
11,4,0.8235294117647058
11,5,0.625
12,1,0.4166666666666667
12,2,0.43859649122807015
12,3,0.4588235294117647
12,4,0.5487804878048781
12,5,0.4305555555555556
13,1,0.4873096446700508
13,2,0.5517241379310345
13,3,0.5714285714285714
13,4,0.6
13,5,1.0
15,1,0.19444444444444445
15,2,0.4782608695652174
15,3,0.4927536231884058
15,4,0.5625
15,5,0.627906976744186
16,1,0.32
16,2,0.3855421686746988
16,3,0.5789473684210527
16,4,0.6363636363636364
16,5,0.0
17,1,0.4819277108433735
17,2,0.45263157894736844
17,3,0.41935483870967744
17,4,0.2978723404255319
17,5,0.42424242424242425
18,1,0.7073170731707317
18,2,0.6153846153846154
18,3,0.46
18,4,0.4
18,5,0.38235294117647056
19,1,0.16666666666666666
19,2,0.37254901960784315
19,3,0.46808510638297873
19,4,0.5121951219512195
19,5,0.5822784810126582
20,1,0.08333333333333333
20,2,0.26865671641791045
20,3,0.4155844155844156
20,4,0.5142857142857142
20,5,0.5
21,1,0.0
21,2,0.14285714285714285
21,3,0.5454545454545454
21,4,0.48936170212765956
21,5,0.5041322314049587
22,1,0.4897959183673469
22,2,0.36507936507936506
22,3,0.582089552238806
22,4,0.5862068965517241
22,5,0.5903614457831325
23,1,0.6666666666666666
23,2,0.463768115942029
23,3,0.39622641509433965
23,4,0.4794520547945205
23,5,0.6078431372549019
24,1,0.44554455445544555
24,2,0.6206896551724138
24,3,0.6031746031746031
24,4,0.5227272727272727
24,5,0.68
25,1,0.0
25,2,0.1282051282051282
25,3,0.30952380952380953
25,4,0.5444444444444444
25,5,0.5035971223021583
26,1,
26,2,0.25
26,3,0.43956043956043955
26,4,0.5604395604395604
26,5,0.5932203389830508
