a_subj,t_subj,z_subj,v_Value_diff_subj,v_DTA_subj
2.3314887329270366,0.4362766819302184,0.32203395065294965,-0.03368259441053658,-0.11869473254686157
2.2222859168909985,0.36699236224982934,0.5028345474937805,-0.03169591408234845,0.004011831325059894
1.827180768061782,0.5350125779486085,0.4509233425649306,-0.019797854678484425,-0.06139348304743974
2.0525688816687446,0.5475173786928352,0.36783428430380666,-0.02707389097640157,-0.1483371909429065
2.082191659146124,0.4937571270359604,0.49284443846640624,-0.031024361801215077,0.046778309014897164
1.918631050567322,0.4515461228864743,0.5511935771879619,-0.04775458603873232,-0.03128383727202768
1.194788991003793,0.23846822216709154,0.5053050887383285,-0.018391298983892405,0.4627212516707857
1.7222625678286354,0.45849768244796885,0.5039098067463514,-0.0340450775179418,-0.22281326135405646
2.029063522256198,0.45951014761450815,0.4694562178118947,-0.025303940525832416,-0.03775654377431542
1.8614202645508717,0.4195318654225507,0.524308039058137,-0.04028016337715523,0.2824468148547064
1.552449041579189,0.4616670039651075,0.4918882942104423,-0.025731093395385318,-0.1377964201078104
3.165861527439798,0.4509523044460934,0.3998448477894815,-0.02410820834874769,-0.09795185933939138
1.9949605481107278,0.4816630158644246,0.5577302217484247,-0.01907034831489672,0.09721773215040164
1.7354337099615607,0.43419769481228854,0.334494799844887,-0.047096980721995474,0.12931539388532173
1.636338919963922,0.36977148816288236,0.5998238442757317,-0.020758576257539088,-0.14772516283130122
1.3107709553912723,0.3293272633944775,0.41450292931662114,-0.03155364481170608,0.12076290764450508
1.8587045452657815,0.43479141268937505,0.4332275533777671,-0.036906605028923685,0.04503376471987943
2.1030483282252566,0.43100558178362297,0.40501928505675017,-0.054625114825228444,-0.007132360481810269
0.9663477838311212,0.22379396605144108,0.44526978480311263,0.0006779410521844269,0.23692160624316835
1.314620684321712,0.4390990506754166,0.3755425353134361,-0.028623590703966972,0.2512937642004052
