t_Intercept_subj,t_C(OVcate)[T.low]_subj,t_C(OVcate)[T.medium]_subj,a_subj,v_Intercept_subj,v_AttentionW_subj,v_InattentionW:C(OVcate)[low]_subj,v_InattentionW:C(OVcate)[medium]_subj,v_InattentionW:C(OVcate)[high]_subj
0.35969151389953335,0.06783345257617981,0.023578555149497204,1.7722933492150705,0.5878610317005062,0.02204925990809452,0.01776271425872556,0.033704416955062586,0.030528656591270856
0.290444174935274,0.052313707670489144,0.00714734659819305,1.5824342426772813,0.5169697614335813,0.012186697243043004,0.011819439847890668,0.01749512842167256,0.024572299852578475
0.4173801777733654,-0.025825220343566244,-0.004927057679889421,2.3936997690800728,0.6907312960565808,0.03022330452170868,0.03081765432566859,0.02490116361010041,0.02827927535012262
0.2774486493740089,0.028518389616918206,0.024720525522097404,1.7377726578805432,0.5905054352676271,0.038261435588894076,0.03195622449334088,0.04101375486963997,0.03383676344769397
0.40818445557006605,0.015611194303249226,0.019739973594846857,2.1051862722809322,0.6090230841916103,0.0245624321587721,0.017235851980301333,0.026301829098485694,0.013405546055436037
0.5629137283508351,0.013750515879189821,0.053365919179681316,1.5915093622925294,0.5925179852865735,0.019781933953334076,0.011296748804065674,0.024890816583446926,0.022926685699440393
0.355098063575591,0.052275170205987063,0.02302334894937194,1.5666081990186322,0.6679551429605686,0.03364180548999838,0.042364444185249095,0.041802227546389355,0.035664117952975534
0.4115425134711621,0.05849520589168569,0.045142554650394115,1.9165978886006036,0.5399791780926407,0.022866329500088264,0.02867192118147743,0.028495068702380215,0.030023923872809926
0.36445801876360473,0.04772460879323664,0.007974677250548866,0.9636243498626446,0.6320864640274821,0.03941885815869627,0.028140409175529756,0.03820253569991983,0.028527403340465905
0.4287253730240062,0.056652063986247184,0.01244949051710909,1.6688147255186383,0.5508899135683765,0.029704003727147616,0.029487357757701782,0.02292778828020741,0.023723290067516563
0.4021596300515342,-0.028826497583295682,-0.023255091054869212,1.1935378163411519,0.6298925008791815,0.03081476072378753,0.01957849116686246,0.046263599885472954,0.029048749200852427
0.37782187857345373,0.04001338632378789,0.007580682685525636,1.6951101554550827,0.620945259144796,0.036274790440473374,0.02444489749367169,0.039575089912529254,0.0336073308620726
0.3578380722348652,0.06973011627556762,-0.00018149914747910914,2.0066662790483956,0.6042691745631458,0.021793870577619164,0.02752537531284612,0.020092746558583653,0.03411191190363451
0.36407089520963154,0.0305491955578568,0.03428553637028804,2.4635267545735875,0.5359638390235326,0.02925692091238018,0.018572476602421447,0.02404444662540791,0.03325037288781747
0.419155243962102,0.02861344548737504,0.009029026597066364,2.22156103001487,0.563947769373012,0.02890067836758511,0.028110237924904215,0.03506027565495389,0.026599546873348697
0.414253100612298,0.05336625945093864,0.005932016002035168,2.8217843283649016,0.5725765340801492,0.03325047088258576,0.038879751711609095,0.03414307113575285,0.025824552708284404
0.31239564496673683,0.08838022080316235,0.017855162960527114,2.696955832634164,0.6600609733994208,0.05152125958059029,0.01948021548452459,0.03634329577215959,0.052530382378422294
0.3266263480704132,0.15198440442634562,0.0234915251002854,1.7469558175041293,0.5974322274871817,0.01996716264331297,0.02444388687890023,0.024693863771698257,0.02279063985762151
0.3172029330310475,0.06580401951502592,0.019011873621197127,1.4060299789052704,0.49521274995852993,0.007399343173013806,0.01412765572597882,0.01032323302152781,0.014884294524698482
0.40108881669645474,0.10250510984177659,0.002346362658693642,2.289145360446776,0.40124484270941996,0.016430893525520525,0.012761457822233434,0.018675250403380243,-0.014852734791663446
0.5117810437716576,0.04681011381726137,0.023142833294888986,2.5133241535819626,0.4732104032395465,0.03865086754510194,0.03366367969372483,0.036863758487936556,0.04910367502286754
