a_subj,t_subj,z_subj,v_Intercept_subj,v_ES_AttentionW_E_subj,v_ES_AttentionW_S_subj,v_ES_InattentionW_subj
1.8507730953389132,0.38274372856560696,0.5199937411836759,-0.3757813899649486,-0.062255748473959344,-0.026581268053351575,0.04614744698686047
1.6888669146855593,0.3095647947681988,0.565636021501531,0.4416112244884946,-0.058328308750631934,-0.031197700372402607,0.031408901683892314
2.1577530252277706,0.43291865710390665,0.4798484251574966,0.1047562825608656,-0.06608713819061557,-0.022129458018718885,0.04243020287750517
1.6943861805632432,0.3076569661942434,0.5640025513808677,-0.036254844803657614,-0.06951758122039624,-0.017718963030444367,0.054517981335316414
2.0571504648972523,0.42928372530194076,0.505408697427162,-0.2921323208857034,-0.06329449574612402,-0.0250969359401355,0.035894747118979255
1.5898826949694447,0.5879680249690048,0.5336584414640612,-0.06172143113915771,-0.06009276087451767,-0.02913590129177587,0.034106489169926764
1.5813351704226275,0.3827824630952052,0.48686320327979,-0.0012951546744215526,-0.06911886455530332,-0.01767848360015725,0.05901442189635175
1.9387130316584114,0.44890970563840044,0.48895767969884074,-0.08810920001107829,-0.06188491545986882,-0.02670095298726213,0.042312430035011235
1.0384856987402815,0.3713420081339481,0.49338900034143224,-0.07302233162000908,-0.07210453915876777,-0.01492782014396989,0.04965978472733349
1.690317122873139,0.45431997100897287,0.43494718460107007,-0.03174417860365957,-0.06507617726828216,-0.02305950285189599,0.04077191629245669
1.2892960691550586,0.3718133355992454,0.4750222649882671,-0.6339927392983049,-0.06916873866544916,-0.018306265619619712,0.05505802510570074
1.730742900406498,0.3917136967783126,0.5393132572014049,-0.5340602736615772,-0.06977968629150683,-0.017562179862077067,0.05361347453609889
2.0233153328269906,0.3790009704230699,0.5684635693536568,-0.05391382847614882,-0.06216078178933988,-0.026399062824783506,0.04071330625491143
2.269270870541732,0.42269626265858223,0.4758692854982745,-0.29438324144041095,-0.06319558161392018,-0.0250446887388338,0.03902926592412602
2.2516865908814343,0.4480774935707901,0.44707394775162373,-0.32708948221304435,-0.0682087923417203,-0.019651249526419202,0.04628446895837253
2.6711709743132115,0.47617825737511793,0.4317858417478419,0.0010386430152720904,-0.06802653295199754,-0.019313725042094745,0.05045237169637729
2.4108732116034273,0.35782043140924885,0.460077231550943,0.23142282979225176,-0.0717358718220886,-0.014995902678437499,0.049849245888339944
1.8282033323280387,0.35204980884832104,0.5623892297738093,-0.1292706791810868,-0.06207169413521333,-0.0267053955675581,0.03610494368183876
1.4450632758587234,0.3294279761055738,0.49547446893629293,0.09285395220095431,-0.053990250841209654,-0.03662415386557504,0.02146647915617232
2.2681370756397126,0.44912119500833253,0.41540562642050116,-0.006850375136384577,-0.058563511349516026,-0.0308394775969841,0.021618433285839532
2.446871302671468,0.550632230238532,0.4477727339115776,0.11741886451283884,-0.06802891318580985,-0.020081587702091515,0.05268827601187678
