a_subj,v_Intercept_subj,v_gaze_quad_subj,t_subj
1.7300090904128218,1.030253112098697,1.2216011893744423,0.3820621743379486
1.6078131256144184,0.5487085322346793,1.0527310698788708,0.29659291294950924
2.243533190597502,1.124464367572086,1.0527893823053303,0.41332443141996345
1.6937370806257146,0.8673845566862393,1.527336488653716,0.29279025338258124
2.0800839110376375,0.8368679448755275,1.5549664185170649,0.4269265755428791
1.5784331155646307,0.8871055739454367,0.8385904586439402,0.5859253622973885
1.5489086588172123,1.016860084423649,2.0475713831091586,0.3824631349882564
1.8408540742990782,0.9518484468121736,1.291364632790503,0.4510897524671819
0.9850996982911755,0.8719937326637828,1.2274020689065928,0.37381260104675323
1.6587573487535088,0.8261884568490917,1.5137348420823142,0.45087888771333046
1.1725650235828793,0.9695246237795587,1.887364120932862,0.3826618349252199
1.7074472115535126,0.8049239115906581,2.108090925658123,0.3930226903989149
2.181657628533246,0.7168779287546503,1.699871061648417,0.3628854587870395
2.30342292698272,0.7622050976832676,0.6662857828502505,0.3937375790603435
2.150644761030543,0.8545167168390452,1.7234022629544805,0.42940800842906035
2.681694277284414,0.930595785553552,1.7627413131922522,0.43197647832323227
2.3767728540561346,1.1601461317355588,2.0473672565402095,0.33962795873952467
1.8770741591764528,0.7586156428342882,2.0426788111126037,0.341066872686822
1.4390112667237775,0.5857566558974465,0.994292311775327,0.3316655963711555
2.1917940297178897,0.5523992800926445,1.7566178876917826,0.4356022149423281
2.27990313768546,0.7758102727440822,1.476871323965157,0.533852854765614
