model,elpd_loo,p_loo
10,-10168.646279493105,5857.607386985561
7,-10073.049282988455,5768.460599904041
26,-11441.222867484259,7250.679869270718
35,-9999.590218581514,5760.183642474607
36,-10673.1242680112,6538.0469242739
