model,frac_k>0.7,frac_k>1.0
16,0.006526806526806527,0.004972804972804973
12,0.007148407148407148,0.005905205905205905
17,0.007148407148407148,0.005439005439005439
7,0.00777000777000777,0.006216006216006216
