Comparison,MeanDiff,HDI_lower,HDI_upper
θE-θS,0.038804453584138754,-0.15198282193537838,0.23231466546093615
E−S b2,0.0016339985045031105,-0.006523100606389255,0.009630727172992883
Med−Low a,-0.05530565463087744,-0.3136197551814415,0.2061931272306734
High−Low a,-0.24719395240316477,-0.5084192548117819,0.0018314150873994794
High−Med a,-0.19188829777228733,-0.4436266630133998,0.06546436885316043
