Contrast,Mean,HDI_lower,HDI_upper,P(>0),ROPE_low,ROPE_high,ROPE_%
Δθ (unsigned: |vIA_E|/vA − vIA_S/vA),0.03880445358413871,-0.15198282193537838,0.23231466546093615,0.6596666666666666,-0.02,0.02,0.15493333333333334
Δb2 (unsigned: |vIA_E| − vIA_S),0.001633998504503112,-0.006523100606389255,0.009630727172992883,0.6596666666666666,-0.002,0.002,0.355
Δθ (signed: vIA_E/vA − vIA_S/vA),-2.0697365859443972,-2.4025421347686633,-1.765339447780682,0.0,-0.02,0.02,0.0
Δb2 (signed: vIA_E − vIA_S),-0.08710038484180584,-0.0955446355854396,-0.07887455465088368,0.0,-0.002,0.002,0.0
