Model,Gelman-Rubin
a(ET),1.000318022561331
a(LT),0.9999052984446304
a_std,0.9999934449128427
a_subj(ET).2,1.001758360735521
a_subj(LT).2,1.000162668571099
a_subj(ET).3,1.0038821463143015
a_subj(LT).3,1.0017018339128803
a_subj(ET).7,1.0016533057397439
a_subj(LT).7,0.9997854757470828
a_subj(ET).8,1.0071334580851325
a_subj(LT).8,1.0016076078816827
a_subj(ET).9,1.0001392850987265
a_subj(LT).9,0.9998815882213999
a_subj(ET).10,1.002545335989515
a_subj(LT).10,1.0017007722412132
a_subj(ET).11,1.0014364359421588
a_subj(LT).11,1.000195384011858
a_subj(ET).12,1.0020972364594707
a_subj(LT).12,1.0010251422443979
a_subj(ET).13,1.0005095399605592
a_subj(LT).13,1.0010574090041935
a_subj(ET).15,1.0090114589529526
a_subj(LT).15,1.0004744016875922
a_subj(ET).16,0.9997425010553873
a_subj(LT).16,1.0013819409491242
a_subj(ET).17,0.9999068325414208
a_subj(LT).17,1.0029904156693876
a_subj(ET).18,0.9996163708347633
a_subj(LT).18,1.0012127107664817
a_subj(ET).19,1.0005949881265406
a_subj(LT).19,1.002847171342715
a_subj(ET).20,1.0003131469673514
a_subj(LT).20,1.0012018128772049
a_subj(ET).21,1.0009340107761928
a_subj(LT).21,1.0010819393665098
a_subj(ET).22,1.0112373281518252
a_subj(LT).22,0.9995495596022855
a_subj(ET).23,1.0024717574328226
a_subj(LT).23,1.0018524866628442
a_subj(ET).24,1.0037226949890317
a_subj(LT).24,1.00072623943729
a_subj(ET).25,1.0025130912934128
a_subj(LT).25,1.0082283625521649
a_subj(ET).26,1.0031609333488136
a_subj(LT).26,1.0016162672544986
t(ET),1.0011710154640403
t(LT),0.999596935903526
t_std,1.0005715767222505
t_subj(ET).2,1.0028981508933341
t_subj(LT).2,1.000426524473556
t_subj(ET).3,1.008363811060613
t_subj(LT).3,1.000207282762264
t_subj(ET).7,1.0008076670420796
t_subj(LT).7,0.9996023990569071
t_subj(ET).8,1.0028789538661456
t_subj(LT).8,1.0040747811012474
t_subj(ET).9,0.9999105494247025
t_subj(LT).9,0.9995045020377856
t_subj(ET).10,1.0035030701064787
t_subj(LT).10,1.0014833499582398
t_subj(ET).11,1.001638224731
t_subj(LT).11,1.000435720285875
t_subj(ET).12,1.0037398797778379
t_subj(LT).12,1.0023298722294849
t_subj(ET).13,1.0029883661696206
t_subj(LT).13,1.00051004123304
t_subj(ET).15,1.0084476547961179
t_subj(LT).15,1.0000437317198463
t_subj(ET).16,1.0006587496531447
t_subj(LT).16,1.0025932170654823
t_subj(ET).17,0.9995953303301193
t_subj(LT).17,1.0036630847911532
t_subj(ET).18,0.9995169910143802
t_subj(LT).18,1.001269859579368
t_subj(ET).19,1.001041320004441
t_subj(LT).19,1.0027347594371314
t_subj(ET).20,0.9998651334043089
t_subj(LT).20,1.001155131957531
t_subj(ET).21,1.0006824625514152
t_subj(LT).21,1.0005639237781476
t_subj(ET).22,1.0106165742454551
t_subj(LT).22,1.0003214762903525
t_subj(ET).23,1.0043781012670763
t_subj(LT).23,1.0012151294971496
t_subj(ET).24,1.0014984583650992
t_subj(LT).24,1.0024911890449753
t_subj(ET).25,1.001559653744962
t_subj(LT).25,1.0065900221915505
t_subj(ET).26,1.0066219788252486
t_subj(LT).26,1.0023795703312322
v_Intercept,0.999991287883396
v_Intercept_std,0.9995602823567503
v_Intercept_subj.2,0.9997275748606874
v_Intercept_subj.3,1.0011902673280282
v_Intercept_subj.7,1.0000769801708866
v_Intercept_subj.8,0.9996849466132725
v_Intercept_subj.9,1.0006950311359515
v_Intercept_subj.10,0.9997824922156004
v_Intercept_subj.11,1.0010253784780445
v_Intercept_subj.12,0.9996212849752362
v_Intercept_subj.13,0.9995920730701681
v_Intercept_subj.15,0.9995550389196728
v_Intercept_subj.16,1.0011578533302958
v_Intercept_subj.17,1.0001925922697092
v_Intercept_subj.18,0.9996165652615396
v_Intercept_subj.19,0.9999884262010228
v_Intercept_subj.20,1.0001963640663096
v_Intercept_subj.21,1.0020305552037332
v_Intercept_subj.22,1.002573247255177
v_Intercept_subj.23,0.999713217164108
v_Intercept_subj.24,1.0000917934318307
v_Intercept_subj.25,1.0007665774722303
v_Intercept_subj.26,1.0024491665682977
v_ES_AttentionW_early,1.001559679125127
v_ES_AttentionW_early_std,1.0021112857086392
v_ES_AttentionW_early_subj.2,0.9997980696363674
v_ES_AttentionW_early_subj.3,1.0024381258903265
v_ES_AttentionW_early_subj.7,1.0006558161922616
v_ES_AttentionW_early_subj.8,1.0018449516854222
v_ES_AttentionW_early_subj.9,1.0021002833434018
v_ES_AttentionW_early_subj.10,1.0009255197922167
v_ES_AttentionW_early_subj.11,1.0004206649641492
v_ES_AttentionW_early_subj.12,0.9999743846725297
v_ES_AttentionW_early_subj.13,1.000667092971828
v_ES_AttentionW_early_subj.15,0.9999896789290388
v_ES_AttentionW_early_subj.16,0.9996908768325543
v_ES_AttentionW_early_subj.17,1.0024313190125536
v_ES_AttentionW_early_subj.18,1.000642666495913
v_ES_AttentionW_early_subj.19,0.999501519237246
v_ES_AttentionW_early_subj.20,1.0009881151834505
v_ES_AttentionW_early_subj.21,1.000450265935928
v_ES_AttentionW_early_subj.22,1.0000200244965112
v_ES_AttentionW_early_subj.23,1.0003793533373582
v_ES_AttentionW_early_subj.24,1.0012188977481893
v_ES_AttentionW_early_subj.25,1.0068234383438157
v_ES_AttentionW_early_subj.26,1.0004953623368396
v_ES_InattentionW_early:C(OVcate)[high],1.000424307406368
v_ES_InattentionW_early:C(OVcate)[high]_std,1.0007285756825162
v_ES_InattentionW_early:C(OVcate)[high]_subj.2,1.000258323928773
v_ES_InattentionW_early:C(OVcate)[high]_subj.3,1.0042933101853664
v_ES_InattentionW_early:C(OVcate)[high]_subj.7,1.0007691809678607
v_ES_InattentionW_early:C(OVcate)[high]_subj.8,0.9999006857917835
v_ES_InattentionW_early:C(OVcate)[high]_subj.9,1.002196598236374
v_ES_InattentionW_early:C(OVcate)[high]_subj.10,0.9996344426959206
v_ES_InattentionW_early:C(OVcate)[high]_subj.11,0.9996512247585218
v_ES_InattentionW_early:C(OVcate)[high]_subj.12,0.9995082149819611
v_ES_InattentionW_early:C(OVcate)[high]_subj.13,1.0009841860840716
v_ES_InattentionW_early:C(OVcate)[high]_subj.15,1.0000414179119528
v_ES_InattentionW_early:C(OVcate)[high]_subj.16,0.9995697450159255
v_ES_InattentionW_early:C(OVcate)[high]_subj.17,1.0018446247772723
v_ES_InattentionW_early:C(OVcate)[high]_subj.18,0.9997484854210508
v_ES_InattentionW_early:C(OVcate)[high]_subj.19,1.0005403355415203
v_ES_InattentionW_early:C(OVcate)[high]_subj.20,1.0009208983983309
v_ES_InattentionW_early:C(OVcate)[high]_subj.21,1.0017853101298153
v_ES_InattentionW_early:C(OVcate)[high]_subj.22,0.9995918855298999
v_ES_InattentionW_early:C(OVcate)[high]_subj.23,1.0007529357797609
v_ES_InattentionW_early:C(OVcate)[high]_subj.24,1.0010441061694169
v_ES_InattentionW_early:C(OVcate)[high]_subj.25,1.0003297281357886
v_ES_InattentionW_early:C(OVcate)[high]_subj.26,1.0005807610692108
v_ES_InattentionW_early:C(OVcate)[low],1.2012327106016862
v_ES_InattentionW_early:C(OVcate)[low]_std,1.1019369135050578
v_ES_InattentionW_early:C(OVcate)[low]_subj.2,1.0793301688526094
v_ES_InattentionW_early:C(OVcate)[low]_subj.3,1.0611491306542091
v_ES_InattentionW_early:C(OVcate)[low]_subj.7,1.0442754489487585
v_ES_InattentionW_early:C(OVcate)[low]_subj.8,1.0390447701475005
v_ES_InattentionW_early:C(OVcate)[low]_subj.9,1.0570252177356738
v_ES_InattentionW_early:C(OVcate)[low]_subj.10,1.0864806870102903
