a(ET)_subj,a(LT)_subj,t(ET)_subj,t(LT)_subj,v_Intercept_subj,v_ES_AttentionW_early_subj,v_ES_InattentionW_early:C(OVcate)[low]_subj,v_ES_InattentionW_early:C(OVcate)[medium]_subj,v_ES_InattentionW_early:C(OVcate)[high]_subj,v_ES_AttentionW_late_subj,v_ES_InattentionW_late:C(OVcate)[low]_subj,v_ES_InattentionW_late:C(OVcate)[medium]_subj,v_ES_InattentionW_late:C(OVcate)[high]_subj
,,,,-0.30658259400703136,0.05114916972450602,0.0582624130333638,0.05614409266219667,0.060276311264536045,0.03776497115695687,0.04599027564669237,0.04338799815380944,0.05119292152958886
,,,,0.7157509188334857,0.041967977926100596,0.058755105862004456,0.042962905789757824,0.06251331197529543,0.03622813467846386,0.02696433637632354,0.02469155959366669,0.042600286436032295
,,,,0.0859421917720672,0.05716442541163651,0.05993016572433265,0.05385235303082675,0.06201225943079844,0.04373963339303404,0.043811130457199685,0.03180253189055984,0.043023114491614396
,,,,0.17472991844575328,0.05685576004941121,0.060195848931181385,0.05785617650398871,0.0520127095542202,0.051680627554033826,0.04020147678819105,0.05906729843596749,0.05376496058959689
,,,,-0.27869776226492626,0.04871372439463115,0.05947528435406859,0.04960824751803691,0.03484531117157002,0.03556880017544869,0.041624882350791335,0.042930799926541474,0.036917887935589325
,,,,0.04823613765961731,0.04768756353242983,0.05799737571764269,0.04860375978402721,0.056696128520070534,0.042475492383840255,0.03750396575333398,0.038849102001494995,0.03989670265180234
,,,,-0.024719727343347802,0.05469914026065861,0.06163530120529233,0.06415409273253647,0.06997163945222688,0.05495847506600281,0.04819342460155672,0.04112724443208352,0.04380056662651511
,,,,-0.13402290756849847,0.045587165241380394,0.05925995514273175,0.049321725074570166,0.06429266372172694,0.04094592236020618,0.043596386061500236,0.031629262398814396,0.04354202603716471
,,,,-0.037710251140598165,0.06365220430518606,0.05893830431040893,0.06672952843821774,0.05803725558989693,0.05170217593747375,0.04292026465456877,0.051501539865935496,0.035678111836523335
,,,,-0.16679904913232868,0.05731831033466318,0.059601578684348684,0.051578159556576596,0.05083233745268497,0.04235722193841823,0.04503890809477118,0.034209065532689244,0.04983737676102254
,,,,-0.6938168099592975,0.058717351568978546,0.05895528224372278,0.07116309259328843,0.055575234177007576,0.04662191938133863,0.04064956179232793,0.06829837407020642,0.055281346580396275
,,,,-0.4355371949234425,0.061345392510724746,0.06097127176701006,0.06275749836864486,0.0688200899160471,0.046912424643589065,0.04221728307104953,0.06289079889951965,0.043125970639885075
,,,,0.007177309203981667,0.052916356383765066,0.05945184929408923,0.04995883085667723,0.06587902297764836,0.04014043466923389,0.037399694802197646,0.03768808016442089,0.049689983915852824
,,,,-0.29463940740717126,0.057600546131468186,0.058629491115601465,0.05110705043126193,0.0635660668158744,0.038046202095581044,0.03010068673885744,0.037930169249566735,0.042958904977132874
,,,,-0.457305020836575,0.05369100177051058,0.05991503775797998,0.05256232993430077,0.058926019355688294,0.05127385702045,0.03504363865399508,0.05126970469420876,0.0427900446261008
,,,,-0.23499111235453407,0.048784403424596744,0.05924816145171273,0.053773085282088205,0.05323109083248045,0.04495252692101222,0.05524124875355367,0.04000634167767686,0.032000592400986565
,,,,0.14496363125904252,0.06392969875210384,0.058788715842413124,0.05917575209498504,0.06780561151770009,0.04064232775431007,0.04227059762104817,0.038754961721560205,0.04120370930786412
,,,,0.13694249363398084,0.04661517939621708,0.057533790354165365,0.056873982635422794,0.05212106874630702,0.04427619743774409,0.03800159933324705,0.03029797117304513,0.04579100070579318
,,,,0.141603105151997,0.036208761249413295,0.05626267393843953,0.040015754516349755,0.047550784559191546,0.0207164024250856,0.0288153170004032,0.017265559110584774,0.042014250364331804
,,,,-0.27628474235758527,0.047710462275521476,0.056072902620866755,0.035007991219967644,0.01871640509437568,0.01727241325358515,0.03883182737693236,0.03773433358033706,0.021944734389863604
,,,,0.024789853467424374,0.05896907408019816,0.05903024088838603,0.05416049999634811,0.06935149118981396,0.03828221000060944,0.048853502882549464,0.03723414820521443,0.04854328875879139
