a_subj,t_subj,v_Intercept_subj,v_ES_AttentionW_subj,v_ES_InattentionW:C(OVcate)[low]_subj,v_ES_InattentionW:C(OVcate)[medium]_subj,v_ES_InattentionW:C(OVcate)[high]_subj
1.7863737558027688,0.38692124714313925,0.14570830919963018,-0.03519230713968641,-0.03885560175641891,-0.046816391711182834,-0.03962216939443134
1.6804837365483327,0.28444768920765406,-0.8643865153811492,-0.03053369088284586,-0.026794301759270788,-0.029524578164595163,-0.04476859860815301
2.2225815602916286,0.4260289980773161,-0.1947236291388383,-0.045794061682282255,-0.050535991213566236,-0.037485796232158836,-0.04489126800402295
1.7105652636061974,0.2931758258018809,-0.3266220925555376,-0.0517495276355178,-0.048594723351034964,-0.05125584526426735,-0.0512383648311789
2.0342196971197337,0.43540370846113113,0.15090318477590647,-0.03588898066608662,-0.0368904461452717,-0.03950022660014699,-0.03139689726572629
1.5742169641710968,0.5812588006447164,-0.21130770199489515,-0.03208141117016087,-0.028731120434520734,-0.03420563557145809,-0.03316140404968753
1.555509675463659,0.3830449217332989,-0.16048729862110866,-0.04874802206258435,-0.05601050674361259,-0.05744426159180254,-0.05607045532693202
1.8806151340118251,0.45667630213886257,-0.04037979730460159,-0.03550341644816892,-0.042979825597702644,-0.038417525233268475,-0.04462544039357046
1.0081455401218584,0.3736299661583784,-0.15657359684117225,-0.053728814162500325,-0.042530489731011284,-0.053040586446599064,-0.04471258580216823
1.6629263813616695,0.4560854417465436,0.09414555151882147,-0.04070650799093792,-0.0479891642676709,-0.03832686026405854,-0.042492364585616484
1.2492404802022536,0.3790427039567855,0.4787982250814824,-0.05017008411730434,-0.038346374816821724,-0.06262565379646043,-0.0471689446389758
1.6912832458391167,0.3916210282604228,0.24867171570760707,-0.04786714942207214,-0.04821717932618809,-0.05503241730496668,-0.05127240383278393
1.992869006413687,0.3621574898329183,-0.339476416310154,-0.03867910780814516,-0.04384246837659127,-0.03370564587501228,-0.04891903393411676
2.389173377355115,0.4085801528246181,0.1922830751427763,-0.04035285512915581,-0.035888993575762175,-0.0385600594594921,-0.04787099928382815
2.230157147882465,0.4499200458852526,0.3319540805788876,-0.04693765642277972,-0.04128545225065059,-0.0488817511141357,-0.048185310176944676
2.6136669567443382,0.4749947647699525,0.012775768838233083,-0.045568569110217026,-0.05537810008285815,-0.048136342421298994,-0.04579117617637334
2.553894431791747,0.34870746890469445,-0.20791781445325935,-0.0638229829068333,-0.03877395499544129,-0.04937096975453158,-0.06316976004180674
1.8190190858105402,0.3328762254361325,-0.18142237727213428,-0.03334203313194075,-0.032057427436039544,-0.03707065501121001,-0.03997180569699769
1.4352651994961112,0.32928593018214947,-0.24444130503984213,-0.019411735833939427,-0.02432520867365366,-0.018530060435585815,-0.026974394007227596
2.2860453912156,0.44457706879822817,0.1353538874481935,-0.023822135547619267,-0.02927262280948975,-0.02976008051645318,-0.004109414622566584
2.445549968630599,0.5520154314733654,-0.10193545431900727,-0.0502263980220276,-0.04899260074677719,-0.04819609153272675,-0.06106021452692552
