a(ET)_subj,a(LT)_subj,t_subj,v_Intercept_subj,v_ES_AttentionW_early:C(OVcate)[low]_subj,v_ES_AttentionW_early:C(OVcate)[medium]_subj,v_ES_AttentionW_early:C(OVcate)[high]_subj,v_ES_InattentionW_early_subj,v_ES_InattentionW_early_subj,v_ES_InattentionW_early_subj,v_ES_AttentionW_late:C(OVcate)[low]_subj,v_ES_AttentionW_late:C(OVcate)[medium]_subj,v_ES_AttentionW_late:C(OVcate)[high]_subj,v_ES_InattentionW_late_subj
,,0.4695534279104089,-0.26703296807682864,0.05059078779089748,0.050327627936183415,0.05404982633340506,0.057184251074049286,0.057184251074049286,0.057184251074049286,0.03627387785103834,0.02907063449797605,0.03172396332753107,0.041876931611525434
,,0.36084532811530834,0.46713886977022895,0.032360730429846,0.044652622325852896,0.04561788900471438,0.053458983855477794,0.053458983855477794,0.053458983855477794,0.020281072148555807,0.02496714835772866,0.03342039227740732,0.025533525187297637
,,0.5341708900761911,0.02514744329901196,0.0571151701942016,0.053397765518688446,0.05813841084409551,0.0583797865551298,0.0583797865551298,0.0583797865551298,0.03714401969099934,0.03273472902113871,0.03668754414242554,0.03338943504041671
,,0.3527028818702736,0.18213991359812284,0.05240427966626165,0.054038431480777374,0.06580654542268607,0.05920509621514177,0.05920509621514177,0.05920509621514177,0.04051323505118179,0.03683806853690564,0.04194406015359284,0.04383327378757467
,,0.5182823916946154,-0.2692619623884088,0.0509018181748251,0.044038457335104655,0.06463547327192042,0.04891812283087474,0.04891812283087474,0.04891812283087474,0.026645448504341085,0.031780267100090326,0.036328414294510454,0.036221249788955315
,,0.6518257196822634,0.012927002196076865,0.05897075347670053,0.048468161925671924,0.049293647317063365,0.05379900144913377,0.05379900144913377,0.05379900144913377,0.032326374129819604,0.033936476908165314,0.023320718654477792,0.027477560012202848
,,0.4426630314219915,0.006383553090025456,0.05385691780109816,0.056246028688056546,0.058095065802735976,0.07202862999748913,0.07202862999748913,0.07202862999748913,0.046585833817562566,0.04164256633815884,0.046167000626695556,0.039000659549505295
,,0.5027798557574191,-0.10276307202402286,0.050435510517662395,0.04074771187579639,0.054281355716901125,0.05778675948158437,0.05778675948158437,0.05778675948158437,0.026731694342399494,0.03260093144056289,0.036326534779024276,0.032982883014344724
,,0.382349800574501,0.02714087038717433,0.05591765996982073,0.05882973203542596,0.06479406808607502,0.06226164975130176,0.06226164975130176,0.06226164975130176,0.039807784432436856,0.04054686775771497,0.04494968536266645,0.03526197110389709
,,0.5027055012568872,-0.09486045302989084,0.047233476528833154,0.054764161563499954,0.06370374749744208,0.053736017504264086,0.053736017504264086,0.053736017504264086,0.02644050243603625,0.04137343746469584,0.02847368440283868,0.03609295011317082
,,0.4073860987294472,-0.5439040432541815,0.04732355469330245,0.05681885443142451,0.06538314952988983,0.06688243769254631,0.06688243769254631,0.06688243769254631,0.02304934104695019,0.043622619321036005,0.04036981571150287,0.04869665027317504
,,0.4394919496205636,-0.44590672026283723,0.06176613159909948,0.05919161996636234,0.0587302280182817,0.06525988405961063,0.06525988405961063,0.06525988405961063,0.03498703347556351,0.03437586768339014,0.044512520692632666,0.04088380222913648
,,0.44706392679282436,-0.021690838700167976,0.04843912932219223,0.05471086850926031,0.050626866730815075,0.05898351051859623,0.05898351051859623,0.05898351051859623,0.03476265124943105,0.03823782823163184,0.030509808682341752,0.03673953571236966
,,0.564023564610232,-0.18801906322975107,0.05911483751441525,0.052880721249149255,0.05547686609817927,0.054152475269159964,0.054152475269159964,0.054152475269159964,0.048054212195208494,0.030976459973325158,0.030131497531214444,0.032027794185650944
,,0.5387451058214449,-0.34735042195201987,0.04579767112475781,0.05316861227235695,0.06045940637800725,0.057955646447606785,0.057955646447606785,0.057955646447606785,0.04530828823132986,0.03349333127963327,0.044166019420189946,0.035910713930047466
,,0.5579809421386932,-0.15645064712622242,0.05431573643906778,0.04704686975764791,0.05433270383248697,0.054576053897040254,0.054576053897040254,0.054576053897040254,0.041280671947078205,0.036307314455340474,0.03942398155434238,0.034579466735728696
,,0.4559280706899676,0.12779857051871177,0.058873783387471096,0.0556442683810745,0.06740959960152715,0.06370977532161527,0.06370977532161527,0.06370977532161527,0.03374736276740325,0.029746053305641916,0.041518338092729146,0.036695305087922195
,,0.40064998664645546,0.07938432378620436,0.04606200767262743,0.04156272922854715,0.05830453154038228,0.05763307532588996,0.05763307532588996,0.05763307532588996,0.037689026976519234,0.032568844362330845,0.036800534124030296,0.030652745302715174
,,0.35204108723584737,0.18816575242538416,0.0389404355680817,0.03604059815566373,0.0463044352561915,0.04528899529294701,0.04528899529294701,0.04528899529294701,0.013844582643104739,0.019337943328349958,0.019100698361173448,0.019225245338956195
,,0.5215330522693029,-0.13325634734542227,0.0446389422987118,0.05081912917984589,0.05841757436912746,0.02959534299572518,0.02959534299572518,0.02959534299572518,0.01258068594976631,0.020399472435077275,0.021579512725542524,0.023602046340779784
,,0.676878270844212,0.05033136267743928,0.05370959492742525,0.05430251237630667,0.059225136755293506,0.06023733163984919,0.06023733163984919,0.06023733163984919,0.039868724341611726,0.033134092477881474,0.030791572271760104,0.039030035742970225
