a_subj,t_subj,v_Intercept_subj,v_AttentionW_subj,v_InattentionW:C(OVcate)[low]_subj,v_InattentionW:C(OVcate)[medium]_subj,v_InattentionW:C(OVcate)[high]_subj,v_gazeCI_subj
1.804598397417205,0.38238358644688814,0.6163170288140898,0.01877721650459218,0.01900561819715566,0.03640595017558026,0.0329005516970131,0.0003115189404487613
1.6024194746586202,0.2983242860514091,0.5213277495123333,0.011302503126904085,0.011899636900779479,0.017859977350649696,0.025110628543919315,7.191134685646515e-05
2.405082357351445,0.40444403565921067,0.7241369349654272,0.025937071432697748,0.03594484051241457,0.027104124351214235,0.029943516599698655,0.00033249016602215626
1.7518794562146054,0.29282976905366787,0.5974610103087813,0.03968170133682467,0.02812323636289041,0.03846902944813151,0.032604993554619655,-0.0002582673820374456
2.096338198607425,0.4239560982081673,0.6199168370460925,0.02531167686276436,0.014774042684440375,0.024412000444355857,0.011876735899852171,-0.00013119500536391956
1.598483546899803,0.5846523622596164,0.6102144050198385,0.015584493418168383,0.014387534275002422,0.025745073806201713,0.023426055281487793,0.00027473010446209094
1.5839322575674657,0.37944848041225065,0.6757363428140202,0.03303976857022676,0.040742993825456576,0.04359108660734341,0.039124717394842766,0.0001573254832976797
1.9197829313877635,0.4483199255884146,0.5508949074809201,0.021144962183183652,0.028427424520626948,0.02884538201115599,0.03234886608174305,0.00011916236533988185
1.0137814320281493,0.3728701110821396,0.6430333625804437,0.03934707740257285,0.026418066594063736,0.04024023563508509,0.028198942686349284,8.559702224708442e-05
1.6838968665492915,0.4476571105524879,0.5471606958150228,0.0335646751275229,0.022792979678298162,0.020936043497569567,0.022790223498997307,-0.0003937565261770431
1.1877424811245194,0.38521455337082255,0.6385087463261853,0.030589780054610032,0.019376416270237718,0.04857929915880935,0.028855802652441063,0.00011460261737669363
1.7084658272291586,0.3913518140567152,0.6285493819423748,0.03712475055151683,0.022243738459016962,0.040321045997648186,0.03366998681015027,-6.0904725337215134e-05
2.0777060720869684,0.36288525198785915,0.6203791060277963,0.024720176900521973,0.022427371687635717,0.019083945708118687,0.034884581627559794,-0.0002831772416597716
2.482050010432064,0.383888400503488,0.5563455264514172,0.026951438551853394,0.021038973223837288,0.024723368435177768,0.0335793543010712,0.0001682763068427516
2.2274667025714194,0.43207718581688626,0.5691173175540892,0.028979700488266816,0.026852231671776215,0.03542703919874272,0.02675061996694576,3.7906655926666845e-06
2.856573473661224,0.42845281243417727,0.5829719081669161,0.03082586470801773,0.04035095641745765,0.03763969759787364,0.02778799975966015,0.0002244309163709994
2.798427015294487,0.3235218172264007,0.7114051946751039,0.04779243144216396,0.022141035553021465,0.03985873216248442,0.05347642500966787,0.0002855245522651068
1.857970576188364,0.33731961482683687,0.5970064978326445,0.018078759212328717,0.02113357785403893,0.027389979689174643,0.02447859064854638,0.0002525922844110935
1.435220332995832,0.33134561995369977,0.49891312023945883,0.006705367620830953,0.01375620332615497,0.010632705428067057,0.015129037896070601,5.535456522164042e-05
2.32899624245991,0.4182465330160952,0.3865016608658193,0.020688651566210987,0.006339456641983667,0.016180445908507646,-0.017781160407291583,-0.0003432111842693142
2.5335990566590745,0.5346825148442008,0.4754709906767786,0.041769277397691484,0.02847542228805816,0.03583888836253014,0.05007270053705295,-0.0001825614286951958
