parameter,N,R2,r,p,beta,beta_lo,beta_hi,p_beta_eq1,intercept,RMSE
t,105,0.9095104344767942,0.9536825648384237,1.5117356254557088e-55,0.9249556253746265,0.8679420529274379,0.9819691978218151,0.010389461550728285,0.03648846108032683,0.016590326399686335
v_Intercept,105,0.9077078469329231,0.9527370292651184,4.178888688513597e-55,0.9453165273980878,0.8864120180454178,1.0042210367507578,0.06847835179922891,0.1527462003078126,0.11319699810320685
a_Intercept,105,0.9509015332993974,0.9751418016367658,3.1274087874521877e-69,0.9747336839526172,0.9314510069917775,1.0180163609134567,0.24965066134191843,0.049322976522971906,0.13450949369562434
