a_subj,v_Intercept_subj,v_z_AttentionW:C(OVcate)[low]_subj,v_z_AttentionW:C(OVcate)[medium]_subj,v_z_AttentionW:C(OVcate)[high]_subj,v_z_IAW_chart_subj,v_z_IAW_image_subj,t_Intercept_subj,t_OVcate[T.low]_subj,t_OVcate[T.medium]_subj
1.7765200876053808,1.5349775650273716,1.3875016294092513,0.9676398688829871,0.9026565048582612,1.283025039462447,0.9991866743765683,0.36924283156648735,0.060978636032181184,0.028551844782751804
1.583561314539876,1.0620681092719992,0.9938839353558317,1.5375870007257506,0.6775222992752578,0.7270020309856896,0.5884948251094987,0.3830205717573816,0.06332338527264078,0.00849291699259749
2.46756616921768,1.7058590514315182,1.036926964588869,1.505539409275148,1.0513095525317464,0.8888197419969831,0.7256278936657234,0.43123755447159695,-0.051523447490375046,-0.01185084734677192
1.9790715226625215,1.8387348402366224,1.7336076644586789,1.114062278022336,1.1127651702119508,1.5690254830834007,1.0461184188006167,0.33985561409855863,0.027661624412718775,-0.024653674363219455
2.2163869501934723,1.4981556877440119,1.076356439414569,1.0521821760154064,1.3196281947909598,1.2297464085339747,0.5625383618392327,0.4463237752612199,-0.023838163711693287,-0.00919630316214732
1.6655680557643242,1.3167655611274625,1.0816964830235152,0.6962407086017205,0.9866893512717,0.7596181288174483,1.028132659973291,0.5980916683892273,-0.019164845066521642,0.006669038822292278
1.6184684643714453,1.884470350797753,1.4329122647211718,1.3489175226517687,1.5635726451789231,1.9196117711821328,0.9108589608440923,0.4187979282395781,0.013587515276730397,0.008428152444087096
1.9381759207804596,1.4060811899778918,0.9885820340409693,1.1642054831629278,1.0370905357476203,1.2474601557051619,1.1803049169531206,0.41330703221100307,0.05388437964135981,0.044495853852338695
1.0204431119301403,1.6698306373444531,1.6634309037479034,1.0393199928312773,1.459544013001715,1.3680862434578518,0.7161369442911559,0.38974876361261984,0.03191669486853081,0.023002993541099716
1.7782611745187151,1.4253385880796858,1.0695003785802326,1.1652862387941867,1.1760111533714837,1.1772964672578399,1.0530559854988695,0.47393141083487306,0.03665354852446986,0.012567603944334899
1.1469419900141635,1.7225860164860824,1.588806701209068,1.0003074801857716,1.1345534557239951,1.3652715073658506,1.0648727666208953,0.4633238577009691,-0.04238716734105401,-0.05820966956001357
1.748792436055861,1.898814578732279,1.9008965187382276,0.8845556490156603,1.5945891937616175,1.481731049221941,0.8414917289550474,0.4430586872543991,0.024313635656991142,-0.023059488830194774
2.4063355156360258,1.3765468998759063,0.9265688482131905,1.1056632060455784,0.6078065632155464,1.1062066663985057,1.0647945866189448,0.3836614856618541,0.030178999772992106,0.015246936823642827
2.952873256388976,1.5316067899183774,1.4961591965048509,1.348036454913361,0.9047420451956735,1.2373964387162255,0.6679096897816107,0.4069284799931833,0.005745011060730979,0.009133355933432563
2.2065054738613985,1.655686427663197,1.3725524567246126,1.2502347520148687,1.378758916312488,1.3341260070649288,1.1376115146888026,0.44400569082756336,0.039452910807479834,0.011057685249468593
2.9766341700337167,1.755407084197786,1.3106034132601339,1.1710173410526694,1.725925664157549,1.3185885481221034,0.9760372070448109,0.4380827101089379,0.01913263507188893,-0.015752256899327497
2.617115903424293,2.1068163808876132,1.9975017787205749,1.699607726022555,0.9411690209574316,1.331679601106169,0.9573661666545669,0.3394463533739529,0.07670995164402268,-0.006695904690033218
1.869237262786898,1.4448362448253915,1.2152582489550654,1.1141490757561499,0.9248370738821001,1.2360567854085571,0.7976646395538113,0.38305831663641504,0.09478253322056672,-0.007867851221005525
1.3819810992118804,0.801943775500767,0.278565109846534,0.9898480351105094,0.6783632302146123,0.6191963603277318,0.6928649455887086,0.4000115025834108,-0.0030282456149498187,0.014607748788681053
2.293457259287404,1.106879605830195,1.2671788022464738,0.4146851087693323,1.6687601488666992,0.6742337177752771,0.44855101596018926,0.4153606974448472,0.08690937946651642,-0.012569234331647803
2.6037446208238273,1.755090134233303,1.6360147309447037,1.852798912081784,1.1586127665115389,1.8089506743880497,1.2942576426509214,0.5115323932287968,0.04154018079552556,0.02326982025266668
