a_subj,t(0)_subj,t(1)_subj,v_Intercept_subj,v_AttentionW_subj,v_InattentionW:C(OVcate)[low]_subj,v_InattentionW:C(OVcate)[medium]_subj,v_InattentionW:C(OVcate)[high]_subj
1.8065676638316062,,,0.5887432890430925,0.022056618720208337,0.01518604778709044,0.03409755209859037,0.031741980000857234
1.52727313092132,,,0.5275751502757331,0.01370238436505734,0.010942145756779037,0.018483980917346987,0.027809849854193637
2.3840223588734655,,,0.6770395890632169,0.029931963142671762,0.03174059287106045,0.024602637435170438,0.028056998525073068
1.6850805220126366,,,0.5906024652900428,0.03713835974455987,0.0323606484272197,0.0434050084140314,0.03495282094203191
2.0934619504813075,,,0.6106721968198128,0.023992877555186313,0.01709294282699815,0.025942823080662532,0.012573687604766643
1.57874676046606,,,0.5927501095525287,0.019570984235645354,0.011260943159907149,0.023990201266608117,0.02370136470703103
1.5744625658003584,,,0.6516906291041958,0.034173781675631724,0.03974223504731386,0.04268599944268954,0.03849622787773264
1.9222750269304532,,,0.5470003021988077,0.02256487458517004,0.026879176152522166,0.02773794945232247,0.03154554771853631
1.015439284002178,,,0.6216101098968106,0.03992285525236762,0.025914275761615795,0.039790620453087705,0.02817879300514406
1.6532378672972858,,,0.5569864615637536,0.02943426121770854,0.02690283849093102,0.023992807768267285,0.024754520304198852
1.2074239866393166,,,0.616971753952937,0.03126624864492603,0.020349249755276726,0.04670469767000688,0.028506119825415826
1.7085470101916114,,,0.6130119359318225,0.036474113092370974,0.02325806087266607,0.04078652431102477,0.03405053310421072
2.051784332820894,,,0.594238159734754,0.022984462057352367,0.026075723954448293,0.02200469098200172,0.03686870439600402
2.4663664837697983,,,0.5405967362942548,0.028716072108951746,0.018159573427776583,0.023767257644654326,0.03349399485868581
2.1836336003944674,,,0.5631177965334953,0.03033954656787561,0.02667620469895987,0.035939381568094446,0.027253590080992655
2.769445426890082,,,0.5676835192689579,0.033603990289390234,0.039557598725844766,0.03768483148432345,0.0270471545920689
2.7066884915933906,,,0.6531226018147404,0.05171073369111492,0.01635298552181927,0.03694090100298703,0.05375568396897421
1.8396845409417653,,,0.5789052393098164,0.021892198016290134,0.01838179744570013,0.025875984577722538,0.025538923093202406
1.4038634335175182,,,0.49920064453333657,0.00803561295924869,0.012553207825262926,0.010274121838015064,0.015330253506388038
2.2939339739861895,,,0.4186667619063304,0.015017825632386038,0.01137986745564616,0.020934959974978008,-0.01630906568742079
2.5382411411929366,,,0.48773502360938487,0.03874967976397751,0.032329413479309586,0.03715872061291384,0.05096740898968907
