rep,subj,parameter,true,recovered
0,2,t,0.459842652457983,0.46287751791964504
0,3,t,0.49223274287927865,0.49612189283487396
0,7,t,0.4322490390773023,0.4535378377093406
0,8,t,0.5633754933493847,0.5734225024815753
0,9,t,0.4845594233930012,0.4691872413013531
0,10,t,0.4589635379714214,0.4892550843466699
0,11,t,0.3478185389298706,0.3266182959065317
0,12,t,0.3707681598760966,0.3744340345674812
0,13,t,0.4684129347180278,0.4588220693256242
0,15,t,0.4801705773601142,0.4879865071628648
0,16,t,0.42135427869488595,0.41587725468228315
0,17,t,0.4671531570618422,0.45541085360476063
0,18,t,0.384981994196434,0.39139032613433916
0,19,t,0.42069781794379785,0.502284988834976
0,20,t,0.46602511872635977,0.4636304656166063
0,21,t,0.43372727154040613,0.4309574339441597
0,22,t,0.38827244138594824,0.3998062618488049
0,23,t,0.40576316818696523,0.3817517375222244
0,24,t,0.5162769293134494,0.5158817423202238
0,25,t,0.5398172525835545,0.5222486598556523
0,26,t,0.4616945608865129,0.46735577761102776
0,2,v_Intercept,1.203655686405328,1.4032684955356394
0,3,v_Intercept,1.7716128892922,1.6732017975464746
0,7,v_Intercept,1.3158409171211942,1.2977966081974446
0,8,v_Intercept,1.4016119361640442,1.4944673658709857
0,9,v_Intercept,1.698301243601723,1.7568715137182267
0,10,v_Intercept,1.7258383630556784,1.6720339564783149
0,11,v_Intercept,1.4239612080580177,1.3792162103843892
0,12,v_Intercept,1.1745034856440892,1.356610625074848
0,13,v_Intercept,1.3217785206261379,1.4417256728063734
0,15,v_Intercept,1.4978233459312664,1.6141261948344778
0,16,v_Intercept,1.9345336952985697,1.9226412483108735
0,17,v_Intercept,1.602874344325337,1.7439873924698612
0,18,v_Intercept,1.5846087501098827,1.5653783184640924
0,19,v_Intercept,1.098454415617095,1.2051216804707303
0,20,v_Intercept,1.2194173427189468,1.4236184392125781
0,21,v_Intercept,1.2050086888415668,1.249110434672705
0,22,v_Intercept,1.3020006380686766,1.322015171931217
0,23,v_Intercept,1.6679683214708465,1.5543798999604719
0,24,v_Intercept,1.597139987808705,1.454706819410266
0,25,v_Intercept,1.472504665918717,1.5118573958878645
0,26,v_Intercept,1.9683571090383805,1.8860810453439378
0,2,v_z_AttentionW:C(OVcate)[high],0.3170996107727764,0.5498453353912077
0,3,v_z_AttentionW:C(OVcate)[high],1.2525814750087392,1.0621886749083145
0,7,v_z_AttentionW:C(OVcate)[high],0.9060757936330679,0.8030559728228759
0,8,v_z_AttentionW:C(OVcate)[high],1.3100090169660592,1.0239443594867805
0,9,v_z_AttentionW:C(OVcate)[high],1.1168845512684529,0.9027182001527093
0,10,v_z_AttentionW:C(OVcate)[high],0.8898130465802209,0.7982754641390701
0,11,v_z_AttentionW:C(OVcate)[high],1.3468501778619049,1.2034632119865953
0,12,v_z_AttentionW:C(OVcate)[high],1.1268406362286096,0.9896781711340639
0,13,v_z_AttentionW:C(OVcate)[high],0.6092057619976755,0.8323603403197132
0,15,v_z_AttentionW:C(OVcate)[high],0.4190978458480119,0.8732771462333132
0,16,v_z_AttentionW:C(OVcate)[high],0.7106320082664318,0.7661491199456059
0,17,v_z_AttentionW:C(OVcate)[high],1.0996503794805779,0.9289268671302632
0,18,v_z_AttentionW:C(OVcate)[high],1.3947681950548285,0.9767147520177707
0,19,v_z_AttentionW:C(OVcate)[high],0.5028499310252017,0.7255080449939707
0,20,v_z_AttentionW:C(OVcate)[high],0.7573091543688776,0.874233739345961
0,21,v_z_AttentionW:C(OVcate)[high],1.0509481762586417,1.0476533525770564
0,22,v_z_AttentionW:C(OVcate)[high],1.3960747735527788,1.067656637472507
0,23,v_z_AttentionW:C(OVcate)[high],0.5774506620037021,0.6180045951665322
0,24,v_z_AttentionW:C(OVcate)[high],1.2375920306469883,1.0066291187644114
0,25,v_z_AttentionW:C(OVcate)[high],0.6435508573593807,0.7442546568749019
0,26,v_z_AttentionW:C(OVcate)[high],0.27875391053029586,0.6473813758320168
0,2,v_z_AttentionW:C(OVcate)[low],1.4131743368660006,1.641158527269551
0,3,v_z_AttentionW:C(OVcate)[low],1.1870862859657663,1.0015527592756517
