parameter,R2,p,RMSE
a(high),0.804398212854299,4.422890084639193e-72,0.20985535637179176
a(low),0.8211634101881926,6.145458323422087e-76,0.22184691321182387
a(medium),0.8237122112313402,1.481523885934099e-76,0.20287033268773222
t,0.030056650137106896,0.014086372773216909,0.5967709257033923
z,0.9035642417690792,1.6384002158157722e-102,0.054320167261144955
v_ES_AttentionW,0.9330508855165118,3.2861671774325056e-118,0.003380662159481478
v_ES_InattentionW_E,0.9256639175135462,1.0433393172280644e-113,0.0038118274444295347
v_ES_InattentionW_S,0.9515142458517575,4.3605596922976047e-132,0.004066550054028424
