rep,subj,parameter,true
0,1,a(high),1.8152449064257496
0,1,a(low),1.871379053002332
0,1,a(medium),1.8210887949966956
0,1,t,0.4502739405777561
0,1,z,0.2645863590801095
0,1,v_ES_AttentionW,0.0381688642010901
0,1,v_ES_InattentionW_E,-0.0258863052490945
0,1,v_ES_InattentionW_S,-0.0094285839848129
0,3,a(high),1.8152449064257496
0,3,a(low),1.871379053002332
0,3,a(medium),1.8210887949966956
0,3,t,0.3192506504177684
0,3,z,0.4797069608103173
0,3,v_ES_AttentionW,0.0276695942133771
0,3,v_ES_InattentionW_E,-0.0341252067252388
0,3,v_ES_InattentionW_S,0.0132069499110058
0,4,a(high),1.8152449064257496
0,4,a(low),1.871379053002332
0,4,a(medium),1.8210887949966956
0,4,t,0.4971323272943044
0,4,z,0.5994321109413957
0,4,v_ES_AttentionW,0.0314322396176993
0,4,v_ES_InattentionW_E,-0.0242798042699895
0,4,v_ES_InattentionW_S,0.04043068962544
0,5,a(high),1.8152449064257496
0,5,a(low),1.871379053002332
0,5,a(medium),1.8210887949966956
0,5,t,0.3553628172831837
0,5,z,0.5240841644809402
0,5,v_ES_AttentionW,0.0213442072757666
0,5,v_ES_InattentionW_E,-0.0264208496276638
0,5,v_ES_InattentionW_S,0.0297635526192276
0,7,a(high),1.8152449064257496
0,7,a(low),1.871379053002332
0,7,a(medium),1.8210887949966956
0,7,t,0.410354564315418
0,7,z,0.3307264621298606
0,7,v_ES_AttentionW,0.0428155603041028
0,7,v_ES_InattentionW_E,-0.0353104694628213
0,7,v_ES_InattentionW_S,0.0219626441873523
0,8,a(high),1.8152449064257496
0,8,a(low),1.871379053002332
0,8,a(medium),1.8210887949966956
0,8,t,0.3967155900063256
0,8,z,0.5542126482205757
0,8,v_ES_AttentionW,0.0343793100993277
0,8,v_ES_InattentionW_E,-0.0304287240107522
0,8,v_ES_InattentionW_S,0.0396743446744561
0,10,a(high),1.8152449064257496
0,10,a(low),1.871379053002332
0,10,a(medium),1.8210887949966956
0,10,t,0.6000537600611404
0,10,z,0.3812937605342658
0,10,v_ES_AttentionW,0.0257404010597314
0,10,v_ES_InattentionW_E,-0.0409837865322741
0,10,v_ES_InattentionW_S,0.0434914603754458
0,11,a(high),1.8152449064257496
0,11,a(low),1.871379053002332
0,11,a(medium),1.8210887949966956
0,11,t,0.5174821422964301
0,11,z,0.435168119835401
0,11,v_ES_AttentionW,0.0225128065897558
0,11,v_ES_InattentionW_E,-0.0410759416585534
0,11,v_ES_InattentionW_S,0.0442050288983646
0,12,a(high),1.8152449064257496
0,12,a(low),1.871379053002332
0,12,a(medium),1.8210887949966956
0,12,t,0.4860314205907154
0,12,z,0.5562103805070595
0,12,v_ES_AttentionW,0.0242318224944679
0,12,v_ES_InattentionW_E,-0.0319826848278007
0,12,v_ES_InattentionW_S,0.033198320610609
0,13,a(high),1.8152449064257496
0,13,a(low),1.871379053002332
0,13,a(medium),1.8210887949966956
0,13,t,0.4432593417620383
0,13,z,0.6166806048243259
0,13,v_ES_AttentionW,0.0329831213532469
0,13,v_ES_InattentionW_E,-0.0281380233561394
0,13,v_ES_InattentionW_S,0.0321859653129824
0,15,a(high),1.8152449064257496
0,15,a(low),1.871379053002332
0,15,a(medium),1.8210887949966956
0,15,t,0.4490021353421543
0,15,z,0.5724452084497035
0,15,v_ES_AttentionW,0.0164397959889241
0,15,v_ES_InattentionW_E,-0.0367316465859062
0,15,v_ES_InattentionW_S,0.0210958729692652
0,16,a(high),1.8152449064257496
0,16,a(low),1.871379053002332
0,16,a(medium),1.8210887949966956
0,16,t,0.3733350055683486
0,16,z,0.4054750275003814
0,16,v_ES_AttentionW,0.0454967429343279
0,16,v_ES_InattentionW_E,-0.0414317907246777
0,16,v_ES_InattentionW_S,0.0507542453353761
0,17,a(high),1.8152449064257496
0,17,a(low),1.871379053002332
0,17,a(medium),1.8210887949966956
0,17,t,0.2882098905858633
0,17,z,0.3944700328182543
0,17,v_ES_AttentionW,0.0323842600212813
0,17,v_ES_InattentionW_E,-0.0289357057747484
0,17,v_ES_InattentionW_S,0.0454550190412523
0,19,a(high),1.8152449064257496
0,19,a(low),1.871379053002332
0,19,a(medium),1.8210887949966956
0,19,t,0.4901159137147147
0,19,z,0.3919206101990755
0,19,v_ES_AttentionW,0.0262314683342348
0,19,v_ES_InattentionW_E,-0.0265970484396057
0,19,v_ES_InattentionW_S,0.0268489794406423
0,21,a(high),1.8152449064257496
0,21,a(low),1.871379053002332
0,21,a(medium),1.8210887949966956
0,21,t,0.3214108541926033
0,21,z,0.2473993412331812
0,21,v_ES_AttentionW,0.0217323125836556
0,21,v_ES_InattentionW_E,-0.0297021521910317
0,21,v_ES_InattentionW_S,0.0337289596139859
0,22,a(high),1.8152449064257496
0,22,a(low),1.871379053002332
0,22,a(medium),1.8210887949966956
0,22,t,0.4817287516470195
0,22,z,0.3774553383588643
0,22,v_ES_AttentionW,0.0323427885587363
0,22,v_ES_InattentionW_E,-0.0285969120095031
0,22,v_ES_InattentionW_S,0.0244154914432165
0,23,a(high),1.8152449064257496
0,23,a(low),1.871379053002332
0,23,a(medium),1.8210887949966956
0,23,t,0.4626724734372729
0,23,z,0.3342270450959033
0,23,v_ES_AttentionW,0.0272088396819504
0,23,v_ES_InattentionW_E,-0.0372657801454777
0,23,v_ES_InattentionW_S,0.0061400775509777
0,24,a(high),1.8152449064257496
0,24,a(low),1.871379053002332
0,24,a(medium),1.8210887949966956
0,24,t,0.4651346991924764
0,24,z,0.3696911002955299
0,24,v_ES_AttentionW,0.0309052889579729
0,24,v_ES_InattentionW_E,-0.0298434085633776
0,24,v_ES_InattentionW_S,0.0399982162448001
0,25,a(high),1.8152449064257496
0,25,a(low),1.871379053002332
0,25,a(medium),1.8210887949966956
0,25,t,0.479682125421314
0,25,z,0.4380163122994147
0,25,v_ES_AttentionW,0.0266158645326085
0,25,v_ES_InattentionW_E,-0.0346666584505233
0,25,v_ES_InattentionW_S,-0.0039922862811342
0,27,a(high),1.8152449064257496
0,27,a(low),1.871379053002332
0,27,a(medium),1.8210887949966956
0,27,t,0.3074330921762652
0,27,z,0.2125083890565779
0,27,v_ES_AttentionW,0.0209665952757448
0,27,v_ES_InattentionW_E,-0.0305402413095885
0,27,v_ES_InattentionW_S,0.0121259785459197
1,1,a(high),1.7851134419243757
1,1,a(low),1.732108346077995
1,1,a(medium),1.9112496994347328
1,1,t,0.4412182750288175
1,1,z,0.5908251188667558
1,1,v_ES_AttentionW,0.0236552209952092
1,1,v_ES_InattentionW_E,-0.0424082552755282
1,1,v_ES_InattentionW_S,0.0023497175998097
1,3,a(high),1.7851134419243757
1,3,a(low),1.732108346077995
1,3,a(medium),1.9112496994347328
1,3,t,0.5285213773232968
1,3,z,0.4609255549207417
1,3,v_ES_AttentionW,0.0314654719357954
1,3,v_ES_InattentionW_E,-0.0411350685433665
1,3,v_ES_InattentionW_S,0.0480173717178882
1,4,a(high),1.7851134419243757
1,4,a(low),1.732108346077995
1,4,a(medium),1.9112496994347328
1,4,t,0.5251100681007336
1,4,z,0.4337326999176942
1,4,v_ES_AttentionW,0.0239480426895334
1,4,v_ES_InattentionW_E,-0.0367895658105892
1,4,v_ES_InattentionW_S,0.0192812062240233
1,5,a(high),1.7851134419243757
1,5,a(low),1.732108346077995
1,5,a(medium),1.9112496994347328
1,5,t,0.4150936786299188
1,5,z,0.3366608803835056
1,5,v_ES_AttentionW,0.035214451877354
1,5,v_ES_InattentionW_E,-0.0368178351725316
1,5,v_ES_InattentionW_S,0.0255909777195301
1,7,a(high),1.7851134419243757
1,7,a(low),1.732108346077995
1,7,a(medium),1.9112496994347328
1,7,t,0.596409332558236
1,7,z,0.315148742446292
1,7,v_ES_AttentionW,0.0139584360011794
1,7,v_ES_InattentionW_E,-0.0294310115725595
1,7,v_ES_InattentionW_S,0.0011289619969924
1,8,a(high),1.7851134419243757
1,8,a(low),1.732108346077995
1,8,a(medium),1.9112496994347328
1,8,t,0.443636610556109
1,8,z,0.6504301036374962
1,8,v_ES_AttentionW,0.0301268519205738
1,8,v_ES_InattentionW_E,-0.0330643485822882
1,8,v_ES_InattentionW_S,0.001515764915976
1,10,a(high),1.7851134419243757
1,10,a(low),1.732108346077995
1,10,a(medium),1.9112496994347328
1,10,t,0.4785539699205067
1,10,z,0.5354726277198786
1,10,v_ES_AttentionW,0.0178664019106471
1,10,v_ES_InattentionW_E,-0.0136843622478977
1,10,v_ES_InattentionW_S,0.0132449837792987
1,11,a(high),1.7851134419243757
1,11,a(low),1.732108346077995
1,11,a(medium),1.9112496994347328
1,11,t,0.2103538838369293
1,11,z,0.1020263156309246
1,11,v_ES_AttentionW,0.0296911211050472
1,11,v_ES_InattentionW_E,-0.0297195280188505
1,11,v_ES_InattentionW_S,0.0368709155807456
1,12,a(high),1.7851134419243757
1,12,a(low),1.732108346077995
1,12,a(medium),1.9112496994347328
1,12,t,0.3714148357409466
1,12,z,0.298073727242476
1,12,v_ES_AttentionW,0.0377533986249087
1,12,v_ES_InattentionW_E,-0.0422953918523196
1,12,v_ES_InattentionW_S,0.013446138779006
1,13,a(high),1.7851134419243757
1,13,a(low),1.732108346077995
1,13,a(medium),1.9112496994347328
1,13,t,0.5800938834717629
1,13,z,0.4925234706020246
1,13,v_ES_AttentionW,0.0340867051771931
1,13,v_ES_InattentionW_E,-0.0267882518086187
1,13,v_ES_InattentionW_S,0.0224998638371578
1,15,a(high),1.7851134419243757
1,15,a(low),1.732108346077995
1,15,a(medium),1.9112496994347328
1,15,t,0.3479502533029435
1,15,z,0.5834424558675919
1,15,v_ES_AttentionW,0.023343093124938
1,15,v_ES_InattentionW_E,-0.0297383650816547
1,15,v_ES_InattentionW_S,0.029344153256722
1,16,a(high),1.7851134419243757
1,16,a(low),1.732108346077995
1,16,a(medium),1.9112496994347328
1,16,t,0.2685667374756595
1,16,z,0.6474199515722693
1,16,v_ES_AttentionW,0.0167079420553505
1,16,v_ES_InattentionW_E,-0.0307873973712108
1,16,v_ES_InattentionW_S,0.0315640707989261
1,17,a(high),1.7851134419243757
1,17,a(low),1.732108346077995
1,17,a(medium),1.9112496994347328
1,17,t,0.5639264076909472
1,17,z,0.2377994560579373
1,17,v_ES_AttentionW,0.0240730716999727
1,17,v_ES_InattentionW_E,-0.034179793252335
1,17,v_ES_InattentionW_S,0.0331797590300117
1,19,a(high),1.7851134419243757
1,19,a(low),1.732108346077995
1,19,a(medium),1.9112496994347328
1,19,t,0.516139223735782
1,19,z,0.5187435117765119
1,19,v_ES_AttentionW,0.0296801614839575
1,19,v_ES_InattentionW_E,-0.0226911848727544
1,19,v_ES_InattentionW_S,0.0603563612248056
1,21,a(high),1.7851134419243757
1,21,a(low),1.732108346077995
