rep,subj,parameter,true,recovered
0,1,t,0.4502739405777561,0.4501165196207197
0,3,t,0.3192506504177684,0.3101161425547343
0,4,t,0.4971323272943044,0.4863053286325236
0,5,t,0.3553628172831837,0.3596887404744904
0,7,t,0.410354564315418,0.4109398414502527
0,8,t,0.3967155900063256,0.3839507877997438
0,10,t,0.6000537600611404,0.5961047448338167
0,11,t,0.5174821422964301,0.5185450540005391
0,12,t,0.4860314205907154,0.4826854524324843
0,13,t,0.4432593417620383,0.437588562287298
0,15,t,0.4490021353421543,0.449790980478211
0,16,t,0.3733350055683486,0.3779677389475293
0,17,t,0.2882098905858633,0.3155755199586266
0,19,t,0.4901159137147147,0.489410491956004
0,21,t,0.3214108541926033,0.322581399018103
0,22,t,0.4817287516470195,0.4820083372526868
0,23,t,0.4626724734372729,0.4555885457585879
0,24,t,0.4651346991924764,0.4673482736070307
0,25,t,0.479682125421314,0.4782208050893549
0,27,t,0.3074330921762652,0.3051013565836403
0,1,z,0.2645863590801095,0.2545033324337746
0,3,z,0.4797069608103173,0.4736531832053988
0,4,z,0.5994321109413957,0.5582609609878038
0,5,z,0.5240841644809402,0.5275997857239213
0,7,z,0.3307264621298606,0.3152031574464817
0,8,z,0.5542126482205757,0.5528079143756511
0,10,z,0.3812937605342658,0.3993630048713641
0,11,z,0.435168119835401,0.4620019148450365
0,12,z,0.5562103805070595,0.5610367193042309
0,13,z,0.6166806048243259,0.6162717242681556
0,15,z,0.5724452084497035,0.581770007116731
0,16,z,0.4054750275003814,0.3860976575841434
0,17,z,0.3944700328182543,0.412474535300217
0,19,z,0.3919206101990755,0.4071332125283717
0,21,z,0.2473993412331812,0.2494356655434242
0,22,z,0.3774553383588643,0.3805853049934074
0,23,z,0.3342270450959033,0.3443497454637922
0,24,z,0.3696911002955299,0.3750455130817783
0,25,z,0.4380163122994147,0.420539528124145
0,27,z,0.2125083890565779,0.2157790108467681
0,1,v_ES_AttentionW,0.0381688642010901,0.0445499372570351
0,3,v_ES_AttentionW,0.0276695942133771,0.0266298059705941
0,4,v_ES_AttentionW,0.0314322396176993,0.0344995841325007
0,5,v_ES_AttentionW,0.0213442072757666,0.0232807864471364
0,7,v_ES_AttentionW,0.0428155603041028,0.044463047431048
0,8,v_ES_AttentionW,0.0343793100993277,0.0378345481622319
0,10,v_ES_AttentionW,0.0257404010597314,0.0268444346929352
0,11,v_ES_AttentionW,0.0225128065897558,0.0202589139815091
0,12,v_ES_AttentionW,0.0242318224944679,0.024997852798022
0,13,v_ES_AttentionW,0.0329831213532469,0.032583857166922
0,15,v_ES_AttentionW,0.0164397959889241,0.0180312294335946
0,16,v_ES_AttentionW,0.0454967429343279,0.043171903694233
0,17,v_ES_AttentionW,0.0323842600212813,0.0365156597454874
0,19,v_ES_AttentionW,0.0262314683342348,0.0289925251155714
0,21,v_ES_AttentionW,0.0217323125836556,0.0251749555423267
0,22,v_ES_AttentionW,0.0323427885587363,0.0359515614667344
0,23,v_ES_AttentionW,0.0272088396819504,0.0266306438014395
0,24,v_ES_AttentionW,0.0309052889579729,0.035579947773559
0,25,v_ES_AttentionW,0.0266158645326085,0.0315753905484558
0,27,v_ES_AttentionW,0.0209665952757448,0.0228798608184259
0,1,v_ES_InattentionW_E,-0.0258863052490945,-0.0329987716607143
0,3,v_ES_InattentionW_E,-0.0341252067252388,-0.0367752097147077
0,4,v_ES_InattentionW_E,-0.0242798042699895,-0.0245730560613984
0,5,v_ES_InattentionW_E,-0.0264208496276638,-0.0320130348716224
0,7,v_ES_InattentionW_E,-0.0353104694628213,-0.035605275363651
0,8,v_ES_InattentionW_E,-0.0304287240107522,-0.0329494430613923
0,10,v_ES_InattentionW_E,-0.0409837865322741,-0.0396196509082178
0,11,v_ES_InattentionW_E,-0.0410759416585534,-0.0432667927020004
0,12,v_ES_InattentionW_E,-0.0319826848278007,-0.0357826845736112
0,13,v_ES_InattentionW_E,-0.0281380233561394,-0.0294248881988871
0,15,v_ES_InattentionW_E,-0.0367316465859062,-0.0410925213901889
0,16,v_ES_InattentionW_E,-0.0414317907246777,-0.0412640701309423
0,17,v_ES_InattentionW_E,-0.0289357057747484,-0.0316766764448795
0,19,v_ES_InattentionW_E,-0.0265970484396057,-0.0313243025966841
0,21,v_ES_InattentionW_E,-0.0297021521910317,-0.0361971888760194
0,22,v_ES_InattentionW_E,-0.0285969120095031,-0.0343613721699816
0,23,v_ES_InattentionW_E,-0.0372657801454777,-0.0365513156566355
0,24,v_ES_InattentionW_E,-0.0298434085633776,-0.0352816077588374
0,25,v_ES_InattentionW_E,-0.0346666584505233,-0.0430357509748554
0,27,v_ES_InattentionW_E,-0.0305402413095885,-0.0332638168332082
0,1,v_ES_InattentionW_S,-0.0094285839848129,-0.0074841754429685
0,3,v_ES_InattentionW_S,0.0132069499110058,0.0157384432946808
0,4,v_ES_InattentionW_S,0.04043068962544,0.0479787200732586
0,5,v_ES_InattentionW_S,0.0297635526192276,0.0303911568793833
0,7,v_ES_InattentionW_S,0.0219626441873523,0.0220659191770216
0,8,v_ES_InattentionW_S,0.0396743446744561,0.0433572936117225
0,10,v_ES_InattentionW_S,0.0434914603754458,0.0442336542299438
0,11,v_ES_InattentionW_S,0.0442050288983646,0.0444296384257596
0,12,v_ES_InattentionW_S,0.033198320610609,0.0336978312735143
0,13,v_ES_InattentionW_S,0.0321859653129824,0.0342703422345494
0,15,v_ES_InattentionW_S,0.0210958729692652,0.0234120167514427
0,16,v_ES_InattentionW_S,0.0507542453353761,0.0492448263646271
0,17,v_ES_InattentionW_S,0.0454550190412523,0.0543318928455726
0,19,v_ES_InattentionW_S,0.0268489794406423,0.031055213222071
0,21,v_ES_InattentionW_S,0.0337289596139859,0.0337817083336566
0,22,v_ES_InattentionW_S,0.0244154914432165,0.0281468536345613
0,23,v_ES_InattentionW_S,0.0061400775509777,0.0018076821503633
0,24,v_ES_InattentionW_S,0.0399982162448001,0.0462639023303245
0,25,v_ES_InattentionW_S,-0.0039922862811342,0.0048565042006809
0,27,v_ES_InattentionW_S,0.0121259785459197,0.0122502790407895
1,1,t,0.4412182750288175,0.4387682424861041
1,3,t,0.5285213773232968,0.5261471329726313
1,4,t,0.5251100681007336,0.5210772550255044
1,5,t,0.4150936786299188,0.4064941111752974
1,7,t,0.596409332558236,0.5853369530744258
1,8,t,0.443636610556109,0.4448709941358844
1,10,t,0.4785539699205067,0.4837916586289514
1,11,t,0.2103538838369293,0.2099280668557671
1,12,t,0.3714148357409466,0.3730932578745776
1,13,t,0.5800938834717629,0.5989760796164988
1,15,t,0.3479502533029435,0.3413430890385794
1,16,t,0.2685667374756595,0.2708222653656548
1,17,t,0.5639264076909472,0.5589023508902594
1,19,t,0.516139223735782,0.5211932341972464
1,21,t,0.2492127928323173,0.2553394975998023
1,22,t,0.371797412985323,0.3677214665864373
1,23,t,0.6958866255499045,0.7124851364726063
1,24,t,0.394838434137039,0.3905266558303566
1,25,t,0.5979411479208806,0.5884676253957795
1,27,t,0.3444220861324848,0.3483940245216397
1,1,z,0.5908251188667558,0.5928552184003896
1,3,z,0.4609255549207417,0.4617605014687136
1,4,z,0.4337326999176942,0.4334989279815542
1,5,z,0.3366608803835056,0.3602299361840294
1,7,z,0.315148742446292,0.3419602750221737
1,8,z,0.6504301036374962,0.6643412297097859
1,10,z,0.5354726277198786,0.5496087106142717
1,11,z,0.1020263156309246,0.1084274345603315
1,12,z,0.298073727242476,0.304055307804327
1,13,z,0.4925234706020246,0.5109748822156622
1,15,z,0.5834424558675919,0.5992508797429776
1,16,z,0.6474199515722693,0.645127512425082
1,17,z,0.2377994560579373,0.2740543556555896
1,19,z,0.5187435117765119,0.5440241906791106
1,21,z,0.45652621597993,0.4614978105413517
1,22,z,0.2585398288175536,0.3052964394538069
1,23,z,0.4628079663015529,0.4880562469970808
1,24,z,0.8225668472057335,0.7998421945594947
1,25,z,0.3224248441594564,0.3473833535551114
1,27,z,0.4659760217115085,0.4943609533262012
1,1,v_ES_AttentionW,0.0236552209952092,0.0266951018350245
1,3,v_ES_AttentionW,0.0314654719357954,0.027562315667982
1,4,v_ES_AttentionW,0.0239480426895334,0.0280623757522243
1,5,v_ES_AttentionW,0.035214451877354,0.0330141058737316
1,7,v_ES_AttentionW,0.0139584360011794,0.0133270130684861
1,8,v_ES_AttentionW,0.0301268519205738,0.0294841805754798
1,10,v_ES_AttentionW,0.0178664019106471,0.0212406587008661
1,11,v_ES_AttentionW,0.0296911211050472,0.0357761320077353
1,12,v_ES_AttentionW,0.0377533986249087,0.0390322271075906
1,13,v_ES_AttentionW,0.0340867051771931,0.0346116833563864
1,15,v_ES_AttentionW,0.023343093124938,0.0276229850632428
1,16,v_ES_AttentionW,0.0167079420553505,0.0176824598656237
1,17,v_ES_AttentionW,0.0240730716999727,0.0292110859679702
1,19,v_ES_AttentionW,0.0296801614839575,0.0243215670472458
1,21,v_ES_AttentionW,0.0369329046516663,0.03915931279986
1,22,v_ES_AttentionW,0.0380272709028193,0.0385566984703882
1,23,v_ES_AttentionW,0.0329661340866516,0.0383568401660138
1,24,v_ES_AttentionW,0.0194646109284311,0.020656067699778
1,25,v_ES_AttentionW,0.0114353667276256,0.0072680193549141
1,27,v_ES_AttentionW,0.0061645707579446,0.0045808210442407
1,1,v_ES_InattentionW_E,-0.0424082552755282,-0.0469097833957222
1,3,v_ES_InattentionW_E,-0.0411350685433665,-0.0416948648454977
1,4,v_ES_InattentionW_E,-0.0367895658105892,-0.0353213799256083
1,5,v_ES_InattentionW_E,-0.0368178351725316,-0.0376022464092557
1,7,v_ES_InattentionW_E,-0.0294310115725595,-0.0315044488391292
1,8,v_ES_InattentionW_E,-0.0330643485822882,-0.0330030955328594
1,10,v_ES_InattentionW_E,-0.0136843622478977,-0.0189088149935895
1,11,v_ES_InattentionW_E,-0.0297195280188505,-0.0432548169333916
1,12,v_ES_InattentionW_E,-0.0422953918523196,-0.0464960192266161
1,13,v_ES_InattentionW_E,-0.0267882518086187,-0.0265429906752091
1,15,v_ES_InattentionW_E,-0.0297383650816547,-0.035106537737533
1,16,v_ES_InattentionW_E,-0.0307873973712108,-0.0312522917973995
1,17,v_ES_InattentionW_E,-0.034179793252335,-0.0384804571114109
1,19,v_ES_InattentionW_E,-0.0226911848727544,-0.0249743019148777
1,21,v_ES_InattentionW_E,-0.0322859757397644,-0.0341386530903027
1,22,v_ES_InattentionW_E,-0.061384444633821,-0.0714214164397992
1,23,v_ES_InattentionW_E,-0.0428452750598995,-0.0435170227890541
1,24,v_ES_InattentionW_E,-0.0612710897916638,-0.0577374624446858
1,25,v_ES_InattentionW_E,-0.0440791451674282,-0.0468059351596492
1,27,v_ES_InattentionW_E,-0.0384555995294277,-0.0404366772968413
1,1,v_ES_InattentionW_S,0.0023497175998097,0.0009619945866514
1,3,v_ES_InattentionW_S,0.0480173717178882,0.0499060967552195
1,4,v_ES_InattentionW_S,0.0192812062240233,0.0198889736934886
1,5,v_ES_InattentionW_S,0.0255909777195301,0.0233358972861646
1,7,v_ES_InattentionW_S,0.0011289619969924,-0.0024561798236054
1,8,v_ES_InattentionW_S,0.001515764915976,0.0044737766622137
1,10,v_ES_InattentionW_S,0.0132449837792987,0.0136495773221478
1,11,v_ES_InattentionW_S,0.0368709155807456,0.0421225049435337
1,12,v_ES_InattentionW_S,0.013446138779006,0.0118103048354089
