rep,parameter,true,recovered
0,a(high),1.8152449064257496,1.770011425928641
0,a(low),1.8713790530023318,1.8239089641140105
0,a(medium),1.8210887949966954,1.762051136234556
0,t,0.4254278896931567,0.4373835266114621
0,z,0.4561579564580068,0.4158181557264336
0,v_ES_AttentionW,0.030782311654422665,0.03077673722060295
0,v_ES_InattentionW_E,-0.03398061928470286,-0.03289069917694975
0,v_ES_InattentionW_S,0.030792795465201746,0.02857630215061167
1,a(high),1.7851134419243755,1.7431111257871135
1,a(low),1.7321083460779947,1.6890278331075075
1,a(medium),1.9112496994347328,1.8471528412714264
1,t,0.41190540059716596,0.45312199162767125
1,z,0.45765464437133474,0.45253576820450464
1,v_ES_AttentionW,0.029434771590164915,0.025978432013722196
1,v_ES_InattentionW_E,-0.033158760695128665,-0.03753863442731761
1,v_ES_InattentionW_S,0.03061356938216737,0.028542163772874957
2,a(high),1.7281999152719394,1.721988921052088
2,a(low),1.7438269782113751,1.688077026618239
2,a(medium),1.8323360058994171,1.8176906871936405
2,t,0.42405730070128284,0.5060695626025613
2,z,0.45896618190242516,0.44091915504327406
2,v_ES_AttentionW,0.02918136317703139,0.027691311188434865
2,v_ES_InattentionW_E,-0.032376409462486884,-0.03141498954179327
2,v_ES_InattentionW_S,0.027068425452762834,0.025551417891680375
3,a(high),1.7116560562860361,1.6711972695892359
3,a(low),1.826389184797271,1.812263278419471
3,a(medium),1.716197678764778,1.6833866866867662
3,t,0.3816869937391643,0.33060135310228417
3,z,0.46289587829947354,0.39450802583952155
3,v_ES_AttentionW,0.027148839380012797,0.02687951398101635
3,v_ES_InattentionW_E,-0.03142989038290179,-0.03224226578367041
3,v_ES_InattentionW_S,0.0323093043829983,0.037693237109537446
4,a(high),1.8631919354584825,1.8620431760471825
4,a(low),1.8867132637252007,1.8594142496939725
4,a(medium),1.8800798446699873,1.8507470326308653
4,t,0.46961139321035783,0.4511130400378911
4,z,0.4815157408056612,0.5369286599508387
4,v_ES_AttentionW,0.030020799852074474,0.024331419551102032
4,v_ES_InattentionW_E,-0.026792066379567773,-0.022775667560698824
4,v_ES_InattentionW_S,0.025413688498463614,0.022595195641181023
5,a(high),1.8253968470592488,1.8011836634679528
5,a(low),1.9435934313804988,1.9327317788366287
5,a(medium),1.7288024860402798,1.6784804860643565
5,t,0.4141336350122782,0.4262672742746266
5,z,0.45487514485473446,0.4371522265536242
5,v_ES_AttentionW,0.03041066087348165,0.029950542684088022
5,v_ES_InattentionW_E,-0.035428510059655284,-0.03554566126751457
5,v_ES_InattentionW_S,0.030230173284610775,0.02999045664569817
6,a(high),1.7167939727808164,1.670579552262059
6,a(low),1.8868689580750904,1.8400394860599476
6,a(medium),1.827756304855272,1.7840405537736095
6,t,0.4194967209348395,0.42531795584334514
6,z,0.44059641900416374,0.48992842893336846
6,v_ES_AttentionW,0.03285785706194027,0.033557617781848986
6,v_ES_InattentionW_E,-0.031415641140739275,-0.03152214294346954
6,v_ES_InattentionW_S,0.023933042892836612,0.03539955447240609
7,a(high),1.526831469251725,1.4934127563953437
7,a(low),2.018139307864508,1.9826900478981364
7,a(medium),1.9517145432882517,1.9023616609059661
7,t,0.40131280783585144,0.41738033861244356
7,z,0.4471402938687317,0.48611772295734557
7,v_ES_AttentionW,0.03185961885686183,0.032246308400073954
7,v_ES_InattentionW_E,-0.037426012926355084,-0.037474505570774315
7,v_ES_InattentionW_S,0.02527975335333941,0.03642224226802684
8,a(high),1.8723699827454852,1.826185765796598
8,a(low),1.888516112146496,1.8356349082066181
8,a(medium),1.8329158470994025,1.7959350062227466
8,t,0.4365261193649515,0.39989960558007737
8,z,0.44497120590086914,0.4397633598034684
8,v_ES_AttentionW,0.027760032151712778,0.029878180603172554
8,v_ES_InattentionW_E,-0.028687019457842397,-0.02563933906216538
8,v_ES_InattentionW_S,0.03377743653033025,0.0349048618768923
9,a(high),1.638438213680062,1.5806344953208102
9,a(low),1.9967780141529659,1.9124121647555536
9,a(medium),1.876409421859077,1.8369288690940555
9,t,0.43303019323831804,0.4225728474088885
9,z,0.47154687548078195,0.4358197098859383
9,v_ES_AttentionW,0.02686131865744652,0.023490884672840044
9,v_ES_InattentionW_E,-0.03376652151501095,-0.03285090379788425
9,v_ES_InattentionW_S,0.03129694704215602,0.03607669842737186
