rep,parameter,true,recovered
0,a(high),1.8152449064257496,1.6096187207749664
0,a(low),1.8713790530023318,1.6609398143381784
0,a(medium),1.8210887949966954,1.8401398013731225
0,t,0.4254278896931567,0.4606391750618516
0,z,0.4561579564580068,0.42365154310665804
0,v_ES_AttentionW,0.030782311654422665,0.031236461189446056
0,v_ES_InattentionW_E,-0.03398061928470286,-0.036639087471723175
0,v_ES_InattentionW_S,0.030792795465201746,0.024880953855241708
1,a(high),1.7851134419243755,1.6924673735131244
1,a(low),1.7321083460779947,1.6782961185855367
1,a(medium),1.9112496994347328,2.0326538105570284
1,t,0.41190540059716596,0.3943022390229132
1,z,0.45765464437133474,0.38127672715075733
1,v_ES_AttentionW,0.029434771590164915,0.03061782778960989
1,v_ES_InattentionW_E,-0.033158760695128665,-0.038236555757943394
1,v_ES_InattentionW_S,0.03061356938216737,0.030782965515006717
2,a(high),1.7281999152719394,1.6017710110563494
2,a(low),1.7438269782113751,1.5239430585993194
2,a(medium),1.8323360058994171,1.8545245368646064
2,t,0.42405730070128284,0.461063262616977
2,z,0.45896618190242516,0.4901487726805513
2,v_ES_AttentionW,0.02918136317703139,0.033613544314779316
2,v_ES_InattentionW_E,-0.032376409462486884,-0.028312196476064314
2,v_ES_InattentionW_S,0.027068425452762834,0.030703921708797533
3,a(high),1.7116560562860361,1.656639586240869
3,a(low),1.826389184797271,1.7736270912667955
3,a(medium),1.716197678764778,1.5971939790766827
3,t,0.3816869937391643,0.42371545073553213
3,z,0.46289587829947354,0.450354994630683
3,v_ES_AttentionW,0.027148839380012797,0.027355604885117558
3,v_ES_InattentionW_E,-0.03142989038290179,-0.03663977466013357
3,v_ES_InattentionW_S,0.0323093043829983,0.03255750612992009
4,a(high),1.8631919354584825,1.8553204285497924
4,a(low),1.8867132637252007,1.656119514886461
4,a(medium),1.8800798446699873,1.814241098758338
4,t,0.46961139321035783,0.4930401699846417
4,z,0.4815157408056612,0.5316217077981542
4,v_ES_AttentionW,0.030020799852074474,0.027921173378833004
4,v_ES_InattentionW_E,-0.026792066379567773,-0.02525816890621683
4,v_ES_InattentionW_S,0.025413688498463614,0.028115975665148892
5,a(high),1.8253968470592488,1.6624865359656582
5,a(low),1.9435934313804988,1.6476666313418584
5,a(medium),1.7288024860402798,1.6254731110133425
5,t,0.4141336350122782,0.41152507334152966
5,z,0.45487514485473446,0.4099085877543794
5,v_ES_AttentionW,0.03041066087348165,0.03338507617243244
5,v_ES_InattentionW_E,-0.035428510059655284,-0.036127182736540066
5,v_ES_InattentionW_S,0.030230173284610775,0.031839550746522026
6,a(high),1.7167939727808164,1.640915017143065
6,a(low),1.8868689580750904,1.967962708646438
6,a(medium),1.827756304855272,1.9383408109686582
6,t,0.4194967209348395,0.450669046602189
6,z,0.44059641900416374,0.3937776063257042
6,v_ES_AttentionW,0.03285785706194027,0.031170253966422003
6,v_ES_InattentionW_E,-0.031415641140739275,-0.028792159243026555
6,v_ES_InattentionW_S,0.023933042892836612,0.02544322794941381
7,a(high),1.526831469251725,1.5812054253585317
7,a(low),2.018139307864508,1.6301899327542
7,a(medium),1.9517145432882517,1.6292004460582798
7,t,0.40131280783585144,0.8058126595102455
7,z,0.4471402938687317,0.4921606140800463
7,v_ES_AttentionW,0.03185961885686183,0.04003581857184622
7,v_ES_InattentionW_E,-0.037426012926355084,-0.03715351902198374
7,v_ES_InattentionW_S,0.02527975335333941,0.025127198138488065
8,a(high),1.8723699827454852,1.8474692110105868
8,a(low),1.888516112146496,1.8465145099164773
8,a(medium),1.8329158470994025,1.7191928927401972
8,t,0.4365261193649515,0.43280991142597025
8,z,0.44497120590086914,0.4459298604959285
8,v_ES_AttentionW,0.027760032151712778,0.028599306847957553
8,v_ES_InattentionW_E,-0.028687019457842397,-0.03261149450388901
8,v_ES_InattentionW_S,0.03377743653033025,0.03946325506435318
9,a(high),1.638438213680062,1.6195063658336908
9,a(low),1.9967780141529659,2.041265891979554
9,a(medium),1.876409421859077,1.653290313474412
9,t,0.43303019323831804,0.42274777580306105
9,z,0.47154687548078195,0.48590315084250113
9,v_ES_AttentionW,0.02686131865744652,0.031188798055327267
9,v_ES_InattentionW_E,-0.03376652151501095,-0.03441474583583898
9,v_ES_InattentionW_S,0.03129694704215602,0.028456944951021853
