t_subj,v_Intercept_subj,v_z_val_diff_corr_subj,v_z_w_dv_subj,v_FirstFix_Left_subj,a_Intercept_subj,a_z_absDPAC_subj
0.3920632036584036,1.535988361291829,0.8718140471343966,-0.2575285208874571,0.04946681396780621,1.811731268404815,0.047924595215084666
0.39394247568572105,1.1867754279708183,0.7702654255114365,-0.38213993373932825,-0.10153198594854165,1.5729727261182236,-0.0292510504206358
0.40072708792114387,1.6386642239727014,0.829486202339288,-0.23816312801431994,0.06033900933695796,2.423782161620448,-0.052308279235717174
0.33467160837529836,1.8157253099435549,0.8991367119864838,-0.043430747333062354,0.02711442536638399,1.892834622257374,-0.10066838244711154
0.4324924015570599,1.4758358931569104,0.8491950257908384,-0.364640933205524,-0.018361636107731026,2.1463753660520344,-0.0651852372136413
0.5911656151999415,1.4077877302955197,0.8143880162095968,-0.39416149246507015,0.01901207829393439,1.6943756948737747,0.06946952174496866
0.42868095825129704,1.7493727694927337,0.9315540569689275,0.0733867484020205,0.21373831942431512,1.6209311418170849,0.03580561302245622
0.44800161398527133,1.4964626882333643,0.8870367621888166,-0.29231565263790116,0.03595886140091698,1.8994891350700371,-0.026021788040925645
0.40489617302502995,1.5527426641496698,0.8910849282606317,-0.07944538081576107,-0.02586773148526582,1.0855785020074118,0.04067519116840737
0.4941316698516236,1.4917328040149793,0.8496238791657543,-0.22795557180536727,-0.015423484408525872,1.7116085933399365,-0.060812296534972304
0.409511951725301,1.7387657924641755,0.8800717078924197,-0.09159832021730743,-0.16585500340408565,1.1842256412386054,0.001653241597120976
0.45152714671079547,1.6293864658372765,0.9048797105959063,-0.05418489850124556,0.08156754564627824,1.6319602596048297,-0.07891742794698388
0.40365969443585537,1.4567585009668338,0.8300473554775918,-0.40445313336899646,-0.004682786481709037,2.294325869318591,-0.08952394875840976
0.4118767985315346,1.465190036132254,0.8376865154763524,-0.1742520586581478,0.06278557847757747,2.868636026312529,-0.10983455163369348
0.46028505085797294,1.6564455781088838,0.9279808844071544,-0.2074713379207142,-0.05233109291490646,2.113069112694651,-0.13909793982248672
0.44336229375130826,1.6369362035721988,0.8757107232384198,-0.07561290197768428,0.05608443856879737,2.8179484294969988,-0.15970095564734296
0.34313367093509983,1.714868407796245,0.9267056344764961,-0.02058205322035092,0.2232040404901436,2.523105174605325,-0.17701932962156566
0.38321970491371776,1.4540768698915545,0.8311314797664517,-0.2584929689942721,-0.03601360535409421,1.8820464041051048,-0.06943098264258607
0.40198937932578255,1.2651862194744512,0.7210932838228037,-0.5267426035569935,-0.1742057330847087,1.374321837928901,-0.008466956711608065
0.44544380741187395,1.2766442704636654,0.8684344822827746,-0.46884717150248034,-0.20382785904568146,2.0240701702545905,-0.2115692264328821
0.5405309838460425,1.6271627599736638,1.0017630211122728,-0.08302657725442994,0.017496768701233095,2.4292897280310104,-0.07806085585558013
