t_subj,v_Intercept_subj,v_z_val_diff_corr_subj,v_z_w_dv_subj,a_Intercept_subj,a_z_absDPAC_subj
0.39217982743847596,1.5626308172189722,0.8617362837074738,-0.24441844015172806,1.8063094922476357,0.04416675727747424
0.39441784607573305,1.076618140625915,0.7497430558332844,-0.3662474182095496,1.5704578999280552,-0.03000343363696995
0.3997860138557799,1.683744513712535,0.815001332602058,-0.22331937629656606,2.430936728793098,-0.050753822636668555
0.33547154281614616,1.8549736438689088,0.8953843771145896,-0.026969916710974543,1.89571787554871,-0.10378909291629565
0.4308854346689611,1.4581147806628107,0.8411202621093944,-0.35886809720759066,2.1544959700788153,-0.06357933836359772
0.590807188161477,1.3956740546461142,0.7983585397943199,-0.3804331649438528,1.68902358710549,0.0653573789928407
0.4288750975480792,1.8722906696810533,0.9161571618472902,0.10080611055791995,1.6133067149429394,0.03278934202551828
0.44819090975030623,1.5063624128224438,0.88405021426489,-0.290880012541597,1.895045044967417,-0.02785637326956741
0.40514264439384184,1.5455582869479565,0.8842937782635139,-0.06331694654042216,1.080251194804824,0.03510336372082215
0.4945928775105204,1.4700645654436213,0.8370471027078908,-0.220569682934568,1.7037943655864907,-0.06571222227577891
0.4095538489567864,1.701636197329901,0.882019960830298,-0.09587234052439732,1.186145952069457,0.0014553391500083995
0.45179354513415887,1.6834246336683454,0.8873657766680819,-0.03609885805954117,1.6273589530591588,-0.08215095140024495
0.4019679119968631,1.4417030128689676,0.8195102949536703,-0.39910468705821994,2.2995952346202113,-0.08663403130833956
0.41385194518097174,1.474655498836128,0.8124890960908461,-0.16083959012774626,2.846391412895617,-0.11203991538579779
0.4597836568673482,1.6478147148543356,0.9364796546175037,-0.21038425577092232,2.1211124691391605,-0.13834136930456065
0.443894247404368,1.6821616062530247,0.8709123716397186,-0.07047895268893853,2.8144344751962738,-0.16221239684174046
0.34710852622824556,1.8849234502744487,0.9119808569830554,0.004332258649124733,2.4819358018919195,-0.18488435449757426
0.38388743351978166,1.4224453105353287,0.8202441696154841,-0.24980799729956266,1.875745697171264,-0.07189828928489563
0.401998969586943,1.0951863860153064,0.7073259375211011,-0.5209421543002716,1.372674880394514,-0.010858732786218083
0.4462093885653362,1.0976905925144191,0.8768675542724637,-0.4728745797738062,2.018777604398394,-0.21248793254408865
0.539801326354095,1.6495490191489999,1.0107434429440636,-0.08687888747520424,2.438491448251326,-0.07648092524538602
