v_Intercept_subj,v_val_diff_subj,v_DwellPropAdvantage_subj,v_gaze_quad_subj,a_Intercept_subj,a_abs_DwellPropAdv:C(OVcate)[low]_subj,a_abs_DwellPropAdv:C(OVcate)[medium]_subj,a_abs_DwellPropAdv:C(OVcate)[high]_subj
0.3432493237748729,0.041339520618295086,0.16417646166497582,0.6390415399600111,2.123367231142866,-0.07652096903576257,0.06704921181818854,-0.6995850911771513
0.2921714784802963,0.03995965528731733,0.07912712205406344,0.5547606405158321,2.4947519156276914,-0.7559785204053154,-0.9764883859814321,-1.2516092132135874
0.38968369192272406,0.03901335953351601,0.14867789763931968,0.8574629034633644,2.7774679080247826,-0.44595227887903954,-0.3312756579753775,-0.08587344024929185
0.31316918759515283,0.05632243972282833,0.08363614705225235,0.5924722665281174,2.6106173957131698,-0.8970225017753392,-0.9165722852843823,-1.3590268148045495
0.3406781939846606,0.03280175396513734,0.19335432025389604,0.7724053680397777,2.582159400566052,-0.6290985790339435,-0.47820724219422167,-0.8986622105504612
0.33506412141063785,0.039115653730929255,0.062479048922895304,0.619419606686523,2.0995086775187284,-0.5106983774444839,0.2740695358155918,-0.6708446139400752
0.383650438359818,0.05746113062837525,0.056457528824051695,0.8466639600500776,2.209439928881375,-0.5727348314324424,-0.4974545457733771,-1.1154968936342085
0.3302169396787983,0.039389233353766546,-0.009864427575141586,0.7466776286148561,2.339996011476207,-0.3783662348624208,0.18205189814614187,-0.6786502620867269
0.31902662701765183,0.06531538888212958,0.15278568683354543,0.5843506573797023,1.508234601866926,-0.34455617362819013,-0.4447224078852731,-0.5080099173236928
0.3063316719418335,0.04521059084979513,0.12544728005374683,0.7414022152197317,2.405613975047401,-0.6040618903735078,-0.8279856971197791,-1.2561332602456978
0.3451974636810634,0.05913417274202319,0.08272766043099196,0.7155240256657823,1.737396874143649,-0.8128172160962698,-0.6133994507049707,-0.4437458423770581
0.3920155796558097,0.052765478629327275,0.2300056152617624,0.8175143202350851,2.3541893076376774,-0.5179392284947062,-0.5945805347021706,-0.9399451356556027
0.30741280863166864,0.032733669323664935,0.05081073844593448,0.7224627157605671,2.823427818559766,-0.8341309677694291,-0.9242281909230369,-1.2490148578179787
0.30299809211760814,0.03901912306675392,0.1045191169871674,0.47785051801527195,3.4222475204281095,-0.8990699370388463,-0.32572265472337775,-1.2597418215023442
0.3290042275127254,0.04446913512689251,0.07876713760773776,0.7956041302981652,2.9233806479731284,-0.8923499060365808,-0.5386556442975413,-0.8774521172643597
0.3864673651484246,0.043669937387611574,0.0656196054473838,0.7814937931769071,3.4275920322096876,-0.4645310469041992,-0.6823528995890485,-1.0872250464387634
0.37008659375584685,0.054080407295054714,0.1235663630855354,0.7582179227030875,3.1915530915683297,0.17347322188400086,-0.317932368999813,-1.3538455499626518
0.31805642210902163,0.0342400351704426,0.1418283505061251,0.8222337738995948,2.3719125871687776,-0.33526020707622123,-0.9878074246348921,-1.4024823499013948
0.2768986244572697,0.03666284915450108,0.18279290194999542,0.6424678134948719,2.0462692666815934,-0.7003743608057017,-0.6813009300920471,-0.9966978958943498
0.2493716662072429,0.02723874698652492,0.15584736328619547,0.7536391207310129,2.791111880114022,-0.4330385928692877,-0.8772541730205153,-1.4396709595514294
0.2933693250339651,0.05322526561711674,0.1636335838393053,0.7994803741474583,3.2719730248739385,-0.11201118675431598,0.1208292174871073,-1.0166324619562321
