t_subj,v_Intercept_subj,v_AttentionW_E:C(OVcate)[low]_subj,v_AttentionW_E:C(OVcate)[medium]_subj,v_AttentionW_E:C(OVcate)[high]_subj,v_AttentionW_S:C(OVcate)[low]_subj,v_AttentionW_S:C(OVcate)[medium]_subj,v_AttentionW_S:C(OVcate)[high]_subj,v_InattentionW_E_subj,v_InattentionW_S_subj,a_Intercept_subj,a_OVcate[T.low]_subj,a_OVcate[T.medium]_subj
0.3831925179009294,0.01966626831974912,0.05983580831373541,0.04132201631219053,0.03367034229722366,0.01578025621262906,0.034559798781725264,0.04047778230315782,0.049811863510315836,0.04052023467699801,1.5816223897384571,0.48700052797901816,0.2991405274591976
0.3129201184687427,-0.03848603855101269,0.0009384929940396478,0.023206773400100775,0.024908828670338338,0.02634383941792759,0.03877715360177927,0.03723208507235499,0.020244230674089748,0.04635551429398742,1.377021443367376,0.5018158434684742,0.18719403444397228
0.423697840889584,0.4560048225305317,0.044100303963323234,0.03949590497881482,0.028236187714418905,0.0333156441810718,0.03625894546290501,0.040164460636124236,0.02434532216701077,0.03742850038512135,2.3545463676347675,-0.20639443410145109,-0.030992130661789446
0.30276331974905163,0.1548949067695087,0.025764491542387077,0.042111917229332156,0.04747069138305085,0.04603421906014278,0.04956968706444324,0.04829759737128724,0.04780849016335026,0.04275899478442964,1.556000254071378,0.22019581921980033,0.14564442971561725
0.4271552598092068,0.14049992856795412,0.036778863824456116,0.04153546476986097,0.04244164881217179,0.013018084820482495,0.03145266395440667,0.04710393492024532,0.043687013707672605,0.029970265595515248,1.996481669432067,0.15763814369316378,0.14381197779499924
0.5785809906469942,-0.0017111115151948917,0.01640574735248325,0.036670642244744,0.03877513965517524,0.04697237008055477,0.03884945401390435,0.02678123172161396,0.03859438908515135,0.03471843114930899,1.5172121189585068,0.07208893256745996,0.3411602819839919
0.3793538399124965,0.2732634198455188,0.039963428538906554,0.05056725292784951,0.055796569303776605,0.037132977837393305,0.040000297507035855,0.039036167593537306,0.05655962522014631,0.047852036820973366,1.4222349595437886,0.22335055322069225,0.24855775268146488
0.4488317312972731,0.016969932573185922,0.033660135345816564,0.04857860466612442,0.037773202364824794,0.024035461852443273,0.03113916732213738,0.045728772859655244,0.045736608311141326,0.04364118091895888,1.7328771320642748,0.22999937456966454,0.42132556361209117
0.37130027637108737,0.22208884232222487,0.03701397082012993,0.05440270151048948,0.054810551257149134,0.051278419790268134,0.04147810101163494,0.04382104569247601,0.049206709564400354,0.03700691933201898,0.9820826879455705,0.09093963795724982,0.05735602064267353
0.44892981697916184,0.0409120120677206,0.028396252859378593,0.055802645012579734,0.0545970170391102,0.0235264607187478,0.03792393869453504,0.039161154274040356,0.04578293432613929,0.035938182677010835,1.505230236916864,0.3231023322832599,0.21987570943211843
0.37983639020324217,0.15004476885242943,0.05355264567668568,0.05831970148553121,0.061107059106892514,0.0011061496114929189,0.03961137324115659,0.04199216642340258,0.06472569171306464,0.03912723502889487,1.331570683624367,-0.13675363487151942,-0.12756792809877682
0.3946987975923975,0.19077612472269737,0.0639390638365581,0.04765389850368916,0.046741694355878265,0.030473279132039642,0.0388714829967317,0.04662751042983615,0.05373850256640981,0.03930547076570104,1.5964103765908233,0.2672813269693676,-0.010987804292754049
0.36296742202013943,0.1546816361202964,0.023633010137361063,0.038641358599260565,0.03043880289032806,0.030190963691574216,0.0423320082465835,0.030691324646299145,0.03474418621011244,0.0413745367340604,1.8875398554412641,0.20116675635232745,0.31347074688306265
0.420049174834888,0.11262969509044274,0.05682936058012012,0.050376312246769125,0.047465624561449225,0.045370773517583375,0.029877252952283995,0.032108439871151674,0.049928217125929375,0.030545168685266483,2.1178747003336023,0.1458102827471737,0.4677624047890641
0.44078229065903013,0.13894912423571004,0.053520757463359256,0.05324583416737193,0.05202433309956505,0.02193061489069671,0.033919151172221544,0.040948028904180776,0.05670469602829386,0.033078961070877,2.1795348479303804,0.05269994353500924,0.06325300586881338
0.45351262906801504,0.1685409075193577,0.060991371753605604,0.05270907824317804,0.04682761206155525,0.0287250528596102,0.031572757536866294,0.04286175154073039,0.04677751433418901,0.04236462849635541,2.5531945218559593,0.3655383237182077,0.14856229776362245
0.38663966064607475,0.397216841365506,0.03948546979604194,0.04769241224621051,0.0412276974101447,0.03876684091977539,0.04818471387220175,0.045574039390611186,0.040278519116206835,0.03937855024783224,1.873595612858042,0.9878339004979574,0.29374491714680206
0.35877506994873737,0.05068787090071022,0.03840125067852202,0.03386807104687839,0.03892613449208581,0.021242526348489874,0.028482536617599283,0.042297995432452336,0.03730907683307144,0.038674246572557344,1.4747079918211936,0.6930603942005275,0.31151012230499137
0.3300875066624896,-0.2765247426761914,0.012107179501256761,0.0302466131026681,0.02828790696180255,0.022903901732445508,0.024680702257107452,0.029846173746549486,0.02535453762640447,0.033324170436328744,1.3244983992466193,0.14804371046798193,0.2137530824423395
0.42840219685807945,-0.2841418866836292,0.04572940328199068,0.04566259462869912,0.034970078968752726,0.02275849498069809,0.028213809423883674,0.04993831776849903,0.022540033732835998,0.027287150979138468,2.1227195267825585,0.37693266372555606,0.07607701673701509
0.5450086934491695,-0.023165590013024248,0.044962553926335774,0.04866354407566176,0.051989436209601496,0.04846731015299204,0.0434979646412759,0.04013040114240463,0.05768029546283848,0.04711743261219085,2.118854557422764,0.4161499186279217,0.42308057466354226
