a_subj,t_subj,z_subj,v_subj
1.4544615548229163,0.4076615158604684,0.49253627148591705,-0.07107811730841665
1.5044663377709409,0.3210902781137938,0.5853403375897384,0.14084147506538702
1.560272549321428,0.4865873166046259,0.49894182744524185,-0.02522467292666545
1.2965774042422393,0.32067662434193833,0.5495619199804057,-0.03302665533130454
1.6091620106675386,0.4629261841171832,0.4803747132757434,-0.05534759691238807
1.372651758844351,0.5984761070976703,0.523514258028252,-0.01745082502184392
1.1945803360295573,0.4054298918101305,0.4882626889134544,0.06047409465995012
1.5429937376805722,0.4737402604343155,0.47909520121138693,-0.017227739243769156
0.8898899322361911,0.3756938719998746,0.4816382029863782,0.03166029451215246
1.389865703026446,0.46896331154407006,0.43560582350972726,0.08794358669910762
1.0248064465788247,0.3945372508922604,0.4578733178094796,-0.13517663710644331
1.3122995376401072,0.4105378012134255,0.5089378173780222,-0.1504088799579773
1.608832088330964,0.4042773817462493,0.5586481900421856,-0.09216472033662072
1.7002347145003263,0.4828012604590193,0.4595465894895311,0.04553941487288613
1.6461570706033064,0.48225296793110867,0.4319659685950674,-0.021842343180098183
1.8118050830657118,0.5208583505670236,0.4366263630876809,0.04365056963482559
1.5346665707415128,0.42347984486556284,0.48208291303749273,0.07044791823587986
1.5075780675254977,0.3690614946158348,0.5468884109088619,-0.03851097039700678
1.3728380928427166,0.3332353166604193,0.4987910043824277,0.10081622040190426
1.921837277630779,0.49284401393427313,0.40975886902299025,0.03657123278461527
1.6836661734904306,0.5934396943111675,0.4568468777342524,0.11177654497015294
