t_subj,v_Intercept_subj,v_z_AW_bal:C(OVcate)[low]_subj,v_z_AW_bal:C(OVcate)[medium]_subj,v_z_AW_bal:C(OVcate)[high]_subj,v_z_IAW_bal_subj,a_Intercept_subj,a_z_balance:C(OVcate)[low]_subj,a_z_balance:C(OVcate)[medium]_subj,a_z_balance:C(OVcate)[high]_subj
0.40428300431283665,1.1325480339380891,0.2808409706517305,0.3700048506089072,0.25937143788256145,0.41070551986753767,1.6581809535932044,0.3612034059593633,0.07767512860214344,-0.18990270588503813
0.3999778677197427,0.7640369382927061,0.08789105986266132,0.47903133368598577,0.27073021055003976,0.1017958494191029,1.5258830426801662,0.32752422459542624,0.017314111812566476,-0.08251469222727296
0.40576242601995177,1.2791825268516348,0.37918685972803057,0.5006949036862376,0.3383668203121493,0.15415521722953268,2.3115663261052344,0.10315531386421027,0.09035960635715776,0.3922191177008066
0.33924196290960107,1.4621202316535507,0.3533677506672758,0.3958102298342406,0.3437033721010064,0.5780902752413785,1.8008805576894251,0.42440914447955874,0.10543818152787242,0.2060616234998788
0.4372476423332516,1.0922610931401708,0.10409223947577166,0.3765797006875933,0.438304934363275,0.16666223248871684,2.0249721187506133,0.24903614443516364,0.14309849210954922,0.20192297953669405
0.5902550337991882,1.0680515314819963,0.21979611913616737,0.33831057105816376,0.2528256843118857,0.26619301470638684,1.6501045433879167,-0.05461745917244714,0.12010409216676765,0.012523263104297605
0.42951071255301326,1.394607254447596,0.3282648799652409,0.5228240441274474,0.523732343949117,0.5819110822804611,1.5225011249732863,0.18874510594867971,0.11280726415085984,-0.06426262372581207
0.4504190674293427,1.0909202399846614,0.09152043564792985,0.3753093627239,0.2890241208600162,0.37401754360339823,1.8080407733422479,0.19056562315304398,0.20534224684726007,-0.010726231894980997
0.40296365269530465,1.1620494232520304,0.38940996123835264,0.48201430695147146,0.49587656715893985,0.28781443538892604,1.0604406548297047,-0.012009948933600825,0.0794611166883291,-0.050824788628737495
0.49632812596980364,1.0523586827219193,0.06312975836416754,0.4188641322020352,0.41402407584028933,0.3437983947704037,1.6333576088861748,0.2680317435990138,0.15358380722960766,-0.0024897267276478966
0.4102678133339244,1.3041014961650534,0.21395479111234697,0.514482911357947,0.3723844170628501,0.4432112983012088,1.1534086030070834,-0.022951873317143476,0.04999017672220733,0.1745076424210183
0.4572927634689917,1.2677160638190386,0.38837560581176356,0.41724078384694147,0.552581408310346,0.40621183388035303,1.512608022184621,0.3115653354020197,0.07239384965155397,0.19877874184072875
0.40562683283967077,1.066298081710974,0.0561241340906818,0.3752179637708632,0.05733241074845312,0.34865853087037785,2.226574806754824,0.15000559222072352,0.22738145203612867,0.23398879289503394
0.40501141648279243,1.0285447162843857,0.4723407856376776,0.46481935036969974,0.2545430034293112,0.3395330685686428,2.8454918657477895,0.21381910785809677,0.13772901868384738,0.2035733402352191
0.46973613402228065,1.2302190988279722,0.19553768472007493,0.44941576215276496,0.4540133036375278,0.4022461656353601,1.946909781625009,0.6292440383540044,0.12257958963319876,0.2849225641574807
0.45166800250476286,1.2205001951778995,0.32532961292717094,0.42745448434638234,0.5874929118756474,0.37330820939233644,2.5657233937360733,0.6906962350768583,0.15814785674143064,0.355618889108528
0.3835587410250762,1.4336866714474832,0.3621703375034308,0.5942893046038448,0.34873815342961184,0.4654902063805111,2.1040937071661823,0.9008694023073721,0.15366407564843068,0.172911387944335
0.39050492121042213,1.071276481332814,0.23723122174893227,0.36997097895879844,0.3153063292644391,0.3478271106775549,1.7724125885756483,0.4564065456175988,0.10424733808203195,0.00632979797695544
0.40296602977281337,0.7026859850062984,-0.009334441921961017,0.3082723182244173,0.23718114253284753,0.07894453472819443,1.3574137290117714,0.016981608359112912,0.12483375762068417,-0.04736698255386018
0.4568408563392687,0.6720961160635018,0.2669378802741369,0.3117854430092315,0.4236314943664932,0.014492946932658606,1.894466958802787,0.550295300983392,0.1760768906106955,0.26559944417977055
0.5427916614427635,1.2066057555500482,0.48848725946108734,0.5603217911777036,0.31129383539679445,0.4928985239639659,2.2464845836148344,0.37303479136206574,0.27228961672857255,0.06885532041475041
