t_subj,v_Intercept_subj,v_z_AttentionW_E_subj,v_z_AttentionW_S_subj,v_z_InattentionW_E_subj,v_z_InattentionW_S_subj,a(high)_subj,a(low)_subj,a(medium)_subj
0.3833735004308283,1.5066497710654276,1.2673163119106798,0.9693184788149589,1.2918574488190668,0.9881840474985755,,,
0.31266082088657915,1.0483123601118425,0.48163095881126217,1.0922269101651265,0.3937416625266111,1.1857035816422334,,,
0.431362443539773,1.7994932871799443,0.9137206762526803,0.9987701633131683,0.5167457951782825,0.8166906342888818,,,
0.30144121824303666,1.8449787116112053,1.2605888940364707,1.5181077746231058,1.1492729231183696,1.121437807222406,,,
0.4310865970782223,1.5079421551205814,1.2229673583366634,0.9496898824368746,1.026880668447628,0.6695459220150026,,,
0.5780115115643096,1.3578258980880737,0.9357683103440604,1.0264869268757009,0.82523175458826,0.8974664169470222,,,
0.3801005877362266,2.0980213825650216,1.606533721846749,1.166451752046937,1.377291083434576,1.219396109512937,,,
0.45032701131849284,1.5092680227101374,1.3769315036865397,1.0216221258918439,1.1929558826832958,1.0630079668502812,,,
0.3693761060216453,2.059175174141862,1.729085475112875,1.3516415627934164,1.2543864992861347,0.9556306910405317,,,
0.44981169256141745,1.5970410262126915,1.6492026613054902,1.0560753372650242,1.1419057400960986,0.9393192025923723,,,
0.3798062169382208,1.9440165098333837,2.0957789553069914,1.0055446035419175,1.734639582005757,0.9822940561921426,,,
0.39409343238438715,1.9389423708689513,1.5632275889937142,1.1982181491588826,1.365003680104736,0.9688508820563208,,,
0.3651522440850983,1.4885943837530107,0.9344799572455275,0.9867629026601283,0.778731424153043,1.02128560619802,,,
0.42603573711284676,1.7045387121535545,1.6709986799323937,0.9056698660050535,1.3316156064805365,0.7772070507254251,,,
0.4450881119821391,1.7882729144270455,1.703183080810001,1.0170329623757413,1.4312194118736552,0.7756046647166419,,,
0.4636726326965802,1.8194515112074359,1.6447742174750202,0.9623585403871555,1.2014379018889785,1.042258910239731,,,
0.3898996956406334,2.090636999961877,1.324745560535653,1.3835368012995193,0.9618368373509917,0.9914002178555166,,,
0.3593156687166957,1.3861661176974884,1.0727861110561616,0.9271898083697891,0.8787062131231496,0.9323812071561389,,,
0.32917857014990287,0.7210328422616579,0.7875080281640378,0.7234518754708155,0.5654209300840751,0.8342736931990281,,,
0.4375244525884501,0.9860983795777339,1.3790901521689545,1.0220321045326892,0.6463590962800024,0.6970263222117983,,,
0.5474701762684749,1.8616243418795602,1.6515296365512264,1.3847506123492668,1.4607656431527172,1.2761398858121211,,,
