a_subj,t_subj,v_Intercept_subj,v_AttentionW_subj,v_InattentionW:C(OVcate)[low]_subj,v_InattentionW:C(OVcate)[medium]_subj,v_InattentionW:C(OVcate)[high]_subj,z_Intercept_subj
1.8037541988521115,0.3824795986289405,0.5915771452882835,0.02228950654653715,0.015272173059658677,0.03424250755812948,0.03183652940068321,-0.0032636099398704213
1.604623779764202,0.2979041605019549,0.5171115275115896,0.012061689223121048,0.011229868592115349,0.01760804063913938,0.025315813861753442,-0.0010976382082347076
2.385725143156866,0.40642210635753345,0.6872517146937349,0.02993031652827488,0.030739025520596458,0.02441923152512947,0.027824063800668992,-0.0078263409697081
1.747528139202519,0.2930722013558069,0.5966107941126102,0.037436134108636485,0.0305145071881182,0.04006268982128168,0.03372793377795617,-0.004602485129547098
2.0902510609447322,0.4243598188322946,0.6111507133346317,0.024251894877187048,0.016728099668296446,0.02584308090884276,0.012972212032159017,-0.004797549401476657
1.5979971172876395,0.5843912985355623,0.5909760603272414,0.019209300796697092,0.011244837829050964,0.023153086316277865,0.02284513640833704,-0.0038814865035512805
1.5762674163367094,0.3798452896585537,0.6683327046788444,0.03376159876029697,0.03816744342483102,0.04233812855308955,0.03830863693982139,-0.002777238795920217
1.9153046694964873,0.4488459812229168,0.5441142917853461,0.022588414663610917,0.02651984730001206,0.02791999114129181,0.031696408271981946,-0.0024924502116046967
1.0129970582530585,0.3728579073847495,0.631332007003134,0.03972817430705214,0.02520269025370402,0.03946755952010278,0.028042138051341776,-0.003505397237711678
1.671467806081281,0.44822689884417294,0.5577574719893488,0.029578854040168093,0.026087149695924256,0.022987081581696014,0.023563621886268708,-0.006207601758166161
1.1858179303171936,0.385459379656376,0.6279376193832915,0.031248146062061596,0.018779466129642264,0.04795550953480571,0.028391493924599633,-0.0051093755817864985
1.7079467585177373,0.3908112951212831,0.620356763301186,0.03652451288772216,0.022879796373647038,0.04055794633939956,0.03400744485801692,-0.004789892106350748
2.0603690513289448,0.3647134009600958,0.6000994591957449,0.02208516361029067,0.024533161979763556,0.02093613792460306,0.03554423760149792,-0.006085945164719838
2.4666293229463885,0.384764654072029,0.5370316653914528,0.028848669845063686,0.017559870112911328,0.02347052164751832,0.03340510401460445,-0.0036470127531126155
2.2298504363898073,0.4318691559405449,0.5666177640173912,0.029114120193631108,0.026339893573037634,0.03548793062639777,0.026756120201655756,-0.005308121713817054
2.8408414403516398,0.42906999295607706,0.575271260180682,0.033433866005249495,0.035550020041818856,0.03492928408676029,0.02590135468047387,-0.00561192577633761
2.7263026106172843,0.3313621187235276,0.6563164458320748,0.0514014185305561,0.016468035060174125,0.037079507578577,0.05380920207184964,-0.00441098038792769
1.8516882117015154,0.3381403085220186,0.5873312779654878,0.020450442438801817,0.01819368649834157,0.02577521383402545,0.023891961719510982,-0.002247661813486177
1.4360962084632407,0.3314204989127217,0.49498851940687777,0.00753701025613968,0.013344587156303434,0.01027248760291705,0.015316644559588062,-0.0031150882579189555
2.319795738598919,0.41922813800542574,0.4017433485896765,0.016640704996196,0.010705234569040807,0.01950515179349046,-0.015653218132968917,-0.002625880437246746
2.5247288948721005,0.5337631478815128,0.48105859184176664,0.03846053944626086,0.031853481164418745,0.036929266767129605,0.05006049851485757,-0.003709178209202039
