Parameter,HDI_Overlap,Diff_Mean,Diff_Lower,Diff_Upper,Equal
t,0.6837769849649236,0.009053733589545098,-0.023285974161074807,0.04617068842538913,True
v_Intercept,0.490824303797097,-0.12437115398815138,-0.352558459756418,0.08008219442703335,True
v_z_AttentionW,0.7150864354148017,-0.03103811233115885,-0.25909917418882933,0.17288439237393494,True
v_z_IAW_chart:C(OVcate)[low],0.5954902827000155,0.030305500471862878,-0.3602711827990399,0.41725626452344855,True
v_z_IAW_chart:C(OVcate)[medium],0.7108781879825352,-0.12591243227355098,-0.5398380464553687,0.3239487051636054,True
v_z_IAW_chart:C(OVcate)[high],0.8119888097977014,0.0011361862896940025,-0.3162627151067161,0.29493365712998965,True
v_z_IAW_image:C(OVcate)[low],0.5917135245714823,-0.26865710125362263,-0.7996777651343089,0.44465228174510374,True
v_z_IAW_image:C(OVcate)[medium],0.9306797845938354,0.01964144378191324,-0.2425415321364779,0.29517557511932424,True
v_z_IAW_image:C(OVcate)[high],0.734556412417454,-0.111355025026787,-0.4683358819529201,0.25337285340325133,True
a(low),0.23528888909070514,-0.02695465920031842,-0.2785798607389851,0.2027983949255745,True
a(medium),0.21124155079524098,-0.08292368618955082,-0.31995707448279287,0.11864957844058521,True
a(high),0.17190959071491488,0.017799676695744913,-0.21093687239231818,0.22387942219954682,True
