parameter,n,pearson_r,r2,p_value
v_ES_AttentionW,21,-0.5315388165849777,0.2825335135365586,0.013145998217416917
a(medium),21,-0.4780637968355538,0.22854499384482563,0.028379383248035732
v_ES_InattentionW_S,21,-0.46312809812822764,0.21448763527586925,0.034488856663065136
v_ES_InattentionW_E,21,0.45942197266623935,0.21106854896853877,0.036153739447364094
a(high),21,-0.42522392203346643,0.18081538386952353,0.054649556503531996
a(low),21,-0.42302148488386987,0.17894717667335414,0.05605066059866148
theta_InatWS,21,0.3265994426839248,0.1066671959614503,0.14845859503219672
t,21,-0.2919569928980815,0.08523888570209043,0.19907613125569162
z,21,0.13805049940304998,0.0190579403854315,0.5506689933578915
theta_InatWE,21,0.10188649599963574,0.01038085806708379,0.6603287050992243
