subj_idx,alpha_subj
2,-2.1330069219570786
3,-2.3962951060612876
7,-2.561391094090565
8,-1.329547893604444
9,-2.0950147823167353
10,-1.4345853108984632
11,-1.7199200710620615
12,-2.525437260700484
13,-0.8458736771412623
15,-2.1391506903814532
16,-1.140979426974742
17,-1.1867735045382763
18,-2.8185836536811095
19,-1.9244670529018995
20,-3.2793762558184403
21,-2.6357483333591687
22,-1.5644693782693218
23,-2.473151293111602
24,-1.8758981631714828
25,-2.0963422499060065
26,-3.3816397237811096
