,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,std,2.5q,25q,50q,75q,97.5q
t_subj.20,0.262,0.018,0.227,0.294,0.0,0.0,2191.0,2936.0,1.0,,,,,,
t_subj.21,0.332,0.021,0.292,0.367,0.0,0.0,2019.0,2341.0,1.0,,,,,,
t_subj.22,0.282,0.012,0.258,0.301,0.0,0.0,2060.0,2655.0,1.0,,,,,,
t_subj.23,0.402,0.015,0.373,0.425,0.0,0.0,1149.0,2447.0,1.0,,,,,,
t_subj.24,0.233,0.014,0.208,0.26,0.0,0.0,2064.0,2691.0,1.0,,,,,,
t_subj.25,0.256,0.011,0.234,0.277,0.0,0.0,2326.0,2750.0,1.0,,,,,,
t_subj.26,0.351,0.042,0.274,0.416,0.001,0.001,1840.0,3254.0,1.0,,,,,,
alpha,0.11624947808180561,0.289,-2.594,-1.504,0.022,0.015,180.0,578.0,1.01,0.02988870690055891,0.06730656367234529,0.09521870187207777,0.11342513728424738,0.13335023704600193,0.18514701227843428
alpha_std,0.09131799945072115,0.234,0.43,1.323,0.018,0.013,149.0,592.0,1.02,0.024523492983239976,0.04991484865830294,0.07470303217544641,0.08912736688034342,0.10529221775606513,0.14917480601146782
alpha_subj.2,0.11042533589670601,0.347,-2.774,-1.483,0.018,0.013,380.0,843.0,1.01,0.03483502912648674,0.05767463812574535,0.08519367819058284,0.10508110090164241,0.1292222869315036,0.19215977306875642
alpha_subj.3,0.0904845258501668,0.458,-3.276,-1.594,0.027,0.019,301.0,768.0,1.01,0.04489832055591737,0.03933363739663162,0.06362374832368625,0.08113913580345347,0.10493838413889583,0.20150685922747608
alpha_subj.7,0.08837636850815311,0.733,-3.761,-1.122,0.064,0.046,127.0,723.0,1.03,0.07332692077180542,0.023491014838551462,0.04426235732768291,0.06514947709663199,0.10538767038418576,0.287008760116766
alpha_subj.8,0.2202896594466306,0.522,-2.248,-0.369,0.026,0.018,459.0,521.0,1.0,0.09614560349218278,0.10192907270124259,0.1593048703183123,0.19979143869320387,0.2542400424571472,0.46868906718055764
alpha_subj.9,0.1142545249767974,0.351,-2.776,-1.462,0.01,0.007,1202.0,2715.0,1.0,0.03582536386200107,0.05875805045806294,0.08870628877049035,0.10965510184254933,0.13452391887478468,0.19886147096345688
alpha_subj.10,0.20204019674535073,0.462,-2.27,-0.54,0.017,0.012,778.0,1197.0,1.0,0.07479963372326319,0.0893942378497771,0.14887965098865216,0.1922076153304244,0.24253484876314046,0.37565563888688863
alpha_subj.11,0.16194190969512873,0.488,-2.639,-0.823,0.013,0.009,1438.0,2746.0,1.0,0.06315907867955153,0.0607830172002303,0.1184912505216614,0.15431224817759404,0.19747912802966733,0.30461437881283643
alpha_subj.12,0.08424568134753731,0.575,-3.521,-1.414,0.058,0.041,102.0,699.0,1.04,0.04844181661468171,0.029055020628608586,0.05000341010101239,0.06976055998757151,0.105856906474957,0.21074109164736338
alpha_subj.13,0.31468453504239485,0.627,-2.078,0.269,0.019,0.013,1134.0,2580.0,1.01,0.12598552233392224,0.11118570534824479,0.21961087341894478,0.3021182353273857,0.3943632932097591,0.5923711390214151
alpha_subj.15,0.10985189999734066,0.35,-2.828,-1.516,0.013,0.009,698.0,1998.0,1.0,0.034202693043334294,0.055492142587952584,0.08583860283724858,0.10583702018775257,0.12898719699872782,0.19003945441592943
alpha_subj.16,0.248526012736589,0.377,-1.845,-0.43,0.016,0.012,536.0,1139.0,1.01,0.0691450317398337,0.1310743533865049,0.2003465162200672,0.24283953564179578,0.2888042523007812,0.4010365092357821
alpha_subj.17,0.24218967440043415,0.431,-2.002,-0.401,0.018,0.013,582.0,1427.0,1.0,0.078236974215085,0.11840041383265389,0.18490168273981397,0.2324467511868245,0.2892321787582308,0.41592172997021476
alpha_subj.18,0.06714662002232705,0.658,-3.975,-1.457,0.05,0.035,177.0,522.0,1.02,0.04840181458241061,0.016710342246002638,0.03814427802230367,0.05542333659547753,0.08055253323641486,0.1959554400227593
alpha_subj.19,0.141126962262711,0.59,-2.983,-0.743,0.022,0.015,740.0,2127.0,1.0,0.07175093882786193,0.04286478945663164,0.09141179597067972,0.12760824239208665,0.17358893990049262,0.32197362772943455
alpha_subj.20,0.06933634620195762,1.193,-4.929,-0.782,0.153,0.112,64.0,387.0,1.06,0.10384644855173476,0.007863200523996765,0.01589739731296631,0.02453320222607864,0.06879087051284999,0.3982043716641822
alpha_subj.21,0.07489433888042911,0.532,-3.608,-1.627,0.033,0.024,263.0,676.0,1.01,0.04199149691476853,0.02641655506031053,0.048369295834420394,0.06543782133015957,0.08921140734011887,0.18163065423451188
alpha_subj.22,0.17830359918570915,0.34,-2.191,-0.905,0.013,0.01,682.0,916.0,1.0,0.04924847727200578,0.09454262655405407,0.14379191633007524,0.17355881993127042,0.2069250696595179,0.2868547426194236
alpha_subj.23,0.0807140513137151,0.312,-3.094,-1.913,0.015,0.011,437.0,929.0,1.01,0.02349469132935569,0.043414685387587755,0.0643338251106096,0.0778394126630961,0.09406509474109653,0.13544731048689196
alpha_subj.24,0.13795546966307687,0.35,-2.542,-1.231,0.015,0.011,569.0,1350.0,1.0,0.041367949674748175,0.07118000921946932,0.1086229569489543,0.13313485181385004,0.1621543233337493,0.2337204120250199
alpha_subj.25,0.1151470119302611,0.386,-2.832,-1.38,0.016,0.012,544.0,1255.0,1.01,0.04062244213798306,0.056194937196861174,0.08647319772103362,0.10804274180737147,0.1364758105370141,0.21301653650746188
alpha_subj.26,0.03568700905377108,0.416,-4.165,-2.59,0.032,0.023,181.0,463.0,1.02,0.016609862699313273,0.01600750843319015,0.025178506786179583,0.03162580366903982,0.041661899449222176,0.08089187059453266
