t_subj,a_subj,v_Intercept_subj,v_z_val_diff_subj,v_z_val_bal_int:C(OVcate)[low]_subj,v_z_val_bal_int:C(OVcate)[medium]_subj,v_z_val_bal_int:C(OVcate)[high]_subj
0.3951955192839205,1.7690185068018645,1.5632388224017488,0.9229907168611327,-0.5019871598764195,-0.1619811908678983,-0.40832712701758195
0.3934471489608779,1.5895672861508274,1.0028158516327033,0.6888093382982201,-0.5433176807782287,-0.1419515546066837,-0.3791140786035178
0.402214064529794,2.4492602948343407,1.7291900679273873,0.9259880289634725,-0.3932921432921725,-0.3016144596323127,-0.3760720345084803
0.3328239689283646,1.9594018896961722,1.9457784040141202,1.156643448223706,-0.42784327615150736,-0.1331890153650238,-0.393514465869872
0.4316749416075327,2.200862420230991,1.4467578079301615,0.858349969787884,-0.5330839537680058,-0.2441869153492351,-0.36190661834712523
0.5923791494236977,1.650637698801858,1.3545430340856397,0.7515033339823864,-0.49555137930931764,-0.2467047539564491,-0.38097495250007285
0.42927814074409143,1.5915971344606463,1.987590209733482,1.224161928168529,-0.4927722446960087,-0.07229863393582601,-0.296464441887068
0.44889648259599324,1.91239938319676,1.5283971809621277,0.9676132641867771,-0.4858782483892799,-0.27975384990745394,-0.36257712629655897
0.40486220612117635,1.0519126074932628,1.603145072387828,1.0503614383623687,-0.4864922232220116,-0.1479474856775314,-0.3444363404407081
0.49413425006977735,1.7513510153014962,1.4969446302283749,0.9527172791284125,-0.4924732637648232,-0.21237240641962069,-0.34816280355462936
0.4100068255722005,1.1885985644375758,1.737389626905034,1.0143550315488694,-0.5925106849856746,0.015300517691241907,-0.3645639666158538
0.4469142501620944,1.6883895513798104,1.7480369085869403,1.1250880995844303,-0.5078315378945976,-0.136405623412687,-0.30592494644195484
0.3988279533319699,2.3621583424697667,1.4144408203255532,0.8329548016776253,-0.5558867343415681,-0.24777432333744576,-0.3429445775852982
0.41059903303692447,2.9243883614863697,1.4865706880290241,0.933401167866423,-0.46281322876410613,-0.22253521451042724,-0.34153038028675614
0.45943866688177015,2.2067481604090253,1.712290292374459,1.112701389201,-0.5306373628523169,-0.22689021243091595,-0.3432627633431748
0.44270400576781593,2.9326354946241024,1.7796820504191317,1.1155190114585327,-0.4148009553176506,-0.2463383749354945,-0.33885438117931677
0.34958010761480307,2.6014686403030844,2.003044507388811,1.1962299943576382,-0.5264091746401841,-0.04028724077102558,-0.37395560456133176
0.38298294799835736,1.918849876397445,1.435484083333533,0.9050178293764031,-0.4831225834801352,-0.24347821229938577,-0.34024898197110887
0.4021808053049772,1.3807037880432707,0.9472448211019069,0.496345051297457,-0.5337905608269339,-0.21594600895448485,-0.43827568094380426
0.4290368927040897,2.2269532268435817,1.0455834296505802,0.8381238617904372,-0.46471755738099185,-0.3460035003307022,-0.48766705811568023
0.5401507456148108,2.496690190818708,1.7233346289161442,1.2617932900994013,-0.47335132728387597,-0.1916621278576052,-0.3670265006064528
