parameter,n,pearson_r,r2,p_value
v_ES_AttentionW,21,-0.6918882162554167,0.47870930379310234,0.0005113715330837931
v_ES_InattentionW_E,21,0.6499541893206651,0.42244044821548293,0.0014261665217960317
v_ES_InattentionW_S,21,-0.5838849000306533,0.340921576483806,0.005452439401493461
theta_InatWS,21,0.39011201027906756,0.15218738056397532,0.0804139019763416
a(medium),21,-0.2732404023046571,0.07466031745161088,0.230743886953363
a(low),21,-0.268003018850987,0.07182561811324248,0.24016188359195811
a(high),21,-0.26350289811376615,0.06943377731435382,0.24844998438145097
t,21,-0.23528045849093843,0.0553568941477062,0.3045741745980973
theta_InatWE,21,0.23121824561168774,0.05346187710374676,0.3132409978256536
z,21,-0.053910408167575,0.0029063321087945374,0.8164687030305908
