parameter,R2,p,RMSE
a,0.9324459814419671,1.0993817010538931e-123,0.13203308238107966
t,0.029470210749013143,0.012724317868210233,0.4129522532562676
z,0.9532156748726699,2.7741360790745195e-140,0.034592414847706456
v_ES_AttentionW,0.9152403811158145,1.963735606834197e-113,0.003932773434475236
v_ES_InattentionW_E,0.9294151151598538,1.0571643589183188e-121,0.00391042727641384
v_ES_InattentionW_S,0.8918779991598057,1.9680993246434784e-102,0.0037368227652745055
