bin,mean,sd,n_subjects,sem,boot_ci_low,boot_ci_high,model_mean,model_sd,model_n_draws,model_pi95_low,model_pi95_high,mean_draw_subject_sd,mean_draw_subject_sem,pi95_draw_subject_sd_low,pi95_draw_subject_sd_high,pi95_draw_subject_sem_low,pi95_draw_subject_sem_high,obs_mean_in_model_pi95,model_mean_in_obs_boot95,obs_boot95_overlaps_model_pi95,diff_model_minus_obs,ppc_p_2sided
1,0.37714540936251095,0.23524032375120904,20,0.05260133549567617,0.27575687228986717,0.47672122372712117,0.48003922537857574,0.02647557673195323,2000,0.4291548123253945,0.5335638178558303,0.14167279367837524,0.032525042786707405,0.09266872879477416,0.19582961408008057,0.021300156629002257,0.0446863890843816,False,False,True,0.10289381601606479,0.0
2,0.4301223919825984,0.14459642162556294,21,0.03155352606280437,0.3684079905050383,0.4888120160046871,0.4828524272579127,0.0137475584809224,2000,0.45471505610696555,0.508175809435519,0.09102843211614697,0.019864032407875844,0.06681724370107091,0.11693252955969412,0.014580717951831848,0.025516769900474266,False,True,True,0.052730035275314335,0.0
3,0.4912608988076226,0.0747019905946761,21,0.016301310783999164,0.45790027371065817,0.5225418556083439,0.48729890587246627,0.0143035289744789,2000,0.45894452847211137,0.5150861567707025,0.08267278566095149,0.018040680866865236,0.0590672953932612,0.10820129267073847,0.012889540582663613,0.023611457807415696,True,True,True,-0.003961992935156311,0.785
4,0.5274837950958148,0.1026907308629755,21,0.022408954635710625,0.48492701834101415,0.5712196700973617,0.494266410851217,0.015879410433328564,2000,0.4620628112224733,0.5262411666730178,0.07961797015579011,0.017374065472268725,0.05317028142028719,0.11364604174617993,0.011602706634789055,0.0247995994635229,False,True,True,-0.0332173842445978,0.044
5,0.5330778038448694,0.18303877010173986,21,0.03994233424299251,0.45238469151567623,0.6076107209141645,0.5047989929466046,0.022544610919121535,2000,0.4615143205740104,0.5495297658723979,0.10201024073825313,0.02230818955642352,0.05520452839477447,0.1517843806831283,0.012192191022524966,0.03312206732344898,True,True,True,-0.028278810898264783,0.219
